 	le	fruit	du	palmier	éléphant	est	déjà	mûr	</S>
a66	0.275571	0.234276	0.175441	0.10819	0.0695032	0.0614757	0.0470189	0.0195024	0.00902134
a87	0.277151	0.209133	0.156965	0.0996705	0.0881766	0.0637228	0.0580954	0.0318107	0.0152754
a23	0.253737	0.220488	0.180298	0.142372	0.0999061	0.0350006	0.0288478	0.0255527	0.0137971
a50	0.232022	0.210762	0.152193	0.154205	0.15524	0.0465232	0.0228849	0.0138582	0.0123121
a88	0.242199	0.243326	0.166648	0.161625	0.126283	0.0322402	0.0159746	0.00715513	0.00454953
a11	0.243072	0.227585	0.17283	0.177956	0.124923	0.0366359	0.0117257	0.0037527	0.00151901
a96	0.172087	0.190103	0.156797	0.189633	0.171938	0.0744633	0.02794	0.0116346	0.00540425
a75	0.11623	0.153035	0.158222	0.209818	0.198395	0.106645	0.0346354	0.0153508	0.00766927
a12	0.0797598	0.113339	0.128755	0.19626	0.222333	0.161244	0.0613877	0.0235266	0.0133954
a62	0.0679993	0.0914516	0.106652	0.177051	0.239032	0.189685	0.0752728	0.0335711	0.0192846
a21	0.064505	0.0910909	0.111594	0.165678	0.216064	0.188176	0.0945882	0.044721	0.0235819
a12	0.050719	0.0683002	0.0851022	0.116494	0.162788	0.193771	0.163844	0.101358	0.0576239
a47	0.0269955	0.0440633	0.0597605	0.0850066	0.140504	0.19139	0.205811	0.146176	0.100294
a21	0.0240533	0.0328405	0.0393539	0.0500974	0.0866505	0.161121	0.241814	0.199796	0.164273
a12	0.01391	0.0172369	0.0209553	0.0250158	0.0483544	0.121752	0.250137	0.281567	0.221072
a62	0.00339123	0.00378195	0.00438897	0.00558893	0.0136251	0.0616239	0.210896	0.359684	0.337021
a88	0.00106734	0.00106368	0.0012487	0.00171554	0.00493214	0.0287733	0.144611	0.351071	0.465518
a21	0.000718869	0.000690162	0.000875917	0.00127425	0.00378076	0.0250803	0.142239	0.360571	0.46477
a12	0.000414436	0.000461166	0.000505667	0.000656323	0.00178021	0.010193	0.0630513	0.26764	0.655298
a96	0.000270304	0.000324041	0.000377289	0.000506782	0.00122594	0.00706147	0.0476711	0.227003	0.71556
a18	0.000392616	0.000446614	0.000553099	0.000794306	0.0019099	0.0110633	0.0590824	0.174657	0.751101
a71	0.0015594	0.0015054	0.00188703	0.00228551	0.00451182	0.018412	0.076091	0.185047	0.7087
a25	0.0288628	0.0225381	0.0233722	0.0224627	0.0260854	0.054006	0.108707	0.203313	0.510652
a87	0.135614	0.0885687	0.0826122	0.0627695	0.0602673	0.0671219	0.0983042	0.159799	0.244943
a23	0.197679	0.149203	0.14313	0.109025	0.0927813	0.0624223	0.0723773	0.0700888	0.103293
a97	0.0430531	0.0240467	0.0232641	0.0170906	0.0168701	0.0239873	0.064675	0.128929	0.658084
a3	0.015481	0.0101489	0.00926569	0.00773267	0.0107985	0.0220338	0.0796237	0.172541	0.672374
</S>	0.0184895	0.0136409	0.0130455	0.0115637	0.0180199	0.032536	0.0918813	0.169754	0.631069
