 	il	n	'	y	en	a	pas	assez	pour	moi	</S>
a23	0.375884	0.0920658	0.0506099	0.0445377	0.0281851	0.0293971	0.031376	0.0442644	0.0762169	0.102595	0.124868
a85	0.287262	0.0766413	0.0453678	0.0559055	0.0708181	0.0736608	0.0593221	0.059318	0.0855558	0.0966763	0.0894728
a87	0.151957	0.0691804	0.065725	0.0781692	0.0902056	0.0796934	0.0583764	0.0621592	0.0836198	0.110624	0.15029
a23	0.177597	0.0991602	0.0940499	0.11839	0.125766	0.0956557	0.054752	0.0455913	0.0503108	0.0595021	0.0792243
a87	0.186372	0.115962	0.120106	0.102182	0.0661479	0.0452098	0.0380489	0.0412238	0.059253	0.0871371	0.138358
a23	0.145537	0.132562	0.154874	0.150865	0.106729	0.063581	0.0357945	0.0337631	0.037678	0.0511741	0.0874427
a87	0.255589	0.163113	0.160217	0.110647	0.0716053	0.0437433	0.0279135	0.0294618	0.0315117	0.0402592	0.0659391
a23	0.127321	0.099378	0.113361	0.138352	0.135194	0.0830415	0.0460146	0.0448718	0.0462047	0.0609	0.105362
a40	0.105077	0.0824733	0.104096	0.113129	0.0947192	0.063838	0.0497825	0.0583638	0.0689878	0.0950755	0.164458
a73	0.377039	0.15952	0.11036	0.0595599	0.0621615	0.059204	0.0488916	0.0419862	0.0293333	0.0240663	0.0278788
a26	0.172538	0.167603	0.158738	0.15468	0.144439	0.0987396	0.0422336	0.0297842	0.0140307	0.00922953	0.00798434
a24	0.189218	0.135997	0.120805	0.122011	0.162499	0.120113	0.0527997	0.0400027	0.0214774	0.017339	0.0177379
a43	0.11273	0.105397	0.133561	0.172145	0.169951	0.12819	0.0666709	0.0494632	0.0251993	0.0183299	0.0183626
a11	0.0684311	0.050364	0.0794323	0.162927	0.227236	0.167766	0.0812611	0.0661396	0.0370767	0.028505	0.0308613
a76	0.0742395	0.0522079	0.078165	0.147208	0.21263	0.167166	0.0894765	0.0750185	0.0400419	0.0305329	0.0333138
a90	0.0691868	0.0546916	0.0938673	0.161639	0.2151	0.154704	0.0793607	0.0650125	0.0411738	0.0332523	0.0320115
a58	0.0624904	0.0578557	0.093967	0.133322	0.168361	0.142931	0.0962914	0.0925165	0.0615293	0.0468424	0.0438935
a53	0.0474646	0.0323114	0.0467197	0.068461	0.101239	0.106982	0.0897251	0.119844	0.115598	0.119947	0.151708
a76	0.0491136	0.0454009	0.0596743	0.0767951	0.0839474	0.0922015	0.088136	0.11741	0.0985774	0.112125	0.176618
a73	0.0262567	0.0344473	0.0573799	0.0645124	0.0579178	0.0670687	0.0953025	0.142255	0.142584	0.140346	0.17193
a2	0.0266185	0.0237801	0.0297304	0.0413025	0.0481179	0.0611449	0.0914834	0.143505	0.159055	0.16689	0.208372
a54	0.0118082	0.00747672	0.00727334	0.0102392	0.0146368	0.0208382	0.0424999	0.108676	0.179382	0.25358	0.343589
a73	0.0141426	0.0156879	0.0204666	0.0236102	0.0261939	0.0319463	0.054544	0.111338	0.160149	0.214048	0.327873
a84	0.00449793	0.0053325	0.00921163	0.0160076	0.0218616	0.029174	0.0555054	0.107094	0.18198	0.24943	0.319906
a57	0.00216259	0.00240134	0.00319825	0.00476142	0.00652084	0.00839064	0.016094	0.0431772	0.116082	0.268711	0.5285
a87	0.00595575	0.00420995	0.00497508	0.00687327	0.00913501	0.0132387	0.0296175	0.0650475	0.175048	0.281867	0.404033
</S>	0.00451918	0.00398306	0.00453521	0.00617544	0.00818621	0.0129587	0.0380716	0.0832301	0.222035	0.299276	0.31703
