 	okyeri	sait	bien	ériger	les	murs	d'	une	maison	en	terre	battue	</S>
a15	0.401275	0.163559	0.11308	0.0953469	0.077969	0.0428442	0.0237876	0.0197609	0.0171938	0.0113148	0.00896178	0.0113046	0.0136028
a66	0.394699	0.159748	0.121393	0.0800257	0.0545147	0.0239603	0.0160949	0.0146581	0.0187036	0.0170609	0.018912	0.0296177	0.050612
a87	0.692352	0.0813755	0.0565292	0.0324718	0.0192109	0.0122464	0.0101458	0.0104835	0.0120031	0.0121713	0.014122	0.0190062	0.0278827
a23	0.487509	0.12704	0.0783896	0.0435783	0.0356257	0.0268109	0.0235433	0.0262453	0.0292167	0.0257227	0.0235455	0.0307122	0.0420605
a79	0.398809	0.10716	0.0816121	0.0461272	0.0397249	0.0327288	0.0392021	0.0408649	0.0420131	0.0390839	0.032767	0.0379172	0.0619896
a58	0.486831	0.117967	0.109103	0.0574513	0.0508127	0.0323094	0.0273467	0.0251542	0.0187342	0.0176806	0.0147101	0.0160772	0.0258218
a62	0.24453	0.190503	0.189396	0.111701	0.0889642	0.0448952	0.0308418	0.0247758	0.0165733	0.0149767	0.0113189	0.0121056	0.019418
a5	0.157357	0.206785	0.210589	0.147657	0.0997033	0.0569924	0.0338258	0.0268625	0.0150847	0.0130424	0.00944827	0.00962397	0.0130284
a85	0.11308	0.167495	0.180814	0.16153	0.122179	0.0765455	0.046356	0.0382814	0.0236246	0.0191984	0.01423	0.015046	0.0216194
a5	0.0433647	0.110324	0.139838	0.174739	0.119224	0.0869322	0.058845	0.046925	0.0315496	0.0302057	0.0325171	0.0474033	0.078132
a21	0.127935	0.171295	0.178612	0.171396	0.0989284	0.0614347	0.0388619	0.0313829	0.0245143	0.021503	0.020041	0.0235132	0.030583
a92	0.0434337	0.0927122	0.110251	0.146552	0.110494	0.0869664	0.0665683	0.0598959	0.0551333	0.0516344	0.0511445	0.0568294	0.0683853
a79	0.0170102	0.0775105	0.102185	0.154837	0.129054	0.106387	0.0802033	0.0697265	0.0611691	0.0511042	0.0445057	0.0476927	0.0586149
a20	0.00756757	0.0360036	0.0615093	0.12591	0.134493	0.123087	0.106199	0.0895057	0.0781123	0.0612243	0.0531595	0.0575741	0.0656535
a40	0.00700758	0.0190457	0.0320995	0.0731473	0.0920398	0.0984819	0.126322	0.113846	0.0989506	0.0814474	0.0747932	0.0806011	0.102218
a47	0.00282309	0.0107261	0.0220351	0.062201	0.0973382	0.0973647	0.135115	0.119707	0.10152	0.0871226	0.0815013	0.085009	0.0975367
a92	0.00143736	0.00687411	0.0139409	0.0450005	0.0818271	0.0931559	0.139482	0.125502	0.100847	0.0843792	0.0836276	0.0921618	0.131765
a85	0.00144023	0.00608351	0.0112703	0.0322502	0.0595814	0.0773491	0.141657	0.144215	0.133352	0.105719	0.0847262	0.0892593	0.113096
a6	0.000896026	0.00353183	0.0076954	0.0246234	0.0500078	0.0649239	0.129207	0.146168	0.144286	0.124423	0.0914954	0.101075	0.111666
a37	0.00186191	0.00537409	0.0093954	0.0217762	0.0390094	0.0519866	0.119405	0.145622	0.137112	0.128431	0.0974907	0.105489	0.137046
a12	0.00184388	0.00407028	0.00708877	0.0145375	0.0239685	0.0354671	0.0861252	0.120702	0.131732	0.139856	0.118609	0.135695	0.180305
a96	0.00162025	0.00392467	0.00683198	0.0136225	0.02168	0.029956	0.0586985	0.0867076	0.116613	0.13492	0.133252	0.164698	0.227475
a88	0.00129823	0.00334848	0.00570744	0.0113167	0.019258	0.0277329	0.0561031	0.0788173	0.107314	0.126212	0.140413	0.180041	0.242438
a71	0.00108458	0.00281178	0.005474	0.0112294	0.021433	0.0286905	0.0491711	0.0631181	0.0783628	0.0898236	0.124652	0.172089	0.35206
a9	0.0044188	0.00458141	0.0067851	0.0136001	0.0271439	0.0307019	0.0497426	0.0575999	0.0667913	0.0842868	0.156556	0.186375	0.311417
a97	0.0368671	0.0240825	0.0270624	0.045566	0.0713751	0.0760607	0.0893483	0.0846997	0.0724859	0.0819466	0.117487	0.119732	0.153287
a87	0.0914699	0.0443015	0.0424012	0.0582177	0.0782776	0.0815434	0.0813905	0.0880193	0.0840134	0.0841177	0.0817871	0.0885367	0.0959241
a23	0.125451	0.0671278	0.0548161	0.062069	0.0770843	0.0675446	0.0783594	0.093206	0.0783856	0.0762873	0.0592187	0.0736129	0.0868377
a99	0.0251456	0.0144131	0.0140398	0.0190379	0.0318195	0.038901	0.065629	0.088285	0.0944818	0.118514	0.124317	0.18452	0.180895
a97	0.0193419	0.0132237	0.0178434	0.034357	0.0584541	0.066853	0.0928637	0.10539	0.105177	0.107599	0.102785	0.141376	0.134735
a57	0.00363143	0.00450112	0.00612892	0.0118048	0.0201014	0.0269233	0.0436557	0.0580903	0.0632514	0.0981109	0.147431	0.230344	0.286025
</S>	0.00974441	0.00967452	0.0117863	0.01825	0.0272569	0.033613	0.0496705	0.0666378	0.0708577	0.100912	0.132996	0.203065	0.265536
