 	ce	long	fagot	de	bois	que	nyasoni	a	apporté	contient	de	grosses	fourmis	rouges	</S>
a66	0.193471	0.171304	0.22853	0.100359	0.0726531	0.0750272	0.034349	0.0242524	0.0385982	0.0312465	0.0126783	0.00773411	0.00329759	0.00329499	0.00320497
a87	0.360106	0.229792	0.165535	0.0490652	0.0258743	0.0245587	0.0144496	0.0186887	0.0258712	0.0269845	0.0152453	0.00931801	0.00766534	0.0117271	0.015119
a23	0.417901	0.216057	0.102799	0.0666494	0.0440905	0.0336551	0.0184696	0.0150264	0.021171	0.0176533	0.00972716	0.00661071	0.00508916	0.00793965	0.0171607
a79	0.361924	0.143214	0.0789911	0.053546	0.0422091	0.0368255	0.0360932	0.0363759	0.0473442	0.0418023	0.0279511	0.0230177	0.0163759	0.0194754	0.0348544
a53	0.124063	0.069521	0.0846123	0.0919687	0.0812667	0.0748231	0.0527291	0.0386047	0.0409702	0.0403508	0.052496	0.063779	0.0535938	0.0612346	0.0699868
a44	0.175183	0.168302	0.285684	0.109961	0.0500347	0.0353597	0.0228578	0.0155184	0.0174759	0.0144647	0.0158764	0.0259287	0.02072	0.0217636	0.0208709
a54	0.145038	0.135964	0.246604	0.136235	0.0580324	0.0405985	0.0267421	0.0224246	0.0288888	0.0232954	0.0202207	0.0306392	0.0260565	0.0289999	0.0302611
a47	0.0723753	0.0933524	0.173716	0.0984018	0.0612208	0.0512728	0.0429903	0.044448	0.0513622	0.0390968	0.0372736	0.0506007	0.0439485	0.0633083	0.0766319
a15	0.0578467	0.0821412	0.18526	0.102795	0.0601075	0.050477	0.0459757	0.05192	0.0615386	0.0478855	0.0342253	0.0415574	0.0370538	0.0627067	0.078509
a47	0.0428031	0.0686557	0.13635	0.115289	0.0775162	0.0701708	0.066074	0.0763497	0.0892729	0.0652412	0.0319964	0.0278196	0.0252613	0.0457589	0.061442
a98	0.0409192	0.0639597	0.126364	0.13016	0.090376	0.0725573	0.0624554	0.0743129	0.0758625	0.05736	0.0259251	0.0233752	0.0269859	0.0548327	0.0745539
a85	0.0386515	0.0482081	0.0810779	0.0882349	0.0632674	0.0579878	0.0656229	0.0891524	0.0931024	0.073953	0.0328053	0.0294359	0.0388136	0.0822557	0.117431
a92	0.0328999	0.0333999	0.0498569	0.0673565	0.0553508	0.0539573	0.0732715	0.108061	0.109902	0.112406	0.0574174	0.0425399	0.0397663	0.067963	0.095851
a37	0.0275949	0.020922	0.0321084	0.0576345	0.0712979	0.0799185	0.100958	0.12256	0.133889	0.127323	0.0627018	0.0408089	0.0303126	0.0417423	0.050229
a90	0.0155256	0.0103983	0.0161842	0.0476167	0.0867084	0.107942	0.128363	0.136809	0.142274	0.118398	0.0639324	0.0357252	0.0231515	0.0300557	0.0369158
a56	0.00855063	0.00657505	0.00981486	0.0217387	0.0474489	0.0731209	0.111273	0.117635	0.132149	0.123972	0.086957	0.0532605	0.0448934	0.0696532	0.0929571
a75	0.00429551	0.00379761	0.00594475	0.0115544	0.0266223	0.0492472	0.0964132	0.103347	0.116861	0.121928	0.11745	0.0774873	0.0607781	0.0893499	0.114924
a79	0.00167803	0.00149083	0.00269289	0.00685581	0.0179879	0.0318237	0.0721822	0.0780867	0.0793897	0.0929203	0.120571	0.0897815	0.104777	0.137408	0.162355
a98	0.00123348	0.00109872	0.00214081	0.00666742	0.0186808	0.0325142	0.0755422	0.0881485	0.0772394	0.0866295	0.128143	0.100228	0.106104	0.127404	0.148226
a92	0.000932475	0.000720021	0.00144185	0.00608227	0.0165333	0.0273195	0.0630299	0.0777219	0.0643229	0.0788919	0.115668	0.0916434	0.121095	0.15318	0.181417
a21	0.00117009	0.000868654	0.00148747	0.00414601	0.0108449	0.0193267	0.0506225	0.0609033	0.0545423	0.0564869	0.105554	0.0944907	0.143068	0.184506	0.211982
a92	0.00235175	0.00227698	0.00292561	0.00431025	0.0078552	0.0139502	0.0316358	0.0322235	0.0325067	0.0376691	0.0869913	0.0929707	0.149836	0.235994	0.266503
a5	0.00135792	0.00126176	0.00177787	0.00343354	0.00715218	0.0116144	0.0280844	0.0317944	0.0299081	0.0355862	0.0887311	0.0928257	0.160856	0.240458	0.265159
a0	0.00173878	0.00160974	0.00240841	0.00571295	0.0117759	0.0178862	0.0436415	0.0521918	0.0455693	0.0406589	0.0846524	0.0827602	0.144152	0.21779	0.247451
a75	0.00199527	0.00193132	0.00297692	0.00693472	0.011637	0.01518	0.0282528	0.0418411	0.0366103	0.029612	0.062325	0.0752967	0.157904	0.238434	0.289068
a92	0.000553249	0.000458603	0.000707833	0.00141968	0.00281544	0.00400237	0.00913109	0.0140019	0.0115538	0.0115727	0.0351361	0.0501047	0.177042	0.303789	0.377711
a56	0.000414296	0.000282377	0.000396297	0.000919529	0.00211364	0.0030978	0.00840681	0.0139893	0.0117631	0.0122986	0.0378989	0.0504521	0.174721	0.303549	0.379697
a96	0.000601341	0.000463438	0.000677266	0.00158666	0.00354233	0.00487491	0.0101575	0.0147443	0.0128842	0.0122867	0.0355806	0.0440559	0.148987	0.30268	0.406877
a18	0.000717969	0.000532831	0.000673219	0.00176548	0.00397563	0.00552562	0.0109611	0.0179978	0.017654	0.0153728	0.0349624	0.0343849	0.110357	0.2833	0.46182
