 	tant	pis	si	tu	m'	acceptes	ou	tu	me	refuses	</S>
a15	0.118019	0.193376	0.165078	0.163951	0.126229	0.057147	0.0459886	0.0574484	0.0425331	0.0188494	0.0113814
a66	0.225083	0.129753	0.127191	0.12662	0.100407	0.0663504	0.0708326	0.0627065	0.0470484	0.0254814	0.0185266
a87	0.309188	0.189912	0.150671	0.124436	0.0833939	0.0469919	0.0378242	0.0215866	0.0120885	0.00982326	0.0140848
a23	0.258312	0.190208	0.163671	0.144712	0.0943588	0.0641028	0.0400393	0.0187833	0.010753	0.00712132	0.00793834
a79	0.259586	0.143102	0.151449	0.147415	0.0966982	0.0822014	0.0554099	0.0233254	0.0147891	0.0128135	0.01321
a4	0.260221	0.0890634	0.107975	0.103704	0.0888373	0.103926	0.0638566	0.0389785	0.0315861	0.0491594	0.0626934
a75	0.280918	0.0847239	0.109566	0.111671	0.10718	0.140872	0.0786577	0.0332204	0.0200222	0.0172891	0.0158796
a24	0.172956	0.0514337	0.0723099	0.0743814	0.0936137	0.131968	0.0967875	0.0682432	0.0696659	0.0834392	0.085201
a21	0.16167	0.0500605	0.0798846	0.0816152	0.100059	0.144274	0.110957	0.0647927	0.0602487	0.0699534	0.0764853
a85	0.147405	0.0651463	0.0922943	0.102189	0.134477	0.145269	0.122222	0.0787897	0.0549607	0.0307181	0.0265284
a5	0.0715663	0.048904	0.0598729	0.059694	0.0769522	0.108653	0.122564	0.132595	0.123796	0.0934895	0.101913
a75	0.0642467	0.0675297	0.0913863	0.0957294	0.121072	0.142978	0.161131	0.120837	0.0724626	0.033325	0.0293032
a85	0.0375721	0.0443987	0.0551517	0.0580324	0.0841592	0.112876	0.147534	0.149272	0.122915	0.0945984	0.0934903
a47	0.0279416	0.0530325	0.0696376	0.0714204	0.0942252	0.132036	0.14752	0.137143	0.0939488	0.0766941	0.0964
a37	0.0107233	0.0702955	0.0866965	0.0926583	0.128608	0.113408	0.143338	0.156112	0.0803477	0.0481589	0.0696541
a44	0.0104315	0.0678149	0.0841422	0.0931782	0.117006	0.0892579	0.101313	0.159784	0.105189	0.0660264	0.105857
a4	0.0108349	0.0509799	0.0646528	0.0676297	0.0822592	0.0770962	0.0739727	0.131386	0.138302	0.124219	0.178667
a13	0.0105926	0.0398534	0.0510779	0.050348	0.0631514	0.0752311	0.0646567	0.0998121	0.134484	0.161076	0.249717
a57	0.0136886	0.0596151	0.0675625	0.066187	0.0674495	0.0568448	0.0453193	0.0764722	0.123678	0.169476	0.253707
a3	0.0302125	0.114518	0.113853	0.103015	0.0940104	0.0732192	0.0604278	0.0838031	0.0951605	0.105399	0.126381
a87	0.0624548	0.127714	0.109104	0.0913882	0.0814915	0.0613164	0.0630286	0.101158	0.117548	0.0974909	0.0873054
a23	0.0754235	0.10597	0.0927736	0.078993	0.075971	0.0517499	0.0593417	0.10223	0.113257	0.119555	0.124735
a79	0.0210828	0.0537394	0.0477249	0.0389391	0.0370203	0.0280432	0.0477441	0.101309	0.131557	0.193533	0.299307
a90	0.00156026	0.00531965	0.00529101	0.00511285	0.00771414	0.00638375	0.0102918	0.036011	0.0828021	0.273676	0.565838
a58	0.00474385	0.012134	0.0123567	0.0121847	0.0184592	0.013237	0.0173284	0.0538698	0.0995526	0.24246	0.513674
a56	0.00179489	0.00441033	0.00503099	0.00486005	0.00818586	0.00725159	0.00958013	0.0324245	0.0762097	0.232295	0.617957
a75	0.00472231	0.013144	0.0144416	0.0148285	0.0215502	0.0184228	0.0207704	0.051909	0.101269	0.251213	0.48773
a92	0.00264893	0.00943176	0.00921533	0.00981514	0.0123731	0.00947712	0.0102078	0.030774	0.0807738	0.263733	0.561551
a85	0.00244394	0.00990569	0.00965846	0.0106492	0.0137275	0.0104174	0.0125383	0.0398499	0.086772	0.258459	0.545578
a6	0.00180716	0.00666004	0.0070753	0.00759705	0.00961451	0.00810895	0.008615	0.0286677	0.0675394	0.224839	0.629476
a37	0.0010138	0.0044946	0.00441402	0.00471152	0.00656438	0.00576522	0.0065012	0.024697	0.0676446	0.264647	0.609547
a98	0.00112775	0.00501459	0.00527665	0.00478233	0.00651621	0.00635432	0.00655768	0.015811	0.0433087	0.217323	0.687928
a47	0.000301973	0.00121508	0.00127401	0.0012118	0.00180658	0.00194922	0.00264884	0.00903068	0.030663	0.21049	0.739408
a37	0.000323272	0.000829224	0.000911191	0.000740641	0.00107126	0.00150559	0.00222027	0.00737229	0.0258305	0.202739	0.756457
a93	0.000770128	0.00273153	0.00274541	0.00213723	0.00260003	0.0024104	0.00255394	0.00705498	0.0243488	0.199444	0.753203
a4	0.00140519	0.0058574	0.00568799	0.00442007	0.00477917	0.00355276	0.00382692	0.0090602	0.02415	0.184029	0.753231
a13	0.00210824	0.00888775	0.00930682	0.00769605	0.0087206	0.00677127	0.00777694	0.0157552	0.0306659	0.169335	0.732976
a3	0.00112243	0.00367346	0.00393137	0.00317878	0.00340763	0.00280959	0.00292443	0.00800619	0.0246405	0.210341	0.735965
a87	0.0487755	0.048076	0.0471811	0.0387453	0.0360183	0.0296971	0.0238534	0.0486595	0.0763896	0.208652	0.393952
a23	0.120095	0.123897	0.0994051	0.080016	0.0745799	0.0592238	0.0610265	0.0749334	0.0681385	0.0977977	0.140887
a87	0.0345534	0.025471	0.0206135	0.0134708	0.0212429	0.0183529	0.0275326	0.0465866	0.0788016	0.221772	0.491602
</S>	0.0188742	0.0156253	0.0115859	0.00834143	0.0111559	0.0101274	0.0135199	0.0235901	0.0461319	0.164687	0.67636
