 	tu	parles	trop	bas	je	n'	entends	pas	</S>
a23	0.347721	0.159829	0.135733	0.119184	0.100477	0.0555937	0.0314165	0.0248033	0.025243
a87	0.410972	0.210001	0.137876	0.0798411	0.0558641	0.0257553	0.0173916	0.0255592	0.0367402
a23	0.254712	0.166841	0.15385	0.0959283	0.0720024	0.0455936	0.0434491	0.0666275	0.100996
a13	0.284248	0.160645	0.128896	0.0646864	0.0480903	0.0356375	0.04182	0.0845299	0.151446
a53	0.405113	0.288049	0.146732	0.0601431	0.0287568	0.0138596	0.0149773	0.0194433	0.0229252
a20	0.463673	0.291242	0.101053	0.0466564	0.0284451	0.0166625	0.0162053	0.0164576	0.0196047
a94	0.30345	0.2822	0.186014	0.0881221	0.0522632	0.0279215	0.0215989	0.0187704	0.0196597
a76	0.225549	0.250996	0.223041	0.12081	0.0666355	0.0347286	0.0268711	0.0248457	0.0265229
a90	0.226795	0.243498	0.212041	0.114384	0.076202	0.0471507	0.0334707	0.0240889	0.0223704
a4	0.223545	0.249338	0.226274	0.124122	0.0726048	0.0379941	0.0248485	0.0203134	0.0209605
a11	0.167265	0.223425	0.243675	0.157442	0.0854461	0.0424782	0.0285066	0.0246697	0.0270922
a76	0.118485	0.174499	0.216746	0.187107	0.119767	0.0630592	0.0403788	0.0374862	0.0424713
a90	0.129991	0.145787	0.199185	0.151363	0.116268	0.0860332	0.0632119	0.0534579	0.0547031
a58	0.12036	0.127327	0.189554	0.180048	0.142066	0.0914406	0.0563449	0.0451062	0.0477532
a90	0.0561681	0.0613827	0.134344	0.196349	0.192834	0.12986	0.0720902	0.0684773	0.0884938
a4	0.0772054	0.0962462	0.132636	0.143328	0.138446	0.118198	0.0949741	0.0913413	0.107625
a32	0.0448952	0.0539137	0.0861747	0.1292	0.173498	0.172998	0.11134	0.10172	0.126262
a24	0.038905	0.0414139	0.0735475	0.119524	0.171437	0.192339	0.123799	0.106491	0.132543
a94	0.0299322	0.0297623	0.0475697	0.0765165	0.124202	0.192436	0.184013	0.149487	0.166081
a24	0.0511963	0.0540175	0.0921777	0.127907	0.162275	0.184755	0.125675	0.0923828	0.109614
a32	0.0227092	0.0241272	0.0417101	0.066256	0.10343	0.172011	0.188256	0.179099	0.202401
a24	0.0221701	0.0235217	0.0448413	0.0682973	0.0952208	0.161207	0.173439	0.18601	0.225293
a96	0.0156314	0.0151328	0.0332019	0.0521451	0.0730176	0.131555	0.172607	0.230888	0.275822
a94	0.0144748	0.0158386	0.0293717	0.042588	0.0627246	0.118997	0.172011	0.247042	0.296952
a13	0.00915947	0.0101661	0.0194876	0.0311459	0.0482474	0.104491	0.176883	0.278766	0.321654
a53	0.00902675	0.00894762	0.0179674	0.0278592	0.0426298	0.0878617	0.153192	0.284038	0.368478
a76	0.00999798	0.00873172	0.0152009	0.0241905	0.0406851	0.0809283	0.134425	0.278105	0.407736
a94	0.0129181	0.0112877	0.0185001	0.0310546	0.0525491	0.0922079	0.138398	0.256582	0.386503
a75	0.00827176	0.00785559	0.013354	0.0215906	0.0370229	0.073906	0.140292	0.298781	0.398927
a41	0.00819769	0.0093344	0.0197128	0.0342795	0.0566144	0.102079	0.148171	0.264009	0.357601
a27	0.0095383	0.0109131	0.0173075	0.0259841	0.0454631	0.0790426	0.131364	0.270152	0.410235
a75	0.00614115	0.00721813	0.0167886	0.0296827	0.0438986	0.0730865	0.117145	0.259005	0.447034
a73	0.00777455	0.0056518	0.00864027	0.0127458	0.0214581	0.0381429	0.0835668	0.280058	0.541962
a84	0.00629154	0.00447044	0.00677874	0.00906603	0.0156086	0.0299515	0.0722783	0.272876	0.582679
a57	0.0118346	0.00666597	0.00508324	0.006673	0.015063	0.0374223	0.0969515	0.304698	0.515608
a87	0.00887668	0.00447491	0.00265521	0.00352692	0.0116437	0.0392974	0.133459	0.360383	0.435684
</S>	0.0120703	0.00478813	0.00338956	0.00526674	0.0132404	0.0352367	0.104637	0.328408	0.492963
