 	ils	reviendront	bientôt	</S>
a23	0.781368	0.0992263	0.0560261	0.0633799
a85	0.660641	0.12614	0.102452	0.110767
a87	0.281839	0.21416	0.251723	0.252279
a23	0.4884	0.268988	0.132703	0.109909
a20	0.219699	0.186095	0.307944	0.286263
a73	0.209254	0.29537	0.300065	0.195311
a7	0.306547	0.323128	0.222344	0.147982
a20	0.276635	0.38551	0.219181	0.118674
a41	0.237473	0.274125	0.281579	0.206823
a12	0.213522	0.285085	0.2792	0.222193
a41	0.135384	0.252336	0.358683	0.253597
a73	0.232797	0.230424	0.246913	0.289866
a2	0.167614	0.192146	0.294944	0.345295
a20	0.108072	0.150828	0.300081	0.441019
a73	0.0837252	0.117919	0.277618	0.520737
a15	0.0232695	0.0590856	0.327045	0.5906
a73	0.014552	0.048242	0.308608	0.628598
a26	0.0107537	0.0436099	0.306456	0.639181
a61	0.0106395	0.0460382	0.302282	0.64104
a90	0.0416629	0.0714944	0.290819	0.596024
a20	0.0180137	0.0494196	0.280978	0.651589
a58	0.0128676	0.0420622	0.270051	0.675019
a84	0.0104186	0.0285529	0.229329	0.731699
a87	0.00826129	0.0202745	0.219466	0.751998
</S>	0.0383641	0.0619451	0.256787	0.642904
