 	il	apporta	un	beau	cabri	à	ses	beaux-parents	</S>
a23	0.415023	0.275465	0.169868	0.0443916	0.0249341	0.0176152	0.014443	0.0163179	0.0219412
a53	0.239392	0.110466	0.0957461	0.0581251	0.0605868	0.0690537	0.0764012	0.121652	0.168576
a20	0.131881	0.194971	0.150011	0.0984975	0.0827887	0.102895	0.084406	0.0743391	0.0802111
a44	0.24077	0.275315	0.238892	0.0920818	0.047845	0.0411775	0.0228024	0.0189018	0.0222149
a62	0.134177	0.144828	0.197326	0.142757	0.102972	0.0881131	0.0552381	0.0594639	0.0751249
a12	0.210939	0.176687	0.241443	0.151308	0.0830229	0.0469468	0.0277421	0.0283718	0.0335386
a5	0.16608	0.175646	0.228291	0.164301	0.105806	0.0565456	0.0312612	0.0322396	0.0398311
a75	0.128299	0.161609	0.191384	0.158377	0.117022	0.0751916	0.0484903	0.052073	0.0675546
a47	0.0552508	0.0907907	0.105787	0.109413	0.130118	0.134615	0.114844	0.118378	0.140804
a7	0.113767	0.12564	0.101566	0.104708	0.115621	0.103853	0.0794332	0.109421	0.145991
a26	0.114015	0.147512	0.129436	0.12655	0.126699	0.0928022	0.0602381	0.0846401	0.118108
a90	0.0427579	0.0822986	0.094472	0.120276	0.148771	0.140286	0.0978245	0.114965	0.158349
a75	0.0579595	0.0829741	0.0739109	0.0781718	0.106212	0.123427	0.110236	0.153899	0.21321
a37	0.0158914	0.0352322	0.0341418	0.050915	0.0842033	0.123274	0.171684	0.208585	0.276074
a98	0.00796211	0.0209727	0.0222482	0.0410168	0.0854144	0.133367	0.125514	0.219378	0.344127
a79	0.00683435	0.017665	0.0145482	0.0306979	0.082075	0.162936	0.20096	0.223225	0.261059
a37	0.00532414	0.0147625	0.0119513	0.0265975	0.0702628	0.149859	0.229825	0.23087	0.260548
a93	0.00162598	0.00520869	0.00455745	0.0140288	0.0446008	0.0901983	0.135172	0.263674	0.440934
a56	0.00157674	0.00558188	0.00587294	0.017045	0.0460389	0.0789266	0.112061	0.25444	0.478457
a43	0.0006693	0.00171795	0.00165017	0.00517153	0.0224786	0.057629	0.136445	0.291625	0.482614
a11	0.000515505	0.00139449	0.00122624	0.00372077	0.0176831	0.0408108	0.0889265	0.251352	0.59437
a10	0.0013644	0.00312609	0.00239925	0.00506404	0.0221763	0.054165	0.108467	0.251248	0.55199
a87	0.00615219	0.00997375	0.00771122	0.010997	0.0273052	0.0651057	0.128725	0.274508	0.469523
a23	0.144303	0.121625	0.103773	0.0666451	0.0687066	0.077269	0.0938853	0.132806	0.190987
a87	0.0114658	0.0126789	0.0122988	0.0163348	0.0449089	0.0933701	0.211079	0.311988	0.285876
</S>	0.00522832	0.00843354	0.00677157	0.00882339	0.0239851	0.0610008	0.188514	0.340436	0.356807
