 	la	branche	du	manguier	est	flétrie	</S>
a66	0.456964	0.242659	0.140219	0.0893085	0.0397633	0.0179083	0.0131775
a87	0.432569	0.188769	0.1411	0.0961203	0.057975	0.0431318	0.040335
a10	0.375692	0.234341	0.120155	0.0690342	0.0515527	0.0633802	0.0858447
a87	0.431858	0.258558	0.101118	0.0485056	0.0358896	0.0523285	0.0717424
a79	0.429852	0.266861	0.115527	0.0498555	0.0331575	0.045074	0.0596736
a5	0.50767	0.222287	0.0971054	0.0584574	0.0342634	0.0323641	0.0478524
a18	0.503136	0.225135	0.100612	0.0767211	0.0427727	0.0258091	0.0258131
a75	0.410374	0.268437	0.124714	0.0918858	0.0518278	0.0281653	0.0245965
a85	0.308931	0.240695	0.151704	0.140939	0.0733757	0.0437768	0.0405778
a15	0.170561	0.174878	0.154287	0.17928	0.120308	0.100939	0.0997473
a79	0.179018	0.194445	0.171923	0.170262	0.111369	0.0861294	0.0868536
a90	0.175117	0.204519	0.191678	0.17079	0.101097	0.0788717	0.0779264
a92	0.18065	0.205006	0.19381	0.165265	0.10057	0.0802686	0.0744304
a25	0.074562	0.145702	0.181946	0.191505	0.157445	0.129246	0.119594
a79	0.0400753	0.108391	0.189125	0.228666	0.169107	0.129757	0.13488
a98	0.0409963	0.0937564	0.167855	0.22137	0.180812	0.14077	0.15444
a79	0.0249027	0.0666713	0.136032	0.197041	0.203767	0.178688	0.192898
a21	0.0239609	0.0605145	0.12379	0.193915	0.220314	0.185079	0.192427
a5	0.0140452	0.0329669	0.0644315	0.11207	0.1832	0.28064	0.312646
a12	0.0087535	0.0202175	0.0474957	0.099319	0.192064	0.295453	0.336697
a96	0.00690874	0.014713	0.0358281	0.0791708	0.175276	0.290812	0.397292
a50	0.00536768	0.00855075	0.0174123	0.0377814	0.105621	0.271026	0.554241
a62	0.0042319	0.00575399	0.0115931	0.024822	0.0717625	0.230151	0.651685
a21	0.00324432	0.00540394	0.0100934	0.0208247	0.0655916	0.242032	0.65281
a12	0.00169977	0.00271441	0.00521246	0.0113605	0.0411561	0.215277	0.722579
a5	0.00138164	0.00231142	0.00443759	0.00905133	0.0317745	0.179044	0.771999
a36	0.000829584	0.00156656	0.00398354	0.00966621	0.0380631	0.183849	0.762042
a27	0.00581679	0.00687972	0.0154317	0.031096	0.0792689	0.227573	0.633934
a82	0.0416497	0.0344489	0.0625972	0.0916424	0.141989	0.217491	0.410182
a87	0.124662	0.0762988	0.084916	0.0907115	0.127371	0.201148	0.294893
a23	0.163216	0.110086	0.117958	0.105348	0.124831	0.16927	0.209292
a99	0.0133627	0.0101299	0.0177142	0.0278888	0.0778971	0.29154	0.561467
a97	0.0117505	0.0113576	0.0228041	0.0366806	0.0882972	0.285916	0.543194
</S>	0.00425435	0.00645236	0.0142432	0.0234463	0.0638081	0.266686	0.621109
