 	ils	se	boudèrent	longtemps	</S>
a85	0.272309	0.253639	0.219913	0.128125	0.126014
a87	0.313685	0.209644	0.213659	0.123282	0.13973
a23	0.391087	0.226109	0.187065	0.100679	0.095061
a87	0.488284	0.240915	0.144018	0.0636497	0.0631332
a23	0.331555	0.238676	0.200526	0.117775	0.111468
a3	0.489452	0.217103	0.112638	0.079622	0.101186
a40	0.323094	0.219962	0.132756	0.137237	0.186951
a30	0.599922	0.167127	0.0918118	0.0787261	0.0624134
a2	0.649371	0.200843	0.0792942	0.0382403	0.0322513
a40	0.481258	0.249786	0.130524	0.068834	0.0695978
a14	0.412344	0.27601	0.177168	0.0717933	0.0626841
a94	0.345649	0.326919	0.211537	0.0720172	0.0438772
a11	0.348191	0.32433	0.203323	0.0709943	0.0531613
a94	0.319891	0.329773	0.210269	0.0751145	0.0649521
a24	0.297503	0.326341	0.218981	0.0863815	0.0707932
a43	0.287841	0.312824	0.233717	0.0948969	0.070722
a75	0.221623	0.32668	0.23957	0.108624	0.103503
a14	0.179186	0.289594	0.234286	0.156576	0.140358
a35	0.207761	0.256581	0.201663	0.171906	0.162089
a14	0.180317	0.262178	0.206375	0.174818	0.176312
a26	0.149622	0.193594	0.193229	0.232535	0.231019
a31	0.110295	0.125795	0.149845	0.26297	0.351096
a21	0.079228	0.126803	0.202342	0.2883	0.303327
a85	0.0684439	0.100585	0.168615	0.307265	0.355091
a14	0.0891449	0.10688	0.186039	0.286587	0.331349
a73	0.0942534	0.129188	0.171965	0.281514	0.323079
a56	0.0889894	0.0806134	0.11304	0.273066	0.444291
a34	0.0626543	0.0874801	0.130464	0.289736	0.429665
a98	0.0511628	0.0850534	0.126766	0.28889	0.448129
a14	0.03697	0.0557548	0.110374	0.301521	0.49538
a30	0.0662195	0.0754619	0.105993	0.325978	0.426348
a2	0.0321762	0.0392063	0.0648627	0.289615	0.57414
a57	0.0398022	0.0623289	0.121047	0.312253	0.464569
a87	0.0278823	0.0399802	0.0779718	0.309482	0.544683
a23	0.0195686	0.0307591	0.0547218	0.289409	0.605542
a87	0.0196321	0.03292	0.077383	0.464824	0.405241
</S>	0.0132404	0.0282551	0.0480983	0.358452	0.551954
