 	il	a	gardé	ses	outils	de	travail	en	forêt	</S>
a84	0.30068	0.174777	0.141547	0.099294	0.0850374	0.0827087	0.0485609	0.0225893	0.0215742	0.0232315
a87	0.415403	0.238286	0.123218	0.0661488	0.0448665	0.0382379	0.0217566	0.0144313	0.0152263	0.0224248
a23	0.344852	0.249419	0.154932	0.0914717	0.0571496	0.0314673	0.018621	0.013271	0.0149658	0.023851
a79	0.258499	0.236127	0.159995	0.121208	0.0773341	0.036987	0.021238	0.0217013	0.0261726	0.0407376
a90	0.269973	0.194988	0.138756	0.117956	0.110143	0.0662124	0.0304848	0.0206987	0.0233391	0.0274505
a69	0.224481	0.255112	0.18	0.149115	0.0849525	0.0456911	0.0198329	0.0122559	0.013143	0.0154164
a94	0.105975	0.169231	0.162615	0.202278	0.140028	0.0861063	0.0436835	0.0275939	0.0279671	0.0345233
a56	0.0763436	0.125347	0.128999	0.193764	0.180764	0.119991	0.0551458	0.0388726	0.0363052	0.0444678
a43	0.0852865	0.120386	0.128303	0.173699	0.175743	0.157127	0.0628095	0.0341124	0.0284271	0.0341065
a31	0.0642928	0.0972265	0.107402	0.162354	0.197611	0.181125	0.069586	0.0411134	0.0366488	0.0426407
a24	0.0812198	0.102915	0.117447	0.157813	0.195146	0.204812	0.0630468	0.026503	0.0238419	0.0272552
a88	0.0416825	0.055856	0.0963478	0.137959	0.20137	0.242862	0.106041	0.0408914	0.0356048	0.041385
a9	0.0316961	0.0385985	0.0781939	0.118008	0.195153	0.242743	0.132564	0.0574846	0.0490471	0.0565113
a38	0.0164815	0.0219576	0.0759739	0.146989	0.240493	0.219522	0.113584	0.0644225	0.0476418	0.0529346
a34	0.0133918	0.0150832	0.0565775	0.121437	0.209992	0.230961	0.149214	0.069921	0.064957	0.0684654
a56	0.0279728	0.0273552	0.0448545	0.0575515	0.102596	0.18311	0.236301	0.124142	0.0977935	0.0983236
a90	0.0144715	0.0145041	0.0230783	0.0293798	0.0541854	0.114458	0.257997	0.199747	0.146612	0.145567
a15	0.0102627	0.0109731	0.0169913	0.0195651	0.0398425	0.100576	0.254152	0.235243	0.162085	0.150309
a79	0.00412191	0.00471876	0.00838492	0.0105463	0.0243262	0.0612774	0.184291	0.23169	0.220365	0.250278
a56	0.00740056	0.0077915	0.0120583	0.0156039	0.0356305	0.0628908	0.15658	0.183623	0.205334	0.313088
a43	0.00255059	0.00207828	0.00349411	0.0039584	0.00900954	0.0242103	0.120231	0.227534	0.270282	0.336653
a75	0.00116532	0.000843423	0.00129032	0.00178268	0.0046532	0.010445	0.0605438	0.181974	0.299479	0.437823
a98	0.000468654	0.000362215	0.000624348	0.000687585	0.00147615	0.00443085	0.0462666	0.180616	0.314211	0.450857
a92	0.00036976	0.000310024	0.000487787	0.000385226	0.000609758	0.0016802	0.0212681	0.109209	0.333858	0.531822
a25	0.000232227	0.000170526	0.000296489	0.000299523	0.000763271	0.00234618	0.0285268	0.121759	0.313932	0.531674
a69	0.000236829	0.000190187	0.000294629	0.000303001	0.000800525	0.00209132	0.0180353	0.108635	0.338042	0.531372
a90	0.000628691	0.000409957	0.00052561	0.000750363	0.00252357	0.00530054	0.0298995	0.123321	0.315497	0.521144
a69	0.000549214	0.000350496	0.000432723	0.000587578	0.00218616	0.00570624	0.0313207	0.131954	0.313946	0.512967
a58	0.00105888	0.000698106	0.000895912	0.00111421	0.00302622	0.00671926	0.0357973	0.135819	0.305432	0.509439
a82	0.00110507	0.000826696	0.00116658	0.0024013	0.00763216	0.0165967	0.0496048	0.127381	0.283046	0.510239
a87	0.0855529	0.0552578	0.0432687	0.0365686	0.0395126	0.0517199	0.0780758	0.126154	0.207762	0.276128
a23	0.475873	0.26245	0.106215	0.0418934	0.0192323	0.0179052	0.0210392	0.0172691	0.0186474	0.0194756
a99	0.129152	0.0653106	0.0251216	0.0173073	0.0193294	0.0380944	0.104132	0.169887	0.234168	0.197498
a97	0.0111136	0.00593552	0.00298462	0.00221821	0.00436352	0.011422	0.0654354	0.213929	0.33646	0.346139
</S>	0.00709845	0.00477607	0.00293059	0.00235846	0.00556139	0.0168467	0.075981	0.17993	0.312199	0.392318
