 	le	nid	du	colibri	est	dans	le	feuillage	du	manguier	</S>
a66	0.277911	0.213681	0.141988	0.0648595	0.0394792	0.0376562	0.0535764	0.0595224	0.0534557	0.0327529	0.025118
a87	0.284815	0.189096	0.146112	0.0979201	0.064224	0.0669437	0.0618217	0.0469589	0.0208667	0.0105592	0.0106819
a23	0.262032	0.18005	0.151513	0.174283	0.0855369	0.0494728	0.0318199	0.0254004	0.0146683	0.0110954	0.0141278
a97	0.192392	0.135497	0.12684	0.207029	0.112203	0.0689841	0.0424797	0.0366592	0.0279593	0.0223777	0.0275792
a38	0.270098	0.16339	0.129325	0.146373	0.0732422	0.0475072	0.0369535	0.0375026	0.0337577	0.0302329	0.0316171
a70	0.201752	0.158781	0.170633	0.156554	0.0465018	0.0298086	0.029645	0.0338141	0.0447035	0.0579871	0.0698203
a93	0.245589	0.189795	0.180579	0.18067	0.072084	0.0432869	0.0330241	0.0187474	0.0137881	0.0108259	0.0116109
a90	0.133316	0.128722	0.137123	0.199208	0.163249	0.105603	0.0660026	0.0301185	0.0140039	0.0105651	0.0120877
a25	0.106175	0.109439	0.105106	0.159557	0.184888	0.144052	0.0964252	0.0457476	0.0189401	0.0138919	0.0157781
a79	0.0859979	0.0950477	0.0994853	0.155468	0.171599	0.146806	0.11636	0.0658181	0.0271431	0.0176426	0.0186326
a20	0.0817719	0.0822598	0.0800253	0.112737	0.154121	0.138704	0.134649	0.0963478	0.0468511	0.0338881	0.0386454
a21	0.0565284	0.0623851	0.0672411	0.0908316	0.137428	0.139644	0.141207	0.110073	0.0702218	0.0585433	0.0658972
a12	0.0196627	0.0205679	0.0251442	0.0353186	0.0846398	0.133416	0.177488	0.186126	0.13085	0.0906375	0.0961494
a31	0.00753402	0.00865956	0.0104704	0.0120379	0.0383069	0.078476	0.154664	0.199761	0.204503	0.14196	0.143626
a88	0.00330679	0.00372857	0.00439274	0.00564854	0.0164945	0.0317246	0.0759988	0.143246	0.265812	0.233615	0.216032
a31	0.00173268	0.0018209	0.00192939	0.00301684	0.0080961	0.015027	0.0323443	0.0739832	0.200349	0.283934	0.377767
a0	0.000924056	0.00116871	0.00143638	0.0022643	0.00535545	0.0097838	0.0208418	0.0538063	0.186752	0.325693	0.391974
a75	0.000941859	0.00118159	0.00153016	0.00252833	0.00375076	0.00596972	0.0129519	0.0388893	0.117326	0.279967	0.534963
a25	0.000260693	0.000419493	0.000712016	0.00104797	0.00197513	0.00376669	0.0110069	0.0326517	0.110692	0.318071	0.519396
a94	0.000124527	0.000200123	0.000398211	0.000831904	0.00200597	0.004167	0.0111424	0.0336195	0.0957188	0.278412	0.573379
a54	0.00260963	0.00327926	0.00418003	0.00596316	0.00807904	0.011486	0.0219718	0.0531513	0.113182	0.249826	0.526271
a7	0.000280983	0.000483196	0.000922306	0.00178509	0.00253633	0.00418464	0.0094773	0.0311218	0.0859323	0.261998	0.601278
a44	0.00153914	0.00239383	0.00356698	0.0052882	0.00640477	0.00965817	0.0198112	0.050803	0.113261	0.254868	0.532406
a66	0.000832854	0.00153128	0.00241574	0.003851	0.00472794	0.00772386	0.016362	0.044149	0.104148	0.272313	0.541946
a71	0.00982322	0.0116167	0.0135141	0.0167039	0.0277839	0.0375891	0.0544981	0.0884623	0.162225	0.251775	0.326008
a9	0.0333844	0.0279999	0.0294529	0.0339058	0.0542084	0.0663329	0.0837276	0.113776	0.150916	0.18322	0.223076
a10	0.150792	0.0858658	0.0719026	0.082213	0.0860616	0.0921802	0.0879796	0.0949625	0.0898226	0.0793812	0.078839
a87	0.152454	0.101746	0.0769855	0.0984528	0.1206	0.116822	0.0892159	0.0725892	0.0547607	0.0546025	0.0617729
a23	0.123554	0.0939897	0.071947	0.0864024	0.108156	0.1074	0.0879744	0.0705386	0.0641123	0.0830554	0.10287
a87	0.0435683	0.0319525	0.0333758	0.0550309	0.075711	0.089733	0.0968383	0.101197	0.1021	0.147883	0.222611
a10	0.00880548	0.00915581	0.0170559	0.0482575	0.0512957	0.0579771	0.0632502	0.0835615	0.118068	0.195388	0.347185
a97	0.0184191	0.0179964	0.0270731	0.0625353	0.0662054	0.0667395	0.0747339	0.0952537	0.122809	0.174278	0.273957
</S>	0.0229516	0.0210407	0.0284761	0.0658389	0.0682835	0.0733242	0.083329	0.105103	0.121449	0.164705	0.245499
