 	il	n'	achète	pas	ça	</S>
a23	0.239464	0.190722	0.21467	0.145055	0.104803	0.105286
a87	0.309452	0.198752	0.215557	0.119099	0.0870531	0.070087
a23	0.280209	0.195505	0.216819	0.128753	0.0958299	0.0828841
a79	0.220489	0.171612	0.216211	0.154177	0.128874	0.108635
a20	0.36059	0.250254	0.181086	0.08008	0.0692398	0.05875
a44	0.340743	0.308182	0.227262	0.0682518	0.0351519	0.0204088
a54	0.337248	0.316348	0.211022	0.0699411	0.0378045	0.0276363
a94	0.315333	0.299253	0.202093	0.0843808	0.0529963	0.0459441
a32	0.340092	0.296289	0.199025	0.0812919	0.0451664	0.0381348
a11	0.266593	0.285063	0.222703	0.109834	0.063424	0.052382
a76	0.21462	0.242825	0.231738	0.146776	0.0890945	0.0749456
a35	0.240652	0.241709	0.207181	0.12941	0.0934185	0.0876306
a14	0.183443	0.187226	0.196896	0.174156	0.138758	0.11952
a41	0.121035	0.138756	0.154848	0.183269	0.201768	0.200324
a24	0.0604947	0.0657648	0.0903969	0.176284	0.277666	0.329393
a26	0.0298763	0.033822	0.044598	0.109083	0.27238	0.51024
a24	0.0250653	0.0270029	0.0388935	0.0919489	0.250644	0.566446
a41	0.0248664	0.0275827	0.0336808	0.0717264	0.223073	0.619071
a25	0.0134117	0.015417	0.0237066	0.0715299	0.244331	0.631604
a87	0.0228587	0.0237837	0.0353672	0.0725632	0.199374	0.646054
</S>	0.0150752	0.0173565	0.026707	0.0766449	0.213724	0.650492
