 	le	vent	fait	repandre	le	feu	</S>
a66	0.431119	0.278187	0.0975395	0.0685537	0.0487509	0.0407791	0.0350709
a87	0.447035	0.253383	0.117991	0.0871314	0.0360368	0.0293772	0.0290453
a23	0.506022	0.26664	0.123062	0.0591541	0.014549	0.0139256	0.016647
a79	0.456734	0.269448	0.118299	0.0742239	0.0230143	0.0319088	0.0263719
a58	0.474006	0.226763	0.11887	0.0713561	0.0339145	0.0382684	0.0368213
a53	0.265893	0.278514	0.197342	0.152659	0.0323794	0.0395403	0.0336719
a94	0.225816	0.399278	0.241072	0.0905426	0.0168814	0.0151364	0.011273
a57	0.130486	0.302453	0.291224	0.172406	0.0363286	0.0366469	0.0304556
a38	0.0985857	0.237668	0.293419	0.226086	0.0492333	0.0509255	0.0440825
a5	0.0817133	0.158801	0.246552	0.284375	0.0700422	0.076215	0.0823007
a70	0.066018	0.130183	0.189172	0.265699	0.132896	0.114311	0.101721
a93	0.0542388	0.0881236	0.148972	0.29319	0.152149	0.127762	0.135565
a53	0.0434501	0.0689634	0.137984	0.317847	0.167609	0.126467	0.137679
a90	0.0318084	0.0574646	0.100574	0.238457	0.232356	0.172814	0.166527
a44	0.0261915	0.0424555	0.0738179	0.195053	0.270442	0.222914	0.169126
a93	0.0178972	0.024018	0.0475775	0.144995	0.285279	0.249704	0.230529
a34	0.0180518	0.0205377	0.0418814	0.142746	0.312786	0.237829	0.226168
a37	0.00885819	0.00943209	0.017889	0.0655598	0.225159	0.294497	0.378604
a70	0.00400712	0.00463412	0.0106449	0.0422167	0.195473	0.304819	0.438205
a66	0.00414893	0.00443554	0.00911764	0.0284881	0.158073	0.306724	0.489013
a61	0.00164591	0.00169789	0.00252423	0.00839205	0.0981408	0.319013	0.568586
a11	0.000684551	0.000711806	0.00138558	0.00517617	0.0754486	0.297549	0.619044
a54	0.000392304	0.000352518	0.000638866	0.00246311	0.0549548	0.254164	0.687034
a56	0.000117177	0.000129928	0.000288966	0.00154254	0.0499359	0.21331	0.734675
a70	0.000114363	0.000130883	0.000298371	0.00119068	0.0405205	0.199717	0.758028
a94	0.000120378	0.000117036	0.000219773	0.000703717	0.0306337	0.159722	0.808483
a37	0.000170665	0.000153808	0.00026634	0.000795541	0.0321649	0.14769	0.818759
a66	0.000295095	0.000250171	0.000388044	0.00103921	0.0409725	0.156079	0.800976
a26	0.00429369	0.00314938	0.00340966	0.00544341	0.0649022	0.164297	0.754505
a38	0.043312	0.0209784	0.0162092	0.0150804	0.0778488	0.172034	0.654537
a9	0.0144366	0.00948476	0.0105249	0.0156676	0.09176	0.185602	0.672525
a99	0.111241	0.0452238	0.0311457	0.0348828	0.105376	0.177064	0.495067
a87	0.147507	0.0624702	0.0426793	0.0518891	0.116793	0.167436	0.411225
a23	0.294117	0.118114	0.0501434	0.0323494	0.0722159	0.130796	0.302264
a87	0.237473	0.144992	0.0907963	0.0680553	0.12121	0.139147	0.198327
</S>	0.0860693	0.0637114	0.0481092	0.0487463	0.165449	0.23717	0.350745
