 	sa	mère	a	plus	d'	amour	pour	lui	que	pour	son	frère	</S>
a23	0.282844	0.172996	0.0925906	0.0962571	0.0907671	0.0627585	0.0517405	0.0390265	0.0265063	0.0204854	0.0199063	0.0209452	0.0231768
a87	0.41303	0.254998	0.0798306	0.0439352	0.0304653	0.0267269	0.0293828	0.026319	0.0193984	0.0166479	0.0167447	0.0184306	0.0240912
a10	0.145611	0.136309	0.0985669	0.0695134	0.0448665	0.0402016	0.0464328	0.0493817	0.0503775	0.0582964	0.0727579	0.07993	0.107755
a87	0.212389	0.175625	0.102545	0.054074	0.0324032	0.0299705	0.0354792	0.0410578	0.0431043	0.0470513	0.0587063	0.0692866	0.0983075
a23	0.1862	0.150207	0.0936568	0.0596669	0.0436651	0.0389445	0.0449347	0.0512009	0.0554934	0.0595158	0.0679294	0.0706623	0.0779227
a87	0.179824	0.149025	0.0880064	0.0567404	0.0425219	0.0410525	0.04998	0.0544541	0.052525	0.0536777	0.0612045	0.0736535	0.0973343
a79	0.165341	0.140825	0.0888284	0.0605287	0.0489718	0.0441825	0.0498776	0.0545502	0.0565806	0.0605429	0.0679473	0.077291	0.0845336
a90	0.144009	0.117931	0.0702702	0.0446545	0.0377956	0.0449954	0.0516126	0.0525176	0.0521807	0.0579177	0.0730028	0.106671	0.146441
a13	0.309775	0.298669	0.174787	0.0656678	0.0341357	0.0263276	0.0222603	0.0156243	0.0107044	0.00897429	0.009299	0.0113313	0.0124442
a11	0.22214	0.251186	0.189212	0.0928819	0.0523196	0.0385146	0.0355787	0.0279258	0.020251	0.0156155	0.0162502	0.0182113	0.0199131
a26	0.143268	0.17226	0.172879	0.127851	0.0872611	0.0598667	0.0538008	0.0436862	0.0335029	0.0255067	0.0253613	0.0261106	0.0286457
a98	0.0873871	0.10245	0.113175	0.116372	0.0987571	0.0719886	0.0672305	0.0610361	0.0557173	0.0508997	0.0538792	0.0572717	0.0638364
a11	0.089731	0.107989	0.118448	0.121887	0.100673	0.073283	0.0673432	0.0615645	0.0530284	0.0466439	0.0499752	0.0526531	0.0567802
a24	0.104447	0.123866	0.136818	0.140122	0.112415	0.0759624	0.0691947	0.0584813	0.0431846	0.0325723	0.032697	0.0336645	0.036576
a41	0.0645246	0.0856617	0.105011	0.143242	0.132451	0.099718	0.10109	0.0830293	0.0513566	0.0338334	0.0317383	0.0323124	0.0360311
a14	0.0581539	0.0864102	0.117482	0.163703	0.144026	0.105219	0.0990537	0.076927	0.0449864	0.0280423	0.024378	0.023928	0.027691
a73	0.0698066	0.0896158	0.105267	0.143563	0.129963	0.104545	0.105155	0.0888424	0.0569717	0.0340701	0.026317	0.0221798	0.0237045
a76	0.0445117	0.0577273	0.0653937	0.12587	0.142054	0.122146	0.125742	0.10742	0.0673635	0.0412811	0.0337612	0.0306653	0.0360641
a73	0.0341443	0.0457926	0.0578534	0.1128	0.124597	0.109378	0.116623	0.110887	0.0847626	0.0616156	0.050759	0.0433382	0.0474497
a35	0.035313	0.0439505	0.04792	0.0891729	0.109177	0.101558	0.114415	0.114303	0.0896246	0.0684701	0.0606321	0.0555908	0.0698726
a14	0.0262445	0.0327743	0.040094	0.0730794	0.0956125	0.0992022	0.11534	0.121887	0.10111	0.0830302	0.0736638	0.0641103	0.0738512
a94	0.0382689	0.0462223	0.0492773	0.0686671	0.0812647	0.083224	0.0968719	0.107367	0.0970419	0.0873948	0.0828861	0.075253	0.0862615
a66	0.0221089	0.0247099	0.0245978	0.0360475	0.047995	0.0651803	0.0928561	0.12705	0.128876	0.112981	0.105035	0.0936385	0.118924
a53	0.0106644	0.0126521	0.014063	0.0276834	0.0514768	0.0871929	0.139747	0.184622	0.156727	0.10263	0.0763902	0.060876	0.0752746
a76	0.0212746	0.022698	0.0228324	0.0331026	0.0472117	0.0705718	0.100635	0.129363	0.126111	0.109221	0.104146	0.095656	0.117177
a94	0.032491	0.0323135	0.0296803	0.0384953	0.0453923	0.0600822	0.0692544	0.0827141	0.101225	0.11082	0.1159	0.119722	0.16191
a58	0.0154926	0.0148265	0.0138688	0.0211916	0.0306759	0.0502596	0.0737951	0.0988823	0.131866	0.145514	0.134685	0.119122	0.149821
a9	0.0191324	0.0159911	0.0148625	0.0235198	0.0352001	0.0567636	0.0914127	0.117038	0.137177	0.131551	0.115761	0.10337	0.138221
a87	0.0129313	0.00933655	0.00845963	0.0133601	0.0235945	0.0449033	0.084701	0.127086	0.144046	0.123844	0.113578	0.117133	0.177026
a23	0.0225937	0.0180556	0.0161697	0.0236386	0.0390401	0.059329	0.0666955	0.07434	0.0878567	0.10918	0.122361	0.154381	0.20636
a79	0.0172183	0.012804	0.0096558	0.0178654	0.0341628	0.0636303	0.0766811	0.0801816	0.0812064	0.09067	0.107411	0.166995	0.241518
a90	0.0146633	0.0123319	0.00970744	0.0202506	0.0400449	0.0754419	0.0879848	0.0822917	0.0685628	0.0622354	0.078164	0.150227	0.298094
a9	0.0375953	0.0309266	0.0280113	0.033777	0.0447321	0.0673491	0.0835404	0.0966783	0.0957396	0.0812362	0.0880767	0.119053	0.193284
a97	0.00783338	0.00653834	0.00627486	0.0104324	0.0188662	0.0395649	0.054721	0.0699545	0.0813233	0.0899852	0.117572	0.185346	0.311588
a79	0.00292956	0.00264732	0.00276533	0.00420072	0.00763023	0.0167678	0.031887	0.0512435	0.0752342	0.10179	0.137456	0.222467	0.342981
a75	0.00596046	0.00507074	0.00504273	0.00882226	0.0154578	0.0318796	0.0441657	0.0600001	0.0788506	0.0873709	0.107982	0.189432	0.359966
a41	0.0124852	0.0102688	0.0090533	0.0163179	0.0240782	0.0372842	0.0560866	0.0844146	0.117397	0.123525	0.133069	0.159943	0.216078
