 	la	mère	chatouille	l'	enfant	</S>
a15	0.331682	0.412114	0.228735	0.0140671	0.00716958	0.00623191
a87	0.245521	0.354323	0.268651	0.0671381	0.0374419	0.0269246
a23	0.435479	0.164437	0.0906947	0.108472	0.103366	0.0975509
a87	0.537064	0.249922	0.126223	0.0283177	0.0263095	0.0321633
a23	0.446088	0.258691	0.180691	0.0450206	0.0325611	0.0369482
a87	0.388695	0.285712	0.19525	0.0444738	0.0426074	0.043261
a23	0.343417	0.26314	0.258663	0.0498606	0.041719	0.0432004
a83	0.364109	0.234284	0.180813	0.06802	0.0763766	0.0763966
a90	0.491237	0.236054	0.0978446	0.0523374	0.058013	0.064514
a4	0.360691	0.243938	0.17094	0.0694065	0.0722762	0.0827483
a90	0.226988	0.195077	0.185142	0.121166	0.124727	0.146901
a92	0.123473	0.123546	0.162119	0.152624	0.200833	0.237406
a85	0.101043	0.120496	0.192717	0.181693	0.186294	0.217758
a5	0.137302	0.139621	0.143739	0.152094	0.195136	0.232109
a18	0.135375	0.154764	0.199321	0.118538	0.171183	0.220819
a61	0.103868	0.124515	0.172464	0.12853	0.194532	0.27609
a21	0.100255	0.111123	0.143498	0.12257	0.207114	0.315439
a18	0.13823	0.111541	0.100011	0.169169	0.225477	0.255572
a0	0.0419189	0.0439386	0.0548792	0.153623	0.312769	0.392871
a75	0.0200976	0.0228891	0.0353186	0.103745	0.310807	0.507143
a85	0.0299704	0.0202387	0.0146477	0.0704521	0.266993	0.597698
a5	0.01755	0.0101923	0.00774858	0.0537015	0.310255	0.600553
a41	0.00834951	0.0078483	0.0131542	0.0977954	0.289709	0.583144
a37	0.0052424	0.00270262	0.00258706	0.0434541	0.256275	0.689739
a26	0.00500169	0.0043948	0.0102993	0.0865057	0.243764	0.650035
a25	0.0312086	0.0187153	0.0178464	0.0487006	0.197558	0.685971
a87	0.0553871	0.0343984	0.0188311	0.0564041	0.186396	0.648584
a23	0.24286	0.247873	0.0969746	0.0630811	0.118951	0.23026
a87	0.0410747	0.0487655	0.034976	0.0904271	0.269094	0.515663
a23	0.0201681	0.0264304	0.0221836	0.0984678	0.286679	0.546072
a87	0.0190004	0.0193099	0.0140738	0.0834512	0.310155	0.55401
</S>	0.015518	0.0190473	0.0118118	0.0919626	0.319251	0.542409
