 	il	a	un	caractère	bougon	</S>
a23	0.429822	0.218825	0.151424	0.084173	0.0422223	0.0735343
a87	0.436027	0.173627	0.135111	0.102695	0.0799385	0.0726015
a23	0.314718	0.231167	0.186783	0.120994	0.0779079	0.0684296
a20	0.221386	0.164273	0.168592	0.202851	0.117958	0.12494
a41	0.323095	0.209264	0.145282	0.205124	0.074155	0.0430802
a26	0.298235	0.283531	0.196492	0.16325	0.0401398	0.0183526
a35	0.299036	0.252335	0.163019	0.160783	0.0774692	0.0473575
a21	0.3054	0.248492	0.16807	0.146517	0.0819004	0.0496204
a24	0.140876	0.148431	0.173715	0.217148	0.18149	0.13834
a94	0.0257105	0.0256643	0.0517946	0.156079	0.333359	0.407393
a56	0.0307188	0.0208738	0.0328934	0.107541	0.322496	0.485477
a75	0.0156518	0.0168074	0.0356557	0.142717	0.331233	0.457935
a35	0.0069804	0.0120196	0.0365948	0.146832	0.284754	0.512818
a61	0.00515685	0.00915958	0.0290136	0.142034	0.26984	0.544795
a21	0.0072217	0.0104525	0.0221003	0.0935596	0.252656	0.61401
a47	0.0149365	0.0197444	0.0413849	0.114429	0.232067	0.577438
a61	0.00947011	0.0142107	0.0297773	0.0910364	0.222583	0.632922
a32	0.0122938	0.0178117	0.0350719	0.0913602	0.243455	0.600008
a25	0.0088764	0.0177683	0.0405306	0.110202	0.244655	0.577967
a87	0.00552081	0.0084441	0.0205446	0.0770494	0.222217	0.666224
</S>	0.0214675	0.0276415	0.050161	0.111243	0.209484	0.580002
