 	la	pirogue	est	fabriquée	à	base	du	bois	rouge	esii	</S>
a66	0.200209	0.253423	0.257147	0.145965	0.0806023	0.0334055	0.0111756	0.00616659	0.00546868	0.00383893	0.00259889
a87	0.200478	0.232055	0.214782	0.111257	0.0559909	0.0336159	0.0418054	0.031263	0.0361075	0.0283243	0.0143215
a23	0.253822	0.222821	0.195194	0.124577	0.0754781	0.0354465	0.0265655	0.00921646	0.0136556	0.0233139	0.0199101
a54	0.213523	0.12803	0.101551	0.080591	0.0427832	0.0329539	0.060429	0.0443787	0.0871031	0.0940328	0.114624
a47	0.186398	0.179294	0.162085	0.12495	0.0884005	0.0552846	0.0447012	0.0277957	0.042935	0.0442222	0.0439336
a15	0.177759	0.158333	0.185049	0.122266	0.0814998	0.0627864	0.0536066	0.0416088	0.0478025	0.0376754	0.0316129
a7	0.151317	0.138931	0.206292	0.141725	0.0981543	0.0730376	0.0901976	0.0417801	0.0289732	0.0176251	0.0119676
a47	0.0844054	0.0512435	0.0576975	0.108157	0.114855	0.127884	0.191346	0.155617	0.0738933	0.0221319	0.0127702
a36	0.0399181	0.0323332	0.0439533	0.10293	0.134441	0.163712	0.228748	0.155506	0.0642556	0.0236803	0.010522
a98	0.0340273	0.0254604	0.0226532	0.0321175	0.0550081	0.081	0.153088	0.281277	0.19727	0.0727276	0.0453717
a5	0.0227544	0.0160939	0.0110784	0.0179658	0.032666	0.0530563	0.115437	0.279702	0.211995	0.0983539	0.140898
a37	0.00593411	0.00576522	0.0037624	0.00316638	0.00402824	0.011341	0.0351809	0.175574	0.247184	0.193602	0.314462
a61	0.00416416	0.00288004	0.00207993	0.00181116	0.00194113	0.0042856	0.0154527	0.0984718	0.201426	0.211163	0.456325
a0	0.00130126	0.000730271	0.000560223	0.000467057	0.000662382	0.00119497	0.00484145	0.0438025	0.157596	0.24596	0.542885
a24	0.00248905	0.00133067	0.000882209	0.000494183	0.000664489	0.000684427	0.00214406	0.025114	0.118677	0.218233	0.629288
a9	0.00319164	0.00195167	0.00134339	0.00084381	0.00111743	0.000979261	0.00228779	0.0177893	0.0781256	0.190828	0.701543
a10	0.0412258	0.0442666	0.0503299	0.0345432	0.0182833	0.0103459	0.0164488	0.0435296	0.106472	0.206713	0.427842
a87	0.149746	0.162065	0.193593	0.160396	0.102277	0.0511445	0.0317205	0.0242631	0.0319391	0.0417603	0.0510945
a23	0.157563	0.180991	0.205317	0.156285	0.103227	0.0538349	0.0345754	0.0250014	0.0276527	0.0283962	0.0271564
a99	0.083605	0.0636395	0.0642725	0.0546352	0.0470508	0.0292549	0.0269196	0.0660419	0.158907	0.167263	0.238411
a97	0.0209649	0.0184191	0.0205372	0.0142218	0.0151019	0.0102375	0.0148424	0.0643727	0.137886	0.207899	0.475518
</S>	0.0155232	0.0164018	0.019315	0.0169834	0.0243601	0.0187298	0.0178584	0.0572612	0.153374	0.188883	0.47131
