 	le	bourdon	fait	du	bruit	dans	le	bois	</S>
a66	0.227426	0.279026	0.184513	0.112167	0.0799199	0.0484099	0.0300713	0.0202272	0.0182398
a97	0.4514	0.250506	0.124689	0.0511015	0.0330505	0.0241465	0.0222696	0.0190693	0.0237672
a87	0.393735	0.312627	0.116172	0.0557092	0.0243635	0.0146145	0.01778	0.0269914	0.0380078
a23	0.341548	0.409558	0.124133	0.0412357	0.0191303	0.0119341	0.0127788	0.0170365	0.0226458
a97	0.387047	0.372617	0.106148	0.0316868	0.0186011	0.0143789	0.0173051	0.0224685	0.0297473
a87	0.390032	0.33655	0.130022	0.0413202	0.0217439	0.0147819	0.0176358	0.022438	0.0254757
a23	0.327978	0.294203	0.153558	0.0662972	0.0374802	0.0245135	0.0274061	0.032613	0.0359509
a50	0.395184	0.294662	0.113991	0.0366881	0.0269756	0.0221879	0.0289338	0.0384438	0.0429345
a62	0.343574	0.271834	0.143647	0.0518063	0.0418067	0.0336584	0.033999	0.0377841	0.0418906
a93	0.334948	0.275561	0.183363	0.0807632	0.0398946	0.0271787	0.0211976	0.0191767	0.0179171
a90	0.248983	0.214454	0.211408	0.129505	0.0637596	0.0431613	0.0325006	0.0292255	0.0270033
a92	0.160492	0.163797	0.216463	0.174293	0.0961189	0.0637191	0.0452212	0.0410221	0.038874
a75	0.10224	0.159483	0.214553	0.185295	0.114188	0.0701737	0.0499149	0.0508215	0.0533319
a92	0.0580316	0.132871	0.25884	0.217849	0.139129	0.0754875	0.0431166	0.037524	0.0371499
a21	0.0531595	0.132522	0.253153	0.222521	0.14683	0.0804608	0.0425772	0.034769	0.0340082
a12	0.0428331	0.102691	0.25745	0.251471	0.153437	0.0845216	0.0431941	0.0334263	0.0309761
a61	0.0196412	0.0643224	0.203462	0.230364	0.165742	0.11963	0.073522	0.0630259	0.0602908
a21	0.0140427	0.0358552	0.17385	0.282128	0.216278	0.119038	0.0605236	0.0496856	0.0485983
a92	0.00688264	0.0216309	0.10302	0.221497	0.213117	0.162118	0.105318	0.0848882	0.0815283
a56	0.0055456	0.0189275	0.074183	0.176388	0.196791	0.173695	0.132735	0.114586	0.107149
a47	0.00746132	0.0209527	0.0826897	0.195246	0.239505	0.185122	0.103079	0.0806112	0.0853343
a62	0.00687079	0.0194852	0.0623781	0.159646	0.212208	0.178705	0.125724	0.113986	0.120997
a88	0.00490323	0.0108509	0.048185	0.138765	0.210857	0.196058	0.139993	0.122919	0.127469
a11	0.00441274	0.00702033	0.0225034	0.0673409	0.134583	0.180104	0.200216	0.182127	0.201692
a90	0.00800817	0.0112773	0.0150167	0.0297259	0.0628844	0.104349	0.179516	0.24392	0.345303
a25	0.000687316	0.00201763	0.00617315	0.0207214	0.0601202	0.128673	0.188729	0.264594	0.328284
a15	0.000501776	0.00132151	0.00318219	0.00958162	0.0273638	0.0699452	0.161961	0.297776	0.428366
a7	0.00140817	0.00256351	0.00338391	0.00871779	0.0225129	0.0561049	0.156822	0.313068	0.435419
a84	0.00338739	0.00396959	0.00325216	0.00763305	0.0179425	0.0432602	0.139519	0.314353	0.466683
a87	0.0131177	0.016466	0.0150702	0.0295328	0.0548372	0.0936978	0.175628	0.25754	0.34411
a97	0.10025	0.0483075	0.0766181	0.0926813	0.108244	0.109862	0.131916	0.157951	0.17417
a87	0.139683	0.0829671	0.0972872	0.0952328	0.102208	0.117026	0.131505	0.119906	0.114185
a23	0.0826731	0.0652655	0.0848326	0.119819	0.133575	0.140105	0.139055	0.122565	0.112109
a82	0.0181252	0.010739	0.0481826	0.111375	0.15633	0.187022	0.182428	0.147475	0.138323
a10	0.00873707	0.00904272	0.0453639	0.100167	0.12747	0.152826	0.167022	0.190077	0.199294
</S>	0.0184555	0.0193883	0.0655894	0.102374	0.116763	0.143119	0.153597	0.178401	0.202312
