 	mon	beau-	frère	a	mangé	le	blaireau	lui-même	</S>
a87	0.183372	0.18761	0.18107	0.188381	0.152383	0.0681343	0.0207255	0.0108131	0.00751116
a10	0.148537	0.100361	0.0838216	0.0710586	0.106988	0.100892	0.113413	0.130731	0.144198
a87	0.176697	0.132199	0.110176	0.108688	0.129216	0.103251	0.080336	0.077976	0.0814613
a99	0.191805	0.136096	0.11757	0.112098	0.124147	0.100576	0.0832652	0.0676714	0.0667702
a11	0.186834	0.20312	0.1217	0.0915365	0.0944124	0.091875	0.0860573	0.0655737	0.0588914
a90	0.292914	0.237571	0.158226	0.10502	0.0645833	0.0393447	0.0304676	0.0339578	0.0379167
a85	0.260808	0.198324	0.144188	0.143882	0.0994344	0.0334803	0.0322783	0.0428774	0.0447277
a73	0.209651	0.176605	0.150754	0.179592	0.137989	0.0450932	0.0289563	0.0380696	0.0332897
a56	0.183487	0.215312	0.174253	0.183402	0.116483	0.0378025	0.0274832	0.031614	0.0301632
a70	0.200043	0.179634	0.149972	0.163317	0.123101	0.0394417	0.0341553	0.04901	0.0613266
a53	0.157852	0.17453	0.181655	0.162996	0.116561	0.0514751	0.041487	0.0526087	0.0608354
a90	0.146492	0.153609	0.161386	0.147652	0.107117	0.0482378	0.0550476	0.0759996	0.104459
a56	0.155941	0.155179	0.157252	0.117296	0.0985089	0.06341	0.0646829	0.0829981	0.104732
a66	0.183493	0.192568	0.168957	0.115669	0.0955631	0.0571224	0.0487974	0.0613391	0.0764915
a38	0.0818518	0.177857	0.229813	0.120509	0.0849208	0.0554688	0.0682577	0.0759548	0.105367
a61	0.0655843	0.179363	0.233187	0.109164	0.0753997	0.061193	0.0799402	0.0823241	0.113845
a21	0.108973	0.154337	0.178642	0.088298	0.0886158	0.0898369	0.100582	0.0927024	0.098012
a44	0.126415	0.13431	0.156326	0.0900433	0.0951768	0.0942289	0.0978038	0.104586	0.101111
a9	0.0596001	0.0888302	0.104489	0.0550401	0.0545411	0.0745232	0.1424	0.202262	0.218314
a53	0.0381563	0.0828218	0.124553	0.0582809	0.0540001	0.0651685	0.107849	0.216403	0.252767
a90	0.0184772	0.0462713	0.0661179	0.0293882	0.0383255	0.0662981	0.196456	0.269087	0.269579
a56	0.0140307	0.0326758	0.0397199	0.0182127	0.0223481	0.0376784	0.122993	0.291025	0.421316
a44	0.00888774	0.0182151	0.024815	0.0121514	0.0184482	0.0338194	0.121394	0.299175	0.463094
a90	0.00104849	0.00210712	0.00359169	0.00213813	0.0039386	0.010172	0.079058	0.319066	0.57888
a98	0.00374656	0.00810577	0.0128111	0.00751061	0.0115339	0.021766	0.0953312	0.304899	0.534296
a44	0.00290224	0.00503744	0.0074074	0.00583952	0.00938274	0.012493	0.0681819	0.275786	0.612969
a75	0.000683793	0.00103838	0.00180513	0.00115042	0.00246081	0.00572087	0.0540911	0.284815	0.648234
a5	0.00327038	0.00572251	0.0068468	0.00463518	0.00732268	0.0100943	0.0543144	0.24561	0.662184
a61	0.00253436	0.00285426	0.0032806	0.00209718	0.00430342	0.00709869	0.0442124	0.244885	0.688734
a18	0.00249626	0.00240303	0.00342339	0.00220248	0.00477572	0.0110882	0.0811659	0.329079	0.563366
a25	0.0198279	0.0293865	0.0426051	0.0215062	0.0302951	0.0476761	0.138059	0.276296	0.394348
a87	0.0470631	0.0504041	0.0549774	0.0221358	0.0353849	0.0395118	0.136335	0.235862	0.378326
a23	0.0626345	0.0772911	0.103025	0.0479888	0.0758249	0.0630931	0.199288	0.188829	0.182026
a9	0.0200725	0.0127307	0.0203437	0.0142931	0.0334224	0.0386689	0.186564	0.293029	0.380875
</S>	0.0116441	0.0144164	0.0159512	0.00806039	0.0148544	0.0156386	0.11509	0.293004	0.511341
