 	cet	arbre	a	une	bosse	</S>
a15	0.562979	0.16535	0.0758035	0.0619014	0.0819	0.0520666
a66	0.665515	0.177649	0.0741029	0.0392075	0.0281184	0.0154074
a87	0.601619	0.191685	0.0636266	0.0336091	0.0532652	0.0561949
a23	0.542044	0.266935	0.106213	0.0415054	0.0263539	0.0169483
a88	0.576513	0.219035	0.0845153	0.0471797	0.0393476	0.0334101
a90	0.501684	0.169054	0.104737	0.0699122	0.0896554	0.0649575
a98	0.360996	0.24161	0.187618	0.0973889	0.0705158	0.0418718
a92	0.131296	0.199306	0.246405	0.178944	0.147201	0.0968498
a12	0.0847281	0.145674	0.226279	0.161478	0.222894	0.158946
a94	0.11773	0.13407	0.169331	0.127342	0.224169	0.227359
a62	0.0724617	0.0782342	0.122482	0.128446	0.274465	0.323912
a96	0.044437	0.0350339	0.0507671	0.109501	0.27378	0.486481
a93	0.0111922	0.00743996	0.01176	0.0509664	0.232995	0.685647
a96	0.00575412	0.0038582	0.00677178	0.0337613	0.193424	0.756431
a94	0.0028049	0.0018165	0.00325379	0.0168791	0.132317	0.842929
a26	0.00178001	0.00136238	0.00338954	0.0202366	0.146846	0.826385
a82	0.11168	0.064346	0.0640434	0.080479	0.149629	0.529823
a87	0.445207	0.162535	0.0821816	0.0597885	0.072289	0.177999
a23	0.426458	0.258048	0.141369	0.0656499	0.0540383	0.0544368
a87	0.189667	0.0836375	0.0500659	0.0672852	0.162463	0.446881
a97	0.0163087	0.00983675	0.00969237	0.0258839	0.191668	0.746611
</S>	0.0171588	0.0174228	0.0185567	0.0385834	0.240225	0.668054
