 	elle	a	le	bras	couvert	de	bracelets	</S>
a23	0.323876	0.212939	0.148459	0.098423	0.0672543	0.0572324	0.0513049	0.0405102
a87	0.345161	0.17222	0.140543	0.079956	0.0564494	0.0622672	0.0664955	0.0769082
a23	0.311193	0.185706	0.138176	0.083187	0.061083	0.0581103	0.0654375	0.0971074
a57	0.347584	0.18616	0.121829	0.0553337	0.0351678	0.0388531	0.0739156	0.141156
a20	0.264455	0.167348	0.111812	0.0661366	0.0546554	0.060298	0.104764	0.170532
a30	0.392797	0.283857	0.138102	0.056094	0.0310265	0.0327642	0.0327579	0.0326021
a73	0.273216	0.290213	0.207383	0.11584	0.0465214	0.0295267	0.0195529	0.0177469
a84	0.177695	0.198469	0.188791	0.173735	0.106305	0.0734483	0.04224	0.0393165
a94	0.120433	0.120428	0.114297	0.146115	0.144142	0.132029	0.101505	0.121052
a20	0.136738	0.152011	0.149661	0.160846	0.132764	0.113756	0.0780377	0.0761848
a30	0.247874	0.236421	0.172219	0.122094	0.0811052	0.0639345	0.0436247	0.0327279
a35	0.209644	0.203946	0.174305	0.155487	0.10504	0.0781979	0.0436102	0.0297703
a94	0.17526	0.183609	0.160922	0.141196	0.118921	0.100397	0.0679524	0.0517428
a24	0.149696	0.166105	0.154431	0.142571	0.125273	0.109433	0.0844936	0.0679972
a35	0.0878654	0.0998576	0.106176	0.118651	0.145999	0.159455	0.158502	0.123494
a26	0.0574573	0.0694282	0.086326	0.121325	0.170908	0.186394	0.175445	0.132717
a24	0.03077	0.0379028	0.0562092	0.0874218	0.130463	0.167428	0.226178	0.263626
a71	0.0217122	0.0226369	0.030169	0.0515992	0.115799	0.164318	0.260359	0.333405
a54	0.0259392	0.0229752	0.0249423	0.0327612	0.0652935	0.101041	0.245691	0.481357
a35	0.0163421	0.013895	0.0191985	0.0367283	0.108358	0.174357	0.296715	0.334406
a85	0.00855639	0.00726461	0.0106752	0.020346	0.0681169	0.126193	0.313455	0.445393
a30	0.00770434	0.00632356	0.00887677	0.0189581	0.0660493	0.13378	0.337112	0.421196
a2	0.0153413	0.0132952	0.0149695	0.0216982	0.0503861	0.0854679	0.269471	0.52937
a57	0.0038129	0.00292344	0.0039818	0.00725558	0.025418	0.0530291	0.22857	0.67501
a87	0.00930932	0.00615378	0.00697629	0.00960667	0.0244266	0.0597214	0.241429	0.642377
</S>	0.00676344	0.00553225	0.00723313	0.0138557	0.0429567	0.0947938	0.26608	0.562785
