 	il	a	commis	l'	adultère	avec	la	femme	du	chef	</S>
a23	0.245849	0.159095	0.0953989	0.0673237	0.0745217	0.0653196	0.0604724	0.0548437	0.0562199	0.0606789	0.0602764
a53	0.284422	0.131762	0.063615	0.0562415	0.0563821	0.0519236	0.0488788	0.0459104	0.0615438	0.0833698	0.115952
a20	0.286239	0.192693	0.102194	0.092529	0.0772405	0.0528239	0.0397084	0.0360537	0.0333821	0.0371132	0.050023
a30	0.45866	0.270355	0.0867469	0.0608676	0.0335354	0.0222718	0.0185506	0.0140488	0.0107425	0.0106497	0.0135719
a35	0.402736	0.281947	0.117539	0.0661617	0.032867	0.0208407	0.0174862	0.0147536	0.0142485	0.0143792	0.0170416
a24	0.357572	0.281507	0.158327	0.07754	0.0349632	0.0206696	0.0165598	0.0121423	0.0116462	0.0126225	0.0164498
a25	0.303597	0.270916	0.181737	0.0949318	0.0415514	0.0242573	0.0201061	0.0143081	0.0140696	0.0151412	0.0193851
a87	0.142126	0.181025	0.176663	0.133894	0.0859236	0.0596505	0.0510895	0.0374459	0.0358232	0.0411714	0.0551872
a79	0.0546665	0.0808592	0.0836592	0.110867	0.106317	0.0928883	0.0839861	0.0748965	0.0727084	0.100559	0.138593
a98	0.113798	0.123346	0.104826	0.111369	0.0907043	0.0743228	0.0646867	0.0571965	0.0609451	0.0817618	0.117045
a94	0.156702	0.169295	0.169383	0.169072	0.105009	0.0696248	0.0589802	0.0362549	0.0245261	0.0205468	0.0206066
a76	0.13073	0.16782	0.176603	0.153805	0.101419	0.0742139	0.0656685	0.0431643	0.0313313	0.0276023	0.027643
a14	0.0760526	0.120827	0.163422	0.179707	0.123557	0.089588	0.0747529	0.0539262	0.0433405	0.0385281	0.0362983
a44	0.0576849	0.0938796	0.136865	0.163306	0.143118	0.109409	0.0883029	0.0633841	0.0503122	0.0471906	0.0465478
a38	0.0261723	0.0461638	0.0708624	0.122221	0.168341	0.144703	0.121609	0.0822167	0.0645216	0.0702149	0.0829749
a76	0.0168726	0.0282597	0.0458516	0.104061	0.180438	0.165341	0.134243	0.0937741	0.0702831	0.075383	0.0854922
a94	0.0365549	0.0514192	0.07099	0.108878	0.162697	0.146612	0.120329	0.0887505	0.0719733	0.0706659	0.0711296
a32	0.0161419	0.0245423	0.0313723	0.0543267	0.119412	0.167204	0.169386	0.144307	0.101925	0.0879215	0.083461
a24	0.0103244	0.0150244	0.0216765	0.0532258	0.116955	0.168828	0.159143	0.132796	0.100864	0.102496	0.118668
a62	0.00663411	0.00814058	0.01084	0.0280281	0.0777603	0.134315	0.142586	0.153467	0.136964	0.151005	0.150261
a75	0.0168648	0.0188824	0.0210675	0.0389722	0.0735472	0.114089	0.119939	0.14017	0.13171	0.156089	0.168668
a73	0.0121124	0.0135963	0.0165568	0.0375921	0.0704302	0.112136	0.123858	0.152149	0.147106	0.158546	0.155917
a94	0.0084071	0.0101756	0.0135269	0.0431371	0.0860765	0.127464	0.129482	0.146084	0.135584	0.146438	0.153624
a76	0.00655569	0.00828956	0.0111264	0.0367049	0.0782735	0.113825	0.107925	0.128157	0.135996	0.171786	0.20136
a14	0.00520775	0.0072043	0.0106449	0.0308264	0.061406	0.0935616	0.0994844	0.12793	0.158246	0.194355	0.211134
a35	0.00331929	0.00507092	0.00807896	0.0279814	0.0615511	0.0957695	0.0992855	0.129402	0.157775	0.197399	0.214367
a32	0.00405661	0.00558238	0.0080681	0.0249413	0.0512035	0.0770665	0.0798758	0.11299	0.151578	0.219252	0.265386
a75	0.00221977	0.00302195	0.00435719	0.0149249	0.0367339	0.0584932	0.0605969	0.0892857	0.138382	0.250912	0.341072
a25	0.00263249	0.00365935	0.0057774	0.0188988	0.0376604	0.0591569	0.0659575	0.0965274	0.151468	0.244968	0.313295
a90	0.00191051	0.00273232	0.00445393	0.0153723	0.0307043	0.0493324	0.0589316	0.0904451	0.15082	0.258977	0.33632
a9	0.00478933	0.00555954	0.00748377	0.0247912	0.0414801	0.0572118	0.0625233	0.0910126	0.143701	0.244208	0.317239
a53	0.0019764	0.00258134	0.00390161	0.0155692	0.0382456	0.0572755	0.0573357	0.0800357	0.126676	0.246459	0.369944
a93	0.00671584	0.00633069	0.00634007	0.0165041	0.0299135	0.0428698	0.0465064	0.0721064	0.136362	0.257206	0.379146
a83	0.00469834	0.00452519	0.00436258	0.0107285	0.021229	0.0343647	0.0383343	0.0613277	0.128072	0.262596	0.429762
a9	0.00440198	0.00490172	0.00533896	0.0144058	0.0301117	0.0469668	0.0489141	0.0702448	0.128003	0.247743	0.398968
a24	0.00846989	0.00782578	0.00741214	0.0159399	0.0289117	0.0423504	0.0450601	0.0687768	0.132352	0.261312	0.381589
a9	0.00493373	0.00467641	0.00386364	0.0081686	0.0161822	0.023819	0.0260968	0.044575	0.114555	0.269498	0.483632
a87	0.00717043	0.00567918	0.00518522	0.0105809	0.020621	0.0289591	0.030716	0.0536062	0.116977	0.267001	0.453503
</S>	0.0173587	0.0120571	0.00643393	0.00749667	0.0147118	0.027005	0.0361899	0.0770828	0.149972	0.273084	0.378608
