 	la	notabilité	d'	oko	ne	relève	pas	d'	un	trucage	</S>
a66	0.181518	0.209094	0.154657	0.170419	0.100695	0.0607962	0.0427754	0.0293386	0.0199722	0.0154909	0.0152437
a87	0.183346	0.101771	0.118673	0.129216	0.104335	0.073752	0.0652067	0.0580626	0.0624952	0.0539517	0.0491911
a79	0.276697	0.112573	0.0945434	0.168487	0.0842115	0.0559141	0.0458868	0.0506557	0.045071	0.0331548	0.0328064
a53	0.298297	0.141865	0.114033	0.162153	0.0648339	0.0326584	0.0322769	0.0368786	0.0381432	0.0338477	0.0450136
a93	0.21978	0.116868	0.0819391	0.102617	0.0449744	0.0245879	0.0357563	0.0538348	0.082673	0.111817	0.125153
a94	0.365055	0.157177	0.0746142	0.0587113	0.0294129	0.0202219	0.0243946	0.0354864	0.0625212	0.0918952	0.0805101
a54	0.25624	0.165591	0.0918204	0.0616874	0.0383064	0.0261064	0.0288864	0.0340745	0.0527247	0.110675	0.133888
a92	0.0976158	0.140444	0.125752	0.0913425	0.051239	0.0326137	0.0326355	0.035034	0.0552264	0.135338	0.202759
a75	0.101588	0.148996	0.129867	0.0832085	0.0527747	0.0341675	0.033822	0.0347674	0.0506593	0.119782	0.210368
a92	0.116285	0.136089	0.136797	0.109835	0.0914592	0.0582292	0.0460831	0.0364604	0.0395369	0.0788985	0.150326
a79	0.109801	0.133502	0.139133	0.120514	0.107677	0.0709338	0.0524884	0.0383337	0.0379	0.0678651	0.121852
a93	0.117282	0.170953	0.174795	0.149195	0.114809	0.0703963	0.0446906	0.0309182	0.0282306	0.0388362	0.0598941
a4	0.0734688	0.14786	0.164684	0.158438	0.107044	0.0691649	0.0452385	0.0350526	0.0360221	0.0583865	0.104641
a13	0.0434129	0.106731	0.154988	0.157162	0.120066	0.084833	0.054168	0.0400047	0.0414024	0.0705468	0.126685
a53	0.0130418	0.0577558	0.177036	0.235867	0.151673	0.0966425	0.0482897	0.031418	0.0307036	0.0529308	0.104641
a93	0.0155929	0.0378368	0.094395	0.119214	0.108903	0.0984549	0.0816638	0.0668553	0.0687501	0.119241	0.189092
a4	0.01077	0.0311925	0.110096	0.150944	0.136491	0.115095	0.0842313	0.0622084	0.0585545	0.0907387	0.149679
a57	0.00918074	0.024206	0.0906765	0.142791	0.143071	0.128761	0.0983507	0.0737429	0.0645749	0.089888	0.134757
a82	0.00734054	0.0231769	0.119554	0.225138	0.201824	0.165134	0.0834775	0.0411081	0.0275267	0.0392125	0.0665084
a87	0.0172027	0.0284868	0.117157	0.260487	0.207606	0.151327	0.0725424	0.0365148	0.0236058	0.0314232	0.053646
a23	0.0716443	0.0302258	0.0833857	0.190563	0.149202	0.110063	0.0729814	0.0556263	0.0465696	0.0674864	0.122253
a99	0.0542757	0.0304988	0.0732879	0.152659	0.132726	0.107846	0.0813517	0.0636529	0.0635773	0.0896564	0.150469
a79	0.0125084	0.0139001	0.0459984	0.0935478	0.0917535	0.0924184	0.08714	0.0829545	0.102058	0.151271	0.22645
a69	0.00416858	0.00624452	0.0291262	0.045943	0.0442583	0.0404901	0.0471639	0.0614405	0.115321	0.248982	0.356862
a90	0.00875878	0.0183709	0.0570628	0.0695671	0.0694254	0.061935	0.0613481	0.0586281	0.0756124	0.193433	0.325859
a44	0.00927467	0.0183963	0.0574204	0.0757356	0.0764902	0.0716053	0.0671904	0.0632948	0.0747828	0.174035	0.311775
a75	0.00515882	0.0124531	0.0420933	0.0633417	0.0673864	0.0738787	0.0741485	0.077258	0.0959266	0.194855	0.2935
a92	0.00462696	0.0103129	0.0430468	0.0652105	0.0712175	0.0673649	0.0618939	0.0587906	0.0762098	0.16887	0.372456
a56	0.00403401	0.0104134	0.0456264	0.0724447	0.0828933	0.0838026	0.0792915	0.0772482	0.0919876	0.162286	0.289973
a62	0.00279874	0.00836441	0.0375304	0.0626673	0.0668282	0.0741432	0.0759663	0.0824567	0.113272	0.209581	0.266393
a70	0.00199659	0.00408392	0.0224419	0.0476567	0.0590461	0.0664474	0.0578824	0.0599458	0.105768	0.241173	0.333558
a93	0.00238707	0.00459541	0.0222004	0.0463177	0.0578217	0.064647	0.0583526	0.06029	0.100532	0.237531	0.345325
a56	0.00144692	0.00343667	0.0176703	0.0345166	0.0406985	0.0450307	0.0445656	0.0514989	0.0934685	0.243878	0.423789
a12	0.000998152	0.00230222	0.0102793	0.0211563	0.0270242	0.0334972	0.0353039	0.0467885	0.100055	0.266256	0.456339
a88	0.000929162	0.00196744	0.00794108	0.0133915	0.0177828	0.0232147	0.026254	0.0411265	0.104351	0.267276	0.495766
a38	0.000543939	0.00135241	0.00627951	0.00943156	0.0114615	0.0145698	0.0168663	0.0283465	0.081886	0.251954	0.577309
a54	0.00104315	0.00189641	0.00725498	0.0116946	0.0137827	0.0181494	0.0206823	0.0326753	0.0826423	0.252112	0.558067
a36	0.000199549	0.000456669	0.00276046	0.00526495	0.00715142	0.00974761	0.0110496	0.0161378	0.0492787	0.19839	0.699563
