 	je	sais	lire	la	langue	mbochi	</S>
a66	0.396878	0.133621	0.0711771	0.0963131	0.13174	0.107461	0.0628107
a87	0.36331	0.174158	0.1123	0.0998351	0.119774	0.0933575	0.037265
a23	0.50277	0.287881	0.0772884	0.0366184	0.0428065	0.0315217	0.0211142
a99	0.391791	0.295829	0.138856	0.0535839	0.0595571	0.0350376	0.0253453
a53	0.276405	0.256653	0.189085	0.0816856	0.0781449	0.0589627	0.0590635
a23	0.394193	0.289745	0.169435	0.0684945	0.0477444	0.0158006	0.0145877
a96	0.281274	0.237944	0.219617	0.133379	0.0803165	0.0228898	0.0245792
a62	0.130877	0.25022	0.319717	0.158137	0.0773305	0.0303735	0.0333452
a50	0.113042	0.238064	0.341191	0.159164	0.0800026	0.033642	0.0348945
a62	0.0689417	0.159045	0.282467	0.205032	0.120756	0.0749005	0.0888571
a70	0.0745469	0.1559	0.274406	0.219127	0.138432	0.0729377	0.0646505
a90	0.0677596	0.111675	0.187696	0.221942	0.202213	0.121612	0.0871026
a44	0.0484331	0.0780042	0.141672	0.252848	0.217996	0.152351	0.108697
a54	0.0403426	0.0498559	0.0908855	0.21049	0.247019	0.216209	0.145198
a56	0.0200563	0.0228603	0.0431457	0.140425	0.210883	0.285785	0.276845
a93	0.0148827	0.0141922	0.026762	0.106546	0.200875	0.336434	0.300308
a70	0.0124012	0.0103654	0.0182185	0.0798456	0.179758	0.365164	0.334247
a62	0.00346836	0.00307973	0.00539542	0.0266697	0.0935623	0.341673	0.526152
a12	0.00287743	0.00221569	0.00342127	0.0193937	0.0763461	0.310328	0.585418
a93	0.00135294	0.00113553	0.00163534	0.00791273	0.0331318	0.228611	0.726221
a70	0.000632454	0.000506304	0.000734682	0.00489608	0.0230949	0.181876	0.788259
a53	0.000320324	0.000241856	0.000334938	0.00248913	0.0128705	0.145296	0.838447
a90	0.000209968	0.000170731	0.00025176	0.00183576	0.00911743	0.126365	0.862049
a56	0.000245682	0.00020894	0.000303268	0.00201803	0.0105177	0.128384	0.858323
a32	0.000272388	0.00020275	0.000271179	0.0018614	0.00869895	0.121425	0.867268
a38	0.0002221	0.000224205	0.000462004	0.00306359	0.0119699	0.125785	0.858273
a11	0.0016898	0.00150206	0.00287194	0.0112771	0.0286169	0.158205	0.795838
a38	0.00263878	0.00206022	0.00342848	0.0121253	0.028928	0.150081	0.800738
a10	0.00553451	0.00489366	0.00745283	0.0221772	0.0430474	0.17634	0.740554
a87	0.0439902	0.0199238	0.0193488	0.0363913	0.0633315	0.182812	0.634202
a23	0.203104	0.0749477	0.0415091	0.0470783	0.0683149	0.162695	0.402351
a87	0.138148	0.074989	0.0460765	0.0595584	0.0580353	0.16628	0.456913
a23	0.0566079	0.0455313	0.0309013	0.0509859	0.056358	0.210665	0.548951
a87	0.0856319	0.0538233	0.0297635	0.0422864	0.0611186	0.232767	0.49461
</S>	0.0770377	0.0475436	0.0277826	0.0509709	0.0686639	0.217557	0.510445
