 	elle	habite	tout	au	bout	du	village	</S>
a23	0.337516	0.211108	0.148067	0.113993	0.0692556	0.039552	0.0395348	0.0409725
a79	0.402917	0.188146	0.14955	0.0915075	0.0389939	0.0256781	0.0371013	0.0661066
a15	0.130648	0.0660225	0.0608149	0.0715743	0.124978	0.141099	0.179661	0.225202
a47	0.33973	0.155778	0.130709	0.105894	0.114549	0.0600945	0.0501414	0.0431036
a85	0.389206	0.200036	0.13979	0.0802462	0.0628403	0.0382176	0.0422392	0.0474257
a36	0.319801	0.24878	0.20763	0.101047	0.0423134	0.020464	0.0238895	0.0360752
a26	0.272553	0.265126	0.235402	0.119794	0.0423741	0.0197251	0.0194554	0.0255707
a61	0.247614	0.243297	0.220829	0.14372	0.0601863	0.0269039	0.0254275	0.0320225
a75	0.243922	0.252943	0.227272	0.148622	0.0577932	0.0243932	0.0203731	0.0246817
a61	0.228153	0.206007	0.170186	0.127978	0.0793904	0.058348	0.0566014	0.0733362
a37	0.224461	0.206257	0.175211	0.16104	0.0846028	0.0485665	0.0448293	0.0550323
a85	0.200599	0.180579	0.152894	0.152423	0.0961736	0.0707464	0.0669718	0.0796138
a5	0.141056	0.115262	0.0987698	0.11211	0.128253	0.129127	0.121711	0.153712
a61	0.17539	0.147227	0.123658	0.116312	0.10692	0.0987312	0.102207	0.129553
a43	0.0923641	0.0810975	0.0808435	0.105499	0.134566	0.175421	0.151816	0.178393
a11	0.0821745	0.0730113	0.0667928	0.0872077	0.116485	0.174305	0.177579	0.222445
a70	0.0378524	0.0389165	0.0415281	0.067483	0.114975	0.205545	0.226456	0.267245
a75	0.0193138	0.020561	0.0260578	0.0497667	0.101809	0.197533	0.25327	0.331689
a47	0.0153898	0.0171478	0.0210702	0.0367728	0.0799078	0.191671	0.271356	0.366685
a7	0.0267779	0.0223494	0.0249311	0.0410844	0.0968468	0.20037	0.247685	0.339956
a84	0.0100147	0.00800546	0.0104688	0.0219532	0.0615187	0.139894	0.245473	0.502672
a13	0.0044077	0.00349644	0.00439129	0.00889659	0.0230122	0.073648	0.214985	0.667162
a9	0.00726126	0.00430699	0.00567672	0.0121338	0.0349132	0.10173	0.244791	0.589187
a87	0.0238012	0.0143305	0.0172814	0.027379	0.0558947	0.116973	0.250222	0.494118
a23	0.235251	0.100011	0.0950212	0.0922943	0.0922215	0.0942575	0.121928	0.169015
a97	0.0995318	0.0508646	0.0471819	0.0552458	0.103301	0.192039	0.231034	0.220802
a87	0.00938073	0.00669095	0.0119728	0.0287713	0.0800759	0.166875	0.267144	0.429089
a23	0.0171956	0.00971398	0.0148772	0.0292007	0.0680763	0.149894	0.266276	0.444766
a87	0.0126248	0.00840467	0.0119738	0.0233974	0.069636	0.165921	0.277706	0.430336
</S>	0.00904015	0.00671353	0.0106939	0.0256285	0.084493	0.175775	0.276838	0.410818
