 	il	veut	faire	durer	la	réunion	</S>
a23	0.229477	0.327301	0.269994	0.124134	0.0197102	0.0151021	0.0142813
a87	0.219676	0.17929	0.237957	0.154567	0.0696786	0.0719447	0.0668877
a23	0.191527	0.108799	0.113813	0.0709353	0.087268	0.195598	0.23206
a79	0.200439	0.0974389	0.0958073	0.0807718	0.0761235	0.178033	0.271386
a54	0.299148	0.194039	0.165637	0.125667	0.0643982	0.0794831	0.0716278
a37	0.191949	0.188928	0.244252	0.18861	0.0695722	0.0650436	0.0516456
a61	0.194639	0.218944	0.232784	0.140902	0.0692256	0.0809425	0.0625615
a75	0.189959	0.269218	0.236445	0.136138	0.0491973	0.0643602	0.0546829
a47	0.0795668	0.163122	0.189589	0.196643	0.114302	0.131214	0.125562
a7	0.119006	0.229049	0.18414	0.15691	0.0874068	0.111023	0.112466
a2	0.160484	0.288633	0.223353	0.146662	0.0481876	0.0674471	0.0652336
a44	0.075971	0.188619	0.189295	0.155467	0.0853736	0.132802	0.172473
a93	0.119626	0.234895	0.180547	0.147948	0.0811614	0.106272	0.12955
a0	0.0318756	0.0829683	0.114405	0.179879	0.152196	0.211738	0.226938
a56	0.0447283	0.0766672	0.102785	0.151728	0.138643	0.224181	0.261268
a70	0.0324076	0.0583824	0.0797745	0.144492	0.154418	0.230906	0.29962
a99	0.00968843	0.0180943	0.0331356	0.0999686	0.204807	0.306895	0.327411
a62	0.00711246	0.0149216	0.0288432	0.0684842	0.159569	0.306267	0.414803
a31	0.001652	0.00305978	0.00737706	0.0244225	0.148387	0.365251	0.449851
a0	0.00235037	0.00378822	0.0076098	0.0248994	0.133948	0.32367	0.503734
a47	0.00137862	0.00198446	0.00492641	0.0168497	0.0960051	0.273289	0.605567
a62	0.00143364	0.00300568	0.00906158	0.0330459	0.119199	0.285342	0.548912
a83	0.000676499	0.00110976	0.00281945	0.00997341	0.0760387	0.287628	0.621754
a9	0.00114827	0.00173577	0.00434125	0.0129414	0.0832602	0.268312	0.628261
a87	0.00397458	0.00400733	0.00859879	0.0223533	0.0742305	0.208892	0.677943
a23	0.100296	0.0704055	0.0811922	0.0882672	0.0943753	0.174711	0.390753
a87	0.0463107	0.0325403	0.0357362	0.0437048	0.0899543	0.219981	0.531773
</S>	0.0090543	0.00809379	0.0132839	0.021416	0.0939238	0.267995	0.586233
