 	il	est	venu	l'	an	passé	</S>
a10	0.234164	0.242402	0.13038	0.138743	0.132798	0.0752193	0.0462926
a87	0.173874	0.152008	0.122993	0.155551	0.143719	0.128967	0.122888
a23	0.218875	0.158742	0.128861	0.140635	0.136638	0.117047	0.0992028
a53	0.124965	0.158375	0.139609	0.183184	0.174564	0.123008	0.0962942
a20	0.347136	0.26732	0.109263	0.075107	0.0627909	0.063119	0.0752638
a30	0.452808	0.282574	0.107999	0.063618	0.0437632	0.0269631	0.0222742
a35	0.307933	0.241144	0.154623	0.113596	0.0983386	0.0497349	0.0346295
a24	0.374986	0.269069	0.164798	0.0896997	0.0558981	0.0265436	0.0190057
a41	0.342139	0.257001	0.195176	0.0973663	0.0556429	0.0303319	0.022343
a30	0.202588	0.21383	0.244858	0.16265	0.0947264	0.0462841	0.0350635
a57	0.147326	0.170053	0.238673	0.199686	0.139263	0.0600806	0.0449183
a87	0.0792711	0.0881867	0.144373	0.216089	0.214331	0.140722	0.117026
a79	0.0853772	0.0949395	0.12993	0.183814	0.19803	0.175221	0.132689
a69	0.0838262	0.0829636	0.0945564	0.148217	0.176273	0.197891	0.216273
a13	0.250968	0.160192	0.129672	0.115291	0.107555	0.115969	0.120353
a38	0.145929	0.105866	0.109787	0.125232	0.158276	0.173061	0.181849
a94	0.0368718	0.0386006	0.0642937	0.138803	0.230847	0.242504	0.24808
a35	0.0418629	0.0416665	0.0651422	0.120404	0.205321	0.251889	0.273714
a76	0.0229889	0.0246761	0.0353553	0.0818129	0.17898	0.29076	0.365428
a35	0.0528019	0.0490739	0.0445045	0.0725544	0.134187	0.264997	0.381881
a47	0.0184886	0.0191844	0.0216766	0.0457912	0.106759	0.277046	0.511054
a62	0.00533681	0.00613839	0.00827965	0.021564	0.0526021	0.219826	0.686253
a24	0.00547857	0.00567433	0.00726744	0.0201922	0.047932	0.200379	0.713076
a9	0.00304461	0.00317274	0.00391285	0.0102456	0.0337964	0.194781	0.751047
a87	0.00576784	0.00592614	0.00661605	0.0137526	0.0393846	0.20245	0.726102
a23	0.00291879	0.00285733	0.00381984	0.0118212	0.0406337	0.222769	0.71518
a87	0.0117854	0.0129126	0.0176838	0.0387119	0.078083	0.259464	0.58136
a23	0.0142149	0.0125163	0.017576	0.0543936	0.136025	0.279453	0.485822
a87	0.0695364	0.0723232	0.0650937	0.0908445	0.136672	0.220387	0.345143
</S>	0.019413	0.0201126	0.0241116	0.0545427	0.126908	0.275726	0.479187
