 	la	manière	dont	il	ont	surpris	le	voleur	dans	la	maison	m'	a	fait	rire	</S>
a66	0.0975178	0.0701383	0.0550748	0.0720512	0.085236	0.09157	0.0871419	0.0899417	0.083114	0.0788786	0.0845079	0.0515126	0.0193792	0.0123294	0.0108796	0.010727
a87	0.142704	0.0910162	0.0925301	0.088822	0.0693662	0.0668061	0.0601834	0.0616539	0.059607	0.0542029	0.0562458	0.0428006	0.0301695	0.0289384	0.0244426	0.0305109
a23	0.365414	0.199253	0.123765	0.0629611	0.0402482	0.0339174	0.0254211	0.0227958	0.0190064	0.0161519	0.0201507	0.0154215	0.010183	0.0112206	0.0139015	0.0201887
a18	0.310535	0.242133	0.143758	0.0454513	0.0296868	0.031594	0.0281002	0.026884	0.025128	0.0214054	0.0201399	0.015054	0.0114549	0.0100096	0.0130343	0.0256318
a38	0.168179	0.176702	0.147798	0.0667361	0.0597158	0.0566965	0.0518061	0.0453416	0.0385514	0.0300968	0.0242899	0.0212131	0.0202784	0.0227719	0.0277188	0.0421048
a54	0.254727	0.242691	0.18148	0.0766244	0.0521466	0.0440492	0.0246585	0.0178619	0.0145782	0.0114779	0.0123734	0.0121491	0.0116106	0.0123731	0.012908	0.0182913
a7	0.197818	0.213929	0.130429	0.0809358	0.0650612	0.0554334	0.0348535	0.0262502	0.022528	0.019701	0.0198022	0.0208168	0.0253999	0.0285214	0.0253985	0.0331218
a44	0.124034	0.195732	0.180131	0.109195	0.07899	0.0669205	0.0357352	0.0215146	0.0169888	0.015128	0.0152889	0.018027	0.0240358	0.0310948	0.0290876	0.0380974
a37	0.0913165	0.162648	0.189711	0.115967	0.0830311	0.0704127	0.0469741	0.0333286	0.0260615	0.0218737	0.0202702	0.0208512	0.02518	0.0288037	0.027063	0.0365081
a43	0.0814068	0.136725	0.191375	0.126457	0.0895938	0.0778496	0.053399	0.0399289	0.032014	0.0256303	0.0228012	0.0221749	0.0230795	0.0241409	0.0232952	0.0301296
a11	0.0707787	0.110825	0.181052	0.133257	0.097464	0.084155	0.0604026	0.0471038	0.0379277	0.0296521	0.0253336	0.0233591	0.0228754	0.0235857	0.0229969	0.0292308
a24	0.040718	0.0592685	0.14354	0.141252	0.111256	0.101676	0.071339	0.0541088	0.0438652	0.0339455	0.0294669	0.0281736	0.027098	0.0317471	0.0369175	0.0456278
a62	0.0213459	0.0269168	0.0765667	0.130064	0.13289	0.131585	0.0975139	0.0714746	0.0556491	0.0408192	0.0339436	0.0306873	0.028445	0.033855	0.0395627	0.0486809
