 	comment	appelle-t-on	cet	arbre	</S>
a23	0.502954	0.362885	0.0680145	0.0360776	0.0300696
a87	0.348305	0.196216	0.15489	0.130122	0.170466
a30	0.245392	0.268326	0.235445	0.125874	0.124963
a57	0.205233	0.292426	0.189718	0.155702	0.15692
a87	0.197776	0.244685	0.192186	0.180107	0.185246
a23	0.337583	0.319594	0.166119	0.0930984	0.0836054
a79	0.234481	0.302381	0.17148	0.153655	0.138003
a20	0.388257	0.454003	0.0668708	0.0566455	0.0342241
a35	0.324389	0.537972	0.0899173	0.0348978	0.0128248
a76	0.351353	0.469378	0.1157	0.0442071	0.019362
a35	0.365777	0.37199	0.147638	0.0718494	0.0427444
a26	0.344449	0.331809	0.184828	0.0896019	0.0493116
a35	0.201199	0.261006	0.276503	0.16912	0.0921723
a66	0.125785	0.23751	0.299416	0.205683	0.131606
a9	0.115048	0.159539	0.289003	0.258847	0.177563
a38	0.0145921	0.0512723	0.215774	0.34275	0.375611
a76	0.0131289	0.0497594	0.214181	0.328965	0.393966
a14	0.0195607	0.0509142	0.194343	0.322605	0.412578
a66	0.0168719	0.0330789	0.149994	0.312842	0.487213
a38	0.0139459	0.0294927	0.106464	0.265217	0.584881
a26	0.0041913	0.00890282	0.0755786	0.248829	0.662499
a35	0.00320931	0.00579194	0.0533768	0.211306	0.726316
a94	0.00161289	0.00298045	0.0312118	0.165983	0.798212
a98	0.0021588	0.00385203	0.0290264	0.147688	0.817275
a94	0.00376718	0.0060118	0.0406624	0.180168	0.769391
a62	0.00802216	0.010577	0.048298	0.167687	0.765416
a83	0.0108357	0.0152022	0.0442291	0.146434	0.783299
a9	0.0165044	0.0199473	0.043062	0.141653	0.778833
a87	0.0645325	0.0531236	0.0741496	0.147386	0.660809
a23	0.0687491	0.0362858	0.0541444	0.141799	0.699022
a87	0.0827577	0.0704599	0.0950743	0.219552	0.532156
</S>	0.0419526	0.0455951	0.133405	0.302185	0.476862
