 	leur	père	est	ivre	</S>
a23	0.620922	0.187271	0.0811797	0.0614946	0.0491325
a20	0.701349	0.140617	0.0693789	0.0362856	0.0523699
a7	0.311056	0.118089	0.0957917	0.120711	0.354353
a15	0.566199	0.181677	0.0878383	0.0624359	0.10185
a47	0.492319	0.223869	0.124145	0.0785175	0.0811489
a98	0.367751	0.230911	0.147699	0.111802	0.141836
a15	0.345087	0.238259	0.15934	0.127047	0.130265
a79	0.164386	0.144942	0.148368	0.22121	0.321095
a98	0.156086	0.151151	0.148693	0.237552	0.306519
a6	0.0633162	0.101459	0.145066	0.291269	0.39889
a85	0.0249737	0.0490104	0.0821976	0.243287	0.600531
a92	0.0189697	0.0381008	0.0788723	0.274132	0.589925
a6	0.0254825	0.0655639	0.113585	0.308938	0.486431
a36	0.0262889	0.0673891	0.104942	0.260546	0.540835
a26	0.0151775	0.0375178	0.0708906	0.208621	0.667793
a57	0.00373709	0.014701	0.065448	0.253774	0.66234
a87	0.0454295	0.0560775	0.111103	0.268383	0.519007
a23	0.241267	0.149876	0.144451	0.213333	0.251073
a87	0.112069	0.112394	0.155535	0.245527	0.374475
</S>	0.0168561	0.0343019	0.0864764	0.264852	0.597513
