 	il	sait	déjà	conduire	la	voiture	</S>
a23	0.30199	0.153607	0.117615	0.119472	0.120572	0.101111	0.0856334
a30	0.347227	0.243963	0.142599	0.0713581	0.0589855	0.0655714	0.070296
a53	0.220263	0.136107	0.103237	0.0855607	0.0896894	0.13487	0.230272
a15	0.271831	0.176132	0.168108	0.111293	0.113535	0.0844853	0.074616
a79	0.34974	0.227846	0.163924	0.0772471	0.0747744	0.0550148	0.0514541
a37	0.405028	0.308633	0.133385	0.050362	0.0379284	0.0309788	0.0336852
a21	0.369929	0.367331	0.145375	0.0428605	0.0295783	0.0228268	0.0220993
a85	0.349427	0.358825	0.154915	0.0551683	0.0335488	0.0242778	0.0238392
a5	0.277923	0.265129	0.166229	0.10407	0.0719958	0.0573477	0.0573057
a31	0.256539	0.235627	0.16771	0.118504	0.0847838	0.0680719	0.0687638
a21	0.259092	0.232312	0.182739	0.130039	0.0778796	0.0605024	0.0574365
a96	0.193457	0.173544	0.181325	0.17334	0.118927	0.0878081	0.0715989
a90	0.155994	0.157127	0.189915	0.207669	0.124307	0.0906531	0.074335
a56	0.117751	0.123709	0.174981	0.226918	0.144418	0.115447	0.0967766
a61	0.0686904	0.090249	0.153824	0.242315	0.186479	0.149592	0.108851
a83	0.0316158	0.0480175	0.0887416	0.20956	0.223683	0.228181	0.170201
a0	0.0194812	0.0280176	0.0588438	0.147779	0.199577	0.268174	0.278127
a75	0.0135092	0.015978	0.0313489	0.083555	0.150538	0.273422	0.431649
a25	0.0138956	0.0147021	0.028446	0.0672538	0.139871	0.264165	0.471666
a90	0.0077434	0.00957389	0.0189694	0.0491523	0.127585	0.26001	0.526966
a58	0.00773502	0.00938828	0.0222246	0.0695335	0.14747	0.287381	0.456267
a38	0.00217865	0.00217315	0.00587896	0.0230453	0.0776472	0.27015	0.618926
a25	0.00196316	0.00180191	0.0049223	0.0192148	0.0790886	0.290111	0.602898
a56	0.0014536	0.0013304	0.00326639	0.0113001	0.0680102	0.298787	0.615852
a61	0.000698568	0.000951926	0.00309856	0.0156396	0.0737821	0.280569	0.625261
a31	0.00081413	0.000876294	0.00237088	0.0124344	0.0621096	0.248303	0.673092
a24	0.00273309	0.00347923	0.00885922	0.030468	0.110638	0.296508	0.547315
a9	0.00567384	0.00564156	0.0132525	0.0409776	0.137324	0.334639	0.462492
a10	0.0232496	0.0194795	0.0390634	0.100352	0.195045	0.293939	0.328872
a87	0.041565	0.0350043	0.0624928	0.131773	0.21597	0.249857	0.263338
a10	0.0534115	0.0545239	0.095905	0.14727	0.212736	0.208186	0.227967
a87	0.0210694	0.0220175	0.0444946	0.0984841	0.20443	0.263035	0.34647
</S>	0.0265965	0.0301187	0.0527425	0.0960098	0.190133	0.247561	0.356838
