 	elle	parle	la	bouche	pleine	</S>
a23	0.378604	0.170184	0.101224	0.111159	0.123907	0.114922
a79	0.405483	0.195403	0.103059	0.0818446	0.0865421	0.127667
a54	0.308033	0.179876	0.122105	0.0851763	0.124055	0.180756
a47	0.495295	0.258946	0.119633	0.0430405	0.0438562	0.0392286
a6	0.376556	0.272094	0.137627	0.0798002	0.0619633	0.0719587
a36	0.358467	0.282276	0.152516	0.0951669	0.0541253	0.0574481
a11	0.436021	0.262404	0.122782	0.075515	0.0493129	0.0539646
a75	0.395292	0.284966	0.133266	0.0834069	0.050164	0.052905
a85	0.204088	0.173256	0.147309	0.181286	0.141859	0.1522
a37	0.114813	0.124915	0.141349	0.222271	0.206247	0.190404
a90	0.264944	0.212726	0.167127	0.168374	0.0971711	0.0896569
a25	0.144905	0.16011	0.178492	0.21029	0.157554	0.148649
a92	0.0674816	0.0987521	0.161721	0.286472	0.213997	0.171577
a37	0.0564107	0.0791081	0.138018	0.251465	0.266718	0.20828
a34	0.0452815	0.0571892	0.107101	0.240152	0.300983	0.249293
a75	0.0202832	0.0326046	0.0814321	0.211801	0.345929	0.307951
a25	0.0100566	0.0126498	0.0301199	0.098652	0.366123	0.482399
a92	0.00349325	0.00491336	0.0121042	0.0451942	0.302002	0.632293
a34	0.00497547	0.00697309	0.0176407	0.0656996	0.333335	0.571377
a21	0.0016257	0.00295916	0.00991965	0.0450648	0.291538	0.648892
a85	0.00190487	0.00304494	0.00858671	0.040267	0.252962	0.693235
a5	0.00272222	0.0043611	0.0106513	0.0412185	0.277139	0.663908
a61	0.00111651	0.00182086	0.00501402	0.0261443	0.24127	0.724634
a75	0.00176003	0.00307893	0.00721551	0.0324793	0.2394	0.716066
a6	0.00440004	0.0071988	0.0164586	0.0538431	0.299833	0.618267
a37	0.00325833	0.00654743	0.0166394	0.0618567	0.29839	0.613308
a26	0.00398031	0.00708712	0.0189564	0.0601081	0.287104	0.622764
a30	0.0160099	0.013587	0.0245518	0.0528099	0.251322	0.64172
a10	0.0409984	0.0392221	0.0592535	0.115099	0.253361	0.492066
a87	0.066856	0.0593878	0.0924144	0.200475	0.291998	0.288869
a23	0.0825926	0.0635172	0.0980428	0.207887	0.28864	0.259321
a87	0.00923853	0.0126982	0.0317312	0.107099	0.365013	0.47422
</S>	0.0099467	0.0161153	0.0333426	0.0892796	0.323397	0.527919
