 	ils	honorent	le	chef	beaucoup	</S>
a66	0.47825	0.212999	0.100291	0.0982702	0.0634589	0.0467317
a87	0.472487	0.0954655	0.11634	0.138249	0.0939633	0.0834948
a23	0.710404	0.177598	0.0380856	0.0274723	0.0216176	0.0248224
a54	0.387151	0.180495	0.102221	0.0886445	0.102611	0.138877
a15	0.550489	0.218799	0.0831152	0.0587189	0.0446825	0.0441951
a47	0.319097	0.39193	0.165709	0.0578792	0.0347612	0.0306243
a36	0.202925	0.297944	0.251885	0.105618	0.0712519	0.0703767
a6	0.261063	0.21665	0.179915	0.100215	0.10748	0.134676
a5	0.261516	0.241539	0.154703	0.107969	0.10818	0.126092
a43	0.278958	0.318013	0.175801	0.097715	0.0649053	0.0646072
a56	0.203265	0.260922	0.199074	0.139129	0.0974236	0.100187
a44	0.120375	0.173974	0.210992	0.197221	0.149419	0.148017
a4	0.0825135	0.131827	0.170075	0.203562	0.204442	0.20758
a93	0.0453092	0.086316	0.131091	0.184838	0.252591	0.299855
a37	0.0333344	0.0632635	0.105658	0.164272	0.264157	0.369316
a34	0.0176239	0.0290888	0.0644192	0.108711	0.242671	0.537487
a98	0.00957408	0.0156863	0.0379026	0.0810497	0.231503	0.624284
a92	0.00292836	0.00670398	0.0172544	0.0473564	0.193602	0.732155
a21	0.00353904	0.00619667	0.0184893	0.0542452	0.20777	0.70976
a5	0.00392949	0.00570625	0.0214606	0.0626082	0.217589	0.688707
a37	0.0040204	0.00545149	0.0191943	0.065066	0.245476	0.660792
a61	0.00713372	0.00718672	0.0247883	0.0856335	0.275111	0.600147
a18	0.00470049	0.00386648	0.0178857	0.0797403	0.274441	0.619366
a25	0.0208218	0.00998343	0.0277962	0.0905987	0.26822	0.58258
a87	0.0437756	0.0233013	0.0602892	0.135389	0.276182	0.461063
a23	0.323971	0.0816481	0.0611553	0.10131	0.182596	0.24932
a87	0.195945	0.0786864	0.0827167	0.110216	0.201616	0.33082
</S>	0.0640618	0.0176732	0.0274102	0.068478	0.221701	0.600676
