 	le	fou	a	porté	des	habits	déchirés	</S>
a87	0.0730212	0.0569612	0.0950315	0.2802	0.317629	0.137026	0.0336763	0.0064551
a10	0.211948	0.149012	0.143302	0.113494	0.110956	0.15374	0.0831556	0.0343925
a87	0.11844	0.118613	0.117341	0.159853	0.202627	0.158193	0.070017	0.0549165
a23	0.185885	0.219156	0.178383	0.145215	0.122384	0.0775485	0.0391836	0.0322443
a62	0.158925	0.1702	0.174477	0.193816	0.157927	0.0792804	0.0399325	0.0254417
a47	0.488422	0.221035	0.093375	0.0785303	0.0405261	0.0185204	0.0275759	0.0320151
a75	0.371602	0.236581	0.160359	0.112174	0.0623017	0.0247859	0.0182267	0.0139703
a44	0.384452	0.220142	0.1406	0.0879929	0.0578651	0.0392068	0.0359468	0.0337934
a90	0.274713	0.246501	0.211977	0.126329	0.0646111	0.0275642	0.0280702	0.0202346
a98	0.176651	0.173888	0.194255	0.143419	0.111868	0.0635307	0.071963	0.0644246
a5	0.127733	0.149705	0.172437	0.131953	0.111774	0.0855392	0.0966466	0.124212
a21	0.199243	0.1929	0.206931	0.147548	0.112088	0.052986	0.0481897	0.0401143
a41	0.138011	0.185984	0.225031	0.166873	0.125216	0.0644959	0.051699	0.0426901
a5	0.0537202	0.107858	0.19301	0.19445	0.165005	0.0925006	0.0790386	0.114418
a47	0.0881547	0.133246	0.236932	0.217294	0.149285	0.0666861	0.052527	0.0558757
a31	0.0502471	0.0939644	0.184911	0.188036	0.164078	0.0948438	0.0896191	0.134301
a88	0.0599349	0.0863661	0.16185	0.195805	0.19443	0.115408	0.0964008	0.0898045
a9	0.0205849	0.0420132	0.0789398	0.108055	0.181989	0.218843	0.165944	0.183631
a75	0.00482875	0.00845558	0.0188505	0.0300538	0.0713389	0.188806	0.378325	0.299342
a41	0.0329158	0.0324269	0.0333812	0.027601	0.0308488	0.053566	0.177719	0.611542
a37	0.0396692	0.0374725	0.0375092	0.0343323	0.039024	0.0878004	0.222849	0.501344
a5	0.0196451	0.0252509	0.0323329	0.0328529	0.0423294	0.104838	0.254007	0.488744
a18	0.0457284	0.042296	0.0413553	0.0369849	0.0410827	0.0907623	0.23125	0.470541
a31	0.0067913	0.00954895	0.0129581	0.0125154	0.017331	0.0646686	0.318263	0.557924
a62	0.0111653	0.0146448	0.0172459	0.0155492	0.0202764	0.0786908	0.344498	0.497929
a83	0.00638746	0.00994996	0.0141815	0.0141999	0.0195434	0.0751274	0.372725	0.487885
a9	0.00178821	0.00263927	0.00439761	0.00575732	0.00966392	0.0465283	0.338485	0.59074
a54	0.00575336	0.0041444	0.00464862	0.00452219	0.00565493	0.0224198	0.305785	0.647072
a47	0.00155417	0.00154465	0.00173888	0.00170984	0.00296214	0.020037	0.247396	0.723058
a36	0.00159939	0.00168419	0.00208105	0.00247687	0.00430591	0.027666	0.273483	0.686704
a11	0.00205919	0.00174682	0.00241963	0.00284182	0.00479617	0.0282822	0.319034	0.63882
a75	0.00846715	0.00377347	0.00259775	0.00152214	0.00186692	0.0140436	0.322694	0.645035
a47	0.000780915	0.000709258	0.00095787	0.000875374	0.00152694	0.0130425	0.266099	0.716008
a7	0.000458217	0.000467274	0.000615317	0.000596629	0.00132416	0.0149749	0.250567	0.730996
a54	0.00105539	0.00103031	0.00131308	0.00124642	0.00205819	0.0153286	0.274003	0.703965
a36	0.000390689	0.000424943	0.000630263	0.000656956	0.00132314	0.0113529	0.21967	0.765551
a11	0.00152307	0.00109127	0.00119271	0.00110477	0.00183074	0.0121085	0.246494	0.734655
a54	0.00480186	0.00285116	0.0021967	0.00126691	0.00159602	0.0113543	0.313856	0.662078
a36	0.000903527	0.000797378	0.00103201	0.000973491	0.00167842	0.0108372	0.236783	0.746995
a26	0.00192756	0.00139062	0.00137345	0.00104332	0.00151224	0.0100936	0.251502	0.731158
a30	0.0275934	0.0141922	0.00988152	0.00643283	0.00841689	0.0521412	0.342662	0.53868
a10	0.115754	0.0558192	0.0446637	0.0471114	0.0569203	0.163795	0.296646	0.219291
a87	0.0944947	0.0481214	0.041151	0.0450541	0.0615507	0.143808	0.289076	0.276744
a23	0.069136	0.0360389	0.0324001	0.0389519	0.0559223	0.115221	0.296164	0.356166
a87	0.0323987	0.0208839	0.0233181	0.030939	0.0487285	0.128244	0.27935	0.436138
a97	0.00747739	0.0059099	0.00827597	0.0142399	0.0283993	0.0962523	0.28641	0.553035
</S>	0.0423374	0.0316154	0.0400531	0.0515285	0.0587011	0.0994572	0.251332	0.424975
