 	il	lia	le	sac	avec	une	ficelle	</S>
a87	0.253593	0.28305	0.117063	0.0809446	0.0659779	0.055982	0.0592645	0.0841252
a23	0.184607	0.188449	0.164973	0.124181	0.0974867	0.0786326	0.0747547	0.086916
a53	0.229565	0.229247	0.189268	0.118984	0.0762929	0.0511695	0.0502684	0.0552054
a20	0.251556	0.357027	0.18946	0.089366	0.0426134	0.0250421	0.0210543	0.0238805
a73	0.370482	0.349284	0.14616	0.0696049	0.0291133	0.015405	0.0105753	0.00937468
a44	0.377412	0.310024	0.137252	0.0841665	0.0412172	0.0211039	0.0144966	0.0143272
a26	0.315641	0.247647	0.14173	0.110131	0.0696234	0.0439429	0.0361731	0.0351108
a38	0.279392	0.245336	0.141208	0.112988	0.0749457	0.0509083	0.0484064	0.0468152
a94	0.264473	0.221357	0.149672	0.125504	0.0855288	0.0548727	0.0514403	0.047152
a38	0.238116	0.203176	0.157575	0.136669	0.0966074	0.0622801	0.0556426	0.0499331
a24	0.18953	0.165168	0.150374	0.143241	0.114499	0.0845141	0.0797554	0.0729188
a35	0.114917	0.119768	0.134028	0.154885	0.14984	0.129839	0.107226	0.0894973
a75	0.102993	0.113085	0.138238	0.156113	0.142022	0.118425	0.119781	0.109343
a32	0.0672616	0.0718381	0.107466	0.138402	0.147975	0.144229	0.164096	0.158733
a25	0.050291	0.0517843	0.0873904	0.127015	0.159438	0.165004	0.18634	0.172738
a75	0.0483072	0.0465688	0.0807615	0.11511	0.146316	0.158691	0.199806	0.204439
a41	0.0387558	0.0384277	0.0590551	0.0925295	0.131514	0.16011	0.218797	0.26081
a96	0.0301645	0.026028	0.0442439	0.0764535	0.130146	0.181535	0.237982	0.273446
a90	0.0331425	0.032442	0.0410805	0.0700434	0.133484	0.209536	0.245865	0.234408
a25	0.0260095	0.0318136	0.0468401	0.0735592	0.134528	0.199657	0.247518	0.240075
a94	0.012257	0.0174214	0.0303133	0.0520475	0.109812	0.195095	0.286463	0.296591
a32	0.0174065	0.0214273	0.0304261	0.0439648	0.0855291	0.172591	0.298896	0.329759
a12	0.0122595	0.0128268	0.0181669	0.0262004	0.0558292	0.139408	0.308856	0.426454
a70	0.00828667	0.00813985	0.0117616	0.0181943	0.0418641	0.11299	0.299262	0.499501
a66	0.0113641	0.0124368	0.0159691	0.0214825	0.0419042	0.105543	0.279209	0.512092
a54	0.0143568	0.0159025	0.0215681	0.0302542	0.0527956	0.111361	0.259708	0.494053
a73	0.00950747	0.014261	0.0227584	0.0270945	0.0441034	0.0933244	0.26169	0.52726
a2	0.00645072	0.00836042	0.0153609	0.0194972	0.0345302	0.083947	0.264549	0.567304
a57	0.00124185	0.00125812	0.0026438	0.00464761	0.0145959	0.0574083	0.256101	0.662104
a87	0.0041793	0.00306817	0.0062129	0.00848069	0.0211755	0.0705628	0.256092	0.630228
a23	0.0134357	0.00944423	0.0199578	0.026282	0.0546041	0.112684	0.273101	0.490491
a87	0.0364619	0.0231316	0.0447622	0.0613651	0.103862	0.182269	0.252217	0.295931
</S>	0.0158688	0.0128693	0.0300014	0.0438575	0.0859056	0.149337	0.262178	0.399983
