 	il	fut	traité	avec	bonté	</S>
a23	0.271164	0.135286	0.105089	0.11443	0.153835	0.220197
a40	0.457704	0.166995	0.0837798	0.0748319	0.0928505	0.123839
a47	0.197559	0.136667	0.113792	0.121104	0.184359	0.246519
a5	0.436261	0.228127	0.10009	0.0699663	0.0798527	0.0857032
a21	0.505208	0.224442	0.089013	0.06052	0.0562602	0.064557
a85	0.453278	0.200181	0.101952	0.0783414	0.0722761	0.0939718
a37	0.170066	0.148919	0.143044	0.157277	0.176204	0.204491
a25	0.259976	0.187112	0.149482	0.13038	0.120254	0.152795
a56	0.129133	0.146426	0.181728	0.177413	0.169596	0.195705
a75	0.0826095	0.117839	0.18898	0.201027	0.182334	0.227212
a25	0.0452819	0.0641649	0.140594	0.190441	0.22227	0.337248
a44	0.0320329	0.0474081	0.109649	0.167589	0.254503	0.388818
a40	0.0372328	0.0450323	0.101541	0.166439	0.23885	0.410904
a75	0.0226752	0.0328797	0.0846229	0.169072	0.242458	0.448291
a21	0.0243208	0.0311451	0.0750535	0.138346	0.237545	0.49359
a12	0.0137068	0.0195286	0.0586424	0.125208	0.235856	0.547058
a27	0.0263944	0.0329274	0.0652183	0.124333	0.235682	0.515445
a30	0.0311442	0.0324346	0.0596254	0.112314	0.238717	0.525765
a87	0.0288675	0.0325441	0.07264	0.134054	0.253542	0.478352
a23	0.219244	0.152672	0.164283	0.150489	0.140643	0.172669
a87	0.140246	0.111624	0.136948	0.154486	0.198287	0.258409
</S>	0.0364929	0.0443387	0.0986329	0.15195	0.272615	0.39597
