 	le	feu	de	brousse	a	une	grande	luminosité	</S>
a87	0.199077	0.172053	0.14893	0.167074	0.128577	0.113689	0.0409754	0.0117084	0.0179162
a23	0.322098	0.25141	0.151804	0.133786	0.0640939	0.0425318	0.0190071	0.00740252	0.00786773
a83	0.153902	0.0831795	0.0518776	0.0515029	0.0544514	0.101385	0.154209	0.106303	0.243189
a62	0.178768	0.157455	0.114484	0.122004	0.123566	0.108697	0.0820395	0.045667	0.0673204
a12	0.288762	0.212497	0.152659	0.145819	0.0976611	0.0531191	0.0248118	0.0134601	0.0112112
a5	0.227538	0.193143	0.152204	0.149738	0.10264	0.0589268	0.0531518	0.0297375	0.03292
a12	0.222336	0.202406	0.134244	0.123011	0.082575	0.053026	0.0744998	0.050622	0.0572792
a61	0.245159	0.177168	0.122941	0.11533	0.10723	0.0685105	0.0645737	0.0460759	0.0530106
a34	0.188639	0.140548	0.126646	0.123164	0.130645	0.0821826	0.0770199	0.0649692	0.0661861
a56	0.150314	0.112141	0.118379	0.128712	0.169423	0.118631	0.0792943	0.0622497	0.0608557
a75	0.105025	0.0736424	0.0871055	0.0959529	0.158451	0.146261	0.101389	0.0941754	0.137997
a25	0.100786	0.0730323	0.0812924	0.0838724	0.102582	0.0837128	0.0733901	0.120616	0.280716
a56	0.0716508	0.0470232	0.0544593	0.0572826	0.0928607	0.113339	0.0858798	0.110464	0.367041
a92	0.0675882	0.0383848	0.0402615	0.0359105	0.0542433	0.0572836	0.0574797	0.0911591	0.557689
a56	0.0286016	0.0145392	0.0143122	0.0126125	0.0137896	0.0139199	0.0181153	0.0598462	0.824264
a47	0.0118181	0.00668458	0.00641561	0.00528826	0.00682388	0.0105829	0.0209804	0.0934105	0.837996
a31	0.0117997	0.00632674	0.00615446	0.00549491	0.00726392	0.0139489	0.0300478	0.132872	0.786092
a61	0.00191071	0.0011267	0.00108876	0.00124521	0.00196226	0.00613362	0.0179257	0.0921207	0.876486
a21	0.00117465	0.000719165	0.000683522	0.00077744	0.00108286	0.00378361	0.0151072	0.0771623	0.899509
a47	0.00121428	0.000475207	0.00042758	0.00052634	0.000739332	0.00192552	0.00396655	0.031428	0.959297
a62	0.000708135	0.000355906	0.000378219	0.000538893	0.000927834	0.00342968	0.0103626	0.0685864	0.914712
a88	0.00133263	0.000700444	0.000726723	0.000980243	0.00166495	0.00567157	0.0145089	0.0793639	0.895051
a62	0.00405333	0.00176908	0.00177236	0.00188577	0.0023347	0.00510986	0.0134124	0.121957	0.847705
a88	0.00161032	0.000581801	0.000550884	0.00060042	0.000816471	0.00195303	0.00589231	0.0567708	0.931224
a62	0.00121223	0.000456041	0.000462666	0.000572309	0.000924874	0.00224257	0.00595185	0.0487738	0.939404
a88	0.00171542	0.000747093	0.000770738	0.000950348	0.00140087	0.00299219	0.00732453	0.0485237	0.935575
a71	0.00234378	0.00107613	0.0011521	0.00147008	0.00230371	0.00534696	0.0134513	0.0719518	0.900904
a9	0.0106375	0.00440871	0.00398561	0.00442052	0.00522529	0.0105689	0.0218585	0.0842632	0.854632
a87	0.0508047	0.0210408	0.0154859	0.0153373	0.0167016	0.0454588	0.0907389	0.202257	0.542175
a23	0.251462	0.123398	0.10227	0.105655	0.0794055	0.0678854	0.0448678	0.0613487	0.163708
a87	0.126669	0.0554981	0.0487072	0.0462254	0.0278283	0.0201323	0.0318555	0.111549	0.531535
</S>	0.0100679	0.00470135	0.0049514	0.00603141	0.00816633	0.0137117	0.0314345	0.167342	0.753594
