 	il	a	abattu	une	arbre	</S>
a23	0.422971	0.226269	0.11856	0.0742802	0.0729177	0.0850022
a79	0.448521	0.231789	0.112803	0.0713194	0.0665481	0.0690195
a53	0.382341	0.199144	0.132005	0.108564	0.08752	0.0904261
a20	0.439329	0.251593	0.158046	0.0871639	0.0411607	0.022707
a30	0.407408	0.291614	0.168245	0.0796066	0.0352382	0.0178873
a35	0.356926	0.290672	0.180862	0.0932964	0.048731	0.0295126
a2	0.341589	0.305952	0.197808	0.0879424	0.0414126	0.0252956
a53	0.202586	0.221573	0.20788	0.144961	0.109015	0.113985
a76	0.283307	0.273284	0.195534	0.106464	0.0743761	0.0670354
a41	0.27006	0.231946	0.189521	0.136694	0.0942894	0.0774895
a24	0.173226	0.177444	0.193545	0.185798	0.144046	0.12594
a71	0.058519	0.0691772	0.107858	0.204781	0.271073	0.288591
a9	0.0462178	0.0478974	0.063073	0.1329	0.264299	0.445613
a38	0.0253272	0.0317564	0.0517911	0.122335	0.255219	0.513571
a94	0.0203805	0.0231168	0.0384897	0.110715	0.258416	0.548882
a76	0.0181883	0.0192204	0.0365772	0.117111	0.281784	0.52712
a73	0.0116852	0.0117205	0.0214683	0.0726923	0.242198	0.640235
a2	0.00631627	0.00644606	0.0127	0.0505885	0.214411	0.709538
a57	0.00647613	0.00591953	0.00991393	0.0350683	0.168845	0.773777
a87	0.0113454	0.0104072	0.017271	0.05671	0.204583	0.699683
</S>	0.007554	0.0106727	0.0255918	0.0977656	0.278931	0.579484
