 	le	filet	pour	la	chasse	aux	buffles	est	fabriqué	avec	l'	écorce	de	l'	arbuste	leposo	</S>
a66	0.114305	0.0938745	0.0855919	0.0771243	0.0670821	0.0596545	0.0514032	0.0681546	0.0456501	0.0542493	0.0655218	0.0700374	0.0647394	0.0425799	0.0161486	0.0125423	0.0113406
a87	0.120801	0.0754629	0.0638835	0.0562287	0.054287	0.0512812	0.0407288	0.0423663	0.0379122	0.044036	0.0561761	0.0660416	0.0761755	0.0682972	0.0512246	0.0536875	0.0414104
a23	0.275308	0.22397	0.147305	0.0954178	0.0581339	0.0325206	0.0183112	0.0214092	0.0102111	0.0119179	0.0132449	0.022851	0.027833	0.0171712	0.00784013	0.00837382	0.00818126
a87	0.309801	0.246737	0.137254	0.0831262	0.0476971	0.0288045	0.0147617	0.0164934	0.00959215	0.012122	0.0119728	0.0164729	0.0186714	0.0121852	0.00991745	0.0124734	0.0119181
a23	0.290844	0.236109	0.137568	0.0881783	0.0518789	0.0286517	0.0136107	0.0153136	0.00961294	0.0118744	0.0129219	0.0206803	0.0256303	0.0198489	0.0141022	0.0130528	0.0101215
a87	0.259173	0.168697	0.0872999	0.0559038	0.0365861	0.0238998	0.0170484	0.0195017	0.0191213	0.0236886	0.0267391	0.0368872	0.0454539	0.0404973	0.0430651	0.0506618	0.0457748
a23	0.200051	0.142119	0.0893048	0.0670592	0.0480463	0.0325432	0.0212465	0.025273	0.026261	0.0331192	0.0343701	0.0452243	0.0539229	0.0482049	0.0497589	0.0478775	0.0356182
a30	0.183909	0.11	0.0628007	0.0482003	0.0379794	0.0268498	0.0235398	0.025748	0.0324057	0.0374582	0.0360703	0.0401399	0.0520212	0.0529317	0.0668116	0.090803	0.0723324
a13	0.147915	0.0921675	0.0641723	0.061354	0.0595139	0.0472387	0.0415061	0.0390561	0.0353619	0.0405207	0.0363905	0.0371686	0.0490092	0.0529929	0.0611043	0.0799851	0.0545427
a57	0.162112	0.115813	0.0898635	0.0884995	0.0828218	0.0519895	0.0310702	0.0237276	0.0195992	0.0219288	0.0198438	0.0245533	0.0382387	0.0453259	0.0534531	0.0684583	0.0627021
a9	0.156304	0.117283	0.0890631	0.0864351	0.0854906	0.0618472	0.0383695	0.0296218	0.0224742	0.0237424	0.0210215	0.0239118	0.0368181	0.0411797	0.0507077	0.0599007	0.0558299
a62	0.143992	0.0968658	0.0630405	0.0551926	0.0533911	0.0433291	0.0398133	0.0336936	0.0297131	0.0334386	0.0290327	0.0314865	0.0465848	0.0546015	0.0744802	0.0914807	0.0798644
a54	0.118176	0.128224	0.11527	0.105946	0.0968821	0.0678568	0.0383502	0.0315085	0.0264962	0.0253103	0.0230998	0.0262998	0.0333897	0.0334086	0.0414373	0.0397103	0.0486345
a6	0.0570669	0.0710068	0.0751405	0.0769277	0.0825618	0.0800486	0.0634528	0.0543755	0.0510673	0.0518961	0.0440093	0.0454449	0.0418918	0.0345982	0.0451539	0.0485647	0.0767929
a79	0.0396288	0.0517874	0.0668894	0.0781689	0.0924034	0.100023	0.073359	0.0682428	0.0570328	0.057119	0.0511032	0.0501137	0.0429838	0.0307846	0.0351555	0.039677	0.0655281
a54	0.0425673	0.0554443	0.0694659	0.0780541	0.0922531	0.104626	0.079825	0.0774908	0.0631019	0.0610419	0.0555728	0.0509532	0.0423908	0.0266243	0.021456	0.0258587	0.0532737
a47	0.0230767	0.0326052	0.0493791	0.0611063	0.0763196	0.0953944	0.0809814	0.0776256	0.0805414	0.076355	0.0749638	0.0662074	0.055576	0.0375439	0.0269183	0.0302997	0.0551062
a37	0.02756	0.0332742	0.0478584	0.0600065	0.0777931	0.102457	0.0928048	0.0791991	0.0721304	0.0683753	0.0631645	0.0562065	0.0447481	0.0301614	0.0213686	0.0310692	0.0918225
a75	0.0254993	0.0292314	0.0384157	0.0467404	0.061602	0.0903087	0.0862728	0.0880936	0.0829349	0.0814107	0.0781532	0.0712137	0.05877	0.0409023	0.0249931	0.0234886	0.0719696
a47	0.0169338	0.0202934	0.0256971	0.0298937	0.0392679	0.0651395	0.0720015	0.0771533	0.089923	0.0813016	0.0856938	0.068976	0.058587	0.0454684	0.0398085	0.0515053	0.132356
a7	0.0140048	0.0175089	0.0230603	0.0275309	0.0383937	0.0693192	0.0879999	0.0857829	0.100435	0.0911237	0.0879571	0.0679391	0.0555237	0.0397961	0.02521	0.0356211	0.132793
a47	0.00855909	0.00985317	0.0129973	0.0158005	0.0233112	0.0492129	0.0852974	0.0968376	0.119235	0.118255	0.119233	0.0905748	0.0707262	0.0481293	0.024282	0.0243332	0.0833621
a6	0.00693531	0.007986	0.00994097	0.0116867	0.0164747	0.0332996	0.0621198	0.0707384	0.1082	0.10361	0.101466	0.0746542	0.058268	0.0471477	0.0364718	0.0561282	0.194873
a36	0.00434952	0.00492163	0.00633293	0.00750681	0.0106264	0.0232973	0.052355	0.0609937	0.113137	0.109905	0.113667	0.0763516	0.0572282	0.0463087	0.0319835	0.0563486	0.224687
a11	0.00831344	0.00913745	0.0107447	0.0117708	0.0149678	0.0273123	0.0563693	0.0702356	0.116139	0.12015	0.126577	0.0849213	0.0653085	0.0510102	0.0337978	0.0427947	0.15045
a83	0.0117855	0.012896	0.0140523	0.0151664	0.0200636	0.0364808	0.071473	0.0789359	0.117345	0.122547	0.128695	0.0773169	0.059642	0.0504331	0.0315297	0.0363273	0.11531
a98	0.00802093	0.00936082	0.011759	0.0137058	0.0180781	0.0328393	0.059624	0.0683201	0.107229	0.110368	0.123213	0.083664	0.0656826	0.0575778	0.0434412	0.046119	0.140998
a79	0.00269696	0.00305107	0.00384288	0.00431286	0.00563264	0.0121037	0.0284064	0.0363461	0.0796709	0.0754622	0.0847483	0.0542677	0.0390159	0.0358542	0.0464953	0.0983865	0.389706
a90	0.0021784	0.00249251	0.00319717	0.00356626	0.00467208	0.0103121	0.0260747	0.0338035	0.0855467	0.0787159	0.0867641	0.0523097	0.034973	0.0354087	0.0544782	0.10412	0.381387
a69	0.00199422	0.00234694	0.00300569	0.00341037	0.00452375	0.0096833	0.0229725	0.0292675	0.0658787	0.0606586	0.0659473	0.0415402	0.0294598	0.0319069	0.0613076	0.124369	0.441727
a44	0.00197369	0.00229932	0.00302187	0.00353841	0.00480864	0.0105638	0.0244046	0.0293247	0.0580101	0.0549294	0.0569328	0.0344008	0.0247038	0.0248178	0.0512684	0.119129	0.495873
a90	0.00200228	0.00238493	0.00319663	0.00374339	0.00508301	0.0110573	0.0254937	0.0287924	0.0546452	0.0537846	0.0530772	0.0303378	0.0207015	0.0196519	0.0398068	0.0993915	0.54685
a56	0.00126823	0.0014642	0.00188158	0.0021598	0.00286023	0.00617238	0.0147594	0.0181397	0.0384744	0.0373423	0.039799	0.0252286	0.0173351	0.0191981	0.0493676	0.128879	0.59567
a32	0.00197622	0.00218367	0.00260464	0.00282842	0.00348073	0.00621568	0.0121304	0.0135955	0.026401	0.0252536	0.0270207	0.01672	0.0115455	0.0136687	0.0400207	0.122957	0.671397
a90	0.00317178	0.00343448	0.0041595	0.00445549	0.00576478	0.0111196	0.0213576	0.0208698	0.0335092	0.0320597	0.030144	0.014641	0.00831706	0.00714283	0.0184674	0.0766288	0.704757
a58	0.000881057	0.000999859	0.00123555	0.00135051	0.00182202	0.00406617	0.00931337	0.00978341	0.0194079	0.018915	0.0186092	0.00952926	0.00554463	0.00562281	0.0205686	0.0887105	0.78364
a82	0.00208748	0.00212939	0.00238264	0.00238613	0.0032389	0.00668192	0.0140956	0.0128489	0.0222455	0.0220727	0.0201147	0.00935542	0.0049402	0.00421208	0.0192024	0.108353	0.743653
a87	0.0335685	0.0243253	0.0215094	0.0172415	0.0191724	0.0244434	0.0351528	0.0275377	0.0436645	0.0332256	0.0335844	0.0257628	0.024853	0.0275908	0.0833366	0.176416	0.348616
a23	0.0690024	0.0519524	0.0424514	0.0314235	0.0312096	0.0303229	0.0353509	0.0302106	0.0422212	0.0337453	0.0392999	0.0457358	0.051441	0.0643407	0.0823808	0.13342	0.185491
a87	0.0704861	0.0536863	0.0382141	0.0207557	0.0171228	0.0148778	0.0146182	0.00955677	0.0176277	0.0137153	0.0174864	0.0184532	0.0216654	0.0272102	0.0567286	0.162278	0.425518
a10	0.0221897	0.0174853	0.0117603	0.00701137	0.00577343	0.00612835	0.00742354	0.00633253	0.0123911	0.0093071	0.0123389	0.010541	0.0105444	0.0142485	0.0418387	0.180366	0.624319
a87	0.0549974	0.0423614	0.0277779	0.018321	0.0141909	0.0154514	0.0200124	0.0224306	0.040853	0.0366925	0.0505896	0.0501572	0.0452073	0.0469554	0.0620772	0.142467	0.309458
a23	0.090837	0.0636021	0.0377335	0.023509	0.0186203	0.0183602	0.0226735	0.0242603	0.0388253	0.0336995	0.0429142	0.0408062	0.038435	0.041107	0.0530553	0.119428	0.292134
a87	0.0502585	0.0393833	0.0294023	0.0196123	0.0151199	0.0166559	0.0203966	0.0203265	0.0424444	0.0360145	0.05445	0.0576725	0.0562826	0.0603582	0.0702096	0.132905	0.278508
</S>	0.0563834	0.0444655	0.0306987	0.0196502	0.0146069	0.014245	0.0162128	0.0161249	0.0284166	0.0237229	0.0311177	0.0334032	0.0355575	0.0385148	0.0580185	0.160751	0.37811
