 	la	bise	et	le	soleil	se	disputaient	chacun	qu'	il	était	plus	fort	</S>
a66	0.23016	0.126089	0.0639736	0.0530237	0.0496113	0.0518018	0.0636051	0.0600355	0.0403844	0.0373694	0.0533348	0.0504939	0.0535247	0.0665925
a97	0.109293	0.0833927	0.051631	0.0463994	0.0491054	0.0583111	0.073977	0.11479	0.0683574	0.0594155	0.0495999	0.0513774	0.0652358	0.119114
a3	0.30539	0.240016	0.0861228	0.0520588	0.0393866	0.03445	0.0425928	0.0708372	0.0460769	0.0254241	0.014992	0.0122754	0.0124275	0.0179501
a97	0.28758	0.28051	0.10661	0.061222	0.0379768	0.0291303	0.0344614	0.0556622	0.034579	0.0207511	0.015263	0.0120521	0.0102151	0.0139865
a87	0.217524	0.206376	0.104481	0.0665205	0.0454525	0.0379974	0.0420278	0.0606469	0.0577535	0.0378699	0.0363019	0.0314809	0.0247211	0.0308469
a82	0.224406	0.196388	0.0935463	0.055224	0.035272	0.0375461	0.0367183	0.0530471	0.0554799	0.0417835	0.0447448	0.0428956	0.0355726	0.0473759
a97	0.219049	0.167666	0.0914525	0.0579631	0.039304	0.0352424	0.0295776	0.036797	0.0456332	0.0397341	0.0506477	0.0580208	0.0570243	0.071888
a87	0.184905	0.140867	0.082007	0.0514277	0.0348463	0.0324951	0.0295851	0.0376104	0.0477616	0.0418185	0.0609532	0.0781611	0.0794756	0.098087
a79	0.177917	0.141826	0.0742715	0.045904	0.0346131	0.037768	0.0327165	0.0447781	0.0563531	0.0466137	0.06374	0.0775054	0.0726981	0.0932952
a69	0.322186	0.207383	0.118731	0.0652165	0.0337667	0.0229054	0.0178894	0.0237117	0.0184108	0.0168443	0.0198821	0.0304035	0.040925	0.0617452
a58	0.353993	0.270084	0.1606	0.0791207	0.0279242	0.0140648	0.0108377	0.01113	0.00745963	0.00759131	0.00954363	0.0120567	0.0155338	0.0200598
a90	0.192969	0.22173	0.19448	0.135038	0.0578488	0.0279233	0.0263965	0.0251322	0.0175191	0.0171844	0.0178852	0.015895	0.0213124	0.0286853
a94	0.213144	0.233033	0.193759	0.124773	0.0567396	0.0260412	0.0265016	0.0261042	0.0153119	0.0151499	0.0151996	0.0141912	0.0183028	0.021748
a58	0.175991	0.194677	0.185984	0.142781	0.0775914	0.0339731	0.0378425	0.0368498	0.0190736	0.0167119	0.0154078	0.0144499	0.0215493	0.0271167
