 	où	est	celui	qui	a	enfoncé	cette	pointe	dans	la	planche	</S>
a66	0.2024	0.179154	0.103999	0.0562626	0.0641441	0.0912805	0.127076	0.0850364	0.0384408	0.0261947	0.0167286	0.00928339
a87	0.247873	0.170622	0.0665742	0.054046	0.0583411	0.108255	0.101267	0.0869756	0.0522915	0.0266977	0.0139799	0.0130767
a10	0.256226	0.168526	0.12891	0.0878044	0.074782	0.0676301	0.0760122	0.0487505	0.0290704	0.0213411	0.0242854	0.0166609
a87	0.199567	0.190758	0.131201	0.0940538	0.104468	0.085043	0.0831047	0.0509783	0.0247191	0.0163251	0.0112281	0.00855292
a23	0.202566	0.178266	0.115135	0.0833825	0.08789	0.0918325	0.100811	0.0704504	0.0331546	0.0188553	0.011025	0.0066318
a79	0.183358	0.14578	0.0937347	0.0846089	0.108309	0.116063	0.11761	0.0666784	0.0328467	0.0239099	0.0136884	0.0134124
a4	0.259677	0.212462	0.148716	0.0844768	0.0689383	0.0362385	0.0403423	0.0262218	0.0206565	0.0336291	0.0335419	0.0351
a58	0.148928	0.202978	0.194979	0.143961	0.104049	0.0386555	0.0454877	0.0364524	0.0245627	0.0282692	0.0174668	0.0142105
a75	0.0719455	0.113513	0.13965	0.168688	0.147273	0.065743	0.0739132	0.0782963	0.0572375	0.0451519	0.0217128	0.0168757
a21	0.0641843	0.0888049	0.107366	0.113734	0.122832	0.0912909	0.110188	0.0914925	0.0658908	0.0672611	0.0364841	0.0404711
a47	0.0641275	0.0829996	0.0985936	0.125095	0.141289	0.102679	0.124905	0.107987	0.0638967	0.042687	0.0234259	0.0223158
a61	0.0469943	0.0519689	0.0548423	0.0903129	0.152198	0.129394	0.154937	0.126913	0.0703307	0.0476119	0.0428696	0.0316263
a0	0.0336281	0.0357577	0.0406083	0.0853136	0.140438	0.138876	0.167471	0.151937	0.0838867	0.0478499	0.0454817	0.0287531
a21	0.0158467	0.0144698	0.0157374	0.0536385	0.119256	0.139852	0.155517	0.157706	0.11077	0.0696892	0.0943412	0.0531771
a5	0.00948008	0.00839687	0.010804	0.0414573	0.10179	0.132915	0.143579	0.147973	0.121966	0.0885252	0.124724	0.0683895
a21	0.00473568	0.00422407	0.0056408	0.0213612	0.0553458	0.112104	0.131664	0.148768	0.126156	0.0969753	0.173324	0.119702
a5	0.00416052	0.00344484	0.00491066	0.0173341	0.0408747	0.0856912	0.0969255	0.110129	0.112008	0.10604	0.257134	0.161347
a56	0.00355591	0.00285064	0.00426038	0.0115822	0.022197	0.0426929	0.0526576	0.0637626	0.0781645	0.0941178	0.392346	0.231812
a43	0.00108662	0.000867305	0.00146288	0.00548564	0.0115791	0.0233047	0.0275271	0.0347518	0.0469858	0.0732919	0.485811	0.287846
a0	0.000694875	0.000540036	0.000869251	0.0021354	0.00450011	0.00823618	0.00815258	0.00978863	0.0168011	0.0515772	0.436933	0.459771
a62	0.0015678	0.00130336	0.00190245	0.00333421	0.00489595	0.00891472	0.00900169	0.0123947	0.0286336	0.0890711	0.342969	0.496011
a88	0.000774729	0.00063827	0.000797576	0.0015836	0.00239903	0.00541602	0.0060705	0.0105378	0.0296185	0.0911152	0.360178	0.490871
a75	0.00129452	0.00102477	0.00130799	0.00153822	0.00193616	0.00385479	0.00511254	0.0090036	0.0251759	0.089548	0.336412	0.523792
a21	0.00106631	0.000746193	0.00113231	0.00174443	0.00270971	0.00635881	0.00588392	0.00869577	0.0228061	0.0629072	0.245509	0.64044
a5	0.001782	0.00141658	0.00195511	0.00267027	0.00338593	0.00697981	0.00663428	0.00887765	0.0246578	0.0638447	0.284123	0.593673
a18	0.00401942	0.00297339	0.00402216	0.00513537	0.00482254	0.00867593	0.00691914	0.00955677	0.0230089	0.0462795	0.168101	0.716486
a47	0.0390939	0.0251302	0.0335621	0.0286591	0.020134	0.0360862	0.0390069	0.052499	0.0653021	0.0707241	0.151803	0.438
a31	0.0438816	0.0227711	0.0258386	0.0243546	0.0207755	0.0421961	0.0597285	0.0733189	0.0829019	0.0946859	0.166385	0.343162
a88	0.00368524	0.0024859	0.00295054	0.00377559	0.0037717	0.00665805	0.00669768	0.00963223	0.0197344	0.0425198	0.165707	0.732382
a9	0.00866933	0.00594811	0.00745323	0.00635942	0.00459827	0.00721093	0.00722848	0.0122374	0.0245469	0.0485808	0.205117	0.66205
a87	0.111851	0.0600878	0.0739774	0.0590453	0.0369534	0.0489826	0.0438175	0.0434049	0.043293	0.0456717	0.11646	0.316455
a23	0.172417	0.0808698	0.0603737	0.0468984	0.0396085	0.0636969	0.0752456	0.0623099	0.055351	0.044173	0.108115	0.190942
a87	0.0900838	0.0403826	0.0333074	0.0250353	0.0179922	0.0346805	0.0276537	0.0234589	0.0337562	0.0498413	0.211952	0.411856
</S>	0.0111833	0.00525238	0.0045802	0.00462263	0.00429143	0.0114652	0.0109895	0.0135569	0.0274886	0.0539621	0.276262	0.576345
