 	j'	ai	des	démangeaisons	</S>
a66	0.548594	0.208317	0.121042	0.0727291	0.0493173
a87	0.330409	0.273678	0.21699	0.122663	0.0562606
a99	0.546961	0.301166	0.0909078	0.0357796	0.025186
a18	0.599135	0.286014	0.0732054	0.0218567	0.0197884
a54	0.597901	0.261219	0.0748258	0.0350008	0.0310529
a37	0.415842	0.324447	0.151861	0.0656623	0.0421876
a11	0.242805	0.342539	0.274348	0.0962099	0.0440986
a56	0.152151	0.270239	0.347802	0.160104	0.0697031
a34	0.149721	0.240594	0.351184	0.181851	0.0766504
a62	0.108051	0.161367	0.357026	0.270284	0.103272
a21	0.0841672	0.104174	0.253935	0.32436	0.233364
a12	0.0387449	0.0509854	0.194327	0.406508	0.309435
a18	0.0128965	0.0162731	0.0769514	0.318926	0.574953
a75	0.00822962	0.0107448	0.0499311	0.246165	0.684929
a43	0.00381153	0.00535095	0.0229329	0.160144	0.807761
a11	0.00267387	0.0044589	0.0179129	0.125438	0.849516
a38	0.0244116	0.0349759	0.0724826	0.199082	0.669048
a9	0.0141269	0.0237315	0.0572678	0.194847	0.710027
a10	0.0522657	0.0503024	0.0908062	0.226517	0.580108
a87	0.265805	0.118257	0.111341	0.171199	0.333398
a23	0.445846	0.190034	0.111191	0.114878	0.13805
a87	0.243226	0.12862	0.0944132	0.149795	0.383945
a23	0.0322735	0.0344569	0.0619543	0.210626	0.660689
a87	0.0650406	0.0574716	0.084756	0.193114	0.599617
</S>	0.0207339	0.0247094	0.0470836	0.192544	0.714929
