 	ils	ont	marché	toute	la	nuit	et	son	arrivés	à	l'	aube	</S>
a23	0.296392	0.158858	0.0530175	0.0388223	0.0408136	0.053923	0.0662281	0.0529099	0.0453987	0.043164	0.0355063	0.0519357	0.063031
a97	0.195571	0.125818	0.101619	0.116975	0.100343	0.100859	0.092016	0.0535566	0.033298	0.0224862	0.0178921	0.0173894	0.0221773
a38	0.110719	0.100875	0.100375	0.131494	0.119235	0.124222	0.11066	0.060883	0.0343654	0.0247409	0.0228042	0.02332	0.0363077
a20	0.291534	0.264718	0.130673	0.0802126	0.0481732	0.0422327	0.0344642	0.0186068	0.014731	0.0152713	0.0170371	0.0163443	0.0260013
a73	0.419784	0.302977	0.127385	0.0468083	0.0198815	0.0153107	0.0129764	0.00861735	0.00929881	0.0112683	0.0116473	0.00777295	0.00627161
a56	0.229359	0.228691	0.164134	0.108737	0.0657448	0.0554674	0.045077	0.027278	0.0240149	0.0228572	0.0141375	0.00755379	0.00694716
a41	0.164766	0.179337	0.150291	0.125046	0.0979004	0.0797759	0.0636866	0.0433289	0.0390034	0.0292872	0.0134408	0.00717402	0.00696204
a37	0.131259	0.141346	0.123311	0.122563	0.111521	0.0991231	0.0876271	0.0619985	0.050962	0.035311	0.0158729	0.00904377	0.0100611
a61	0.10845	0.121083	0.110381	0.117613	0.118407	0.108659	0.0961627	0.0713003	0.0589769	0.0413402	0.0208756	0.012553	0.0141984
a32	0.0974112	0.104165	0.0956728	0.104252	0.112475	0.103952	0.098339	0.0810734	0.0768834	0.0581572	0.0294669	0.0190649	0.0190868
a25	0.0639514	0.0727695	0.072217	0.103857	0.129998	0.127935	0.120112	0.0949813	0.0841135	0.0585819	0.0300205	0.0202564	0.0212067
a38	0.0435228	0.0550202	0.0628247	0.104477	0.136485	0.144222	0.139861	0.108706	0.0838473	0.0538333	0.0276298	0.0174986	0.0220727
a76	0.0379128	0.0486646	0.0537946	0.0916189	0.12649	0.143269	0.148074	0.117956	0.0871121	0.058812	0.0342068	0.023468	0.0286218
a94	0.0460122	0.0541758	0.0549755	0.0876119	0.124356	0.131029	0.13425	0.110541	0.0854854	0.0616136	0.0420012	0.0341515	0.0337973
a24	0.0364718	0.0434764	0.0450603	0.0719336	0.10832	0.137352	0.153344	0.12647	0.0955748	0.066308	0.0419773	0.0341515	0.0395591
a32	0.0234012	0.0313804	0.0394132	0.0661668	0.101098	0.132353	0.152184	0.129577	0.0948987	0.0772511	0.0550266	0.0475781	0.0496726
a71	0.0182048	0.0264062	0.0376525	0.0690579	0.0960612	0.135538	0.161452	0.133186	0.091689	0.0800383	0.056114	0.0445752	0.0500247
a0	0.0122993	0.0191637	0.030512	0.0613566	0.0889327	0.139191	0.171601	0.144342	0.0987649	0.0917148	0.060504	0.0401376	0.0414806
a31	0.00993481	0.0154753	0.0250899	0.0552177	0.0877265	0.13953	0.1625	0.13586	0.0976363	0.100237	0.0757153	0.0495371	0.0455407
a98	0.0132691	0.0202812	0.030341	0.0588209	0.0864423	0.124768	0.140973	0.118658	0.0919055	0.098276	0.0844426	0.0668217	0.0650007
a61	0.0111351	0.0173891	0.0228326	0.0410815	0.0651966	0.103685	0.140273	0.131467	0.102772	0.0909368	0.0759135	0.0825311	0.114787
