 	parmi	ces	enfants	quel	est	celui	qui	n'	arrive	pas	à	lire	</S>
a66	0.21345	0.150088	0.101874	0.0827159	0.0854926	0.0807572	0.0673378	0.0647912	0.0532807	0.0353513	0.0244817	0.020195	0.0201845
a87	0.419496	0.201637	0.0744836	0.0343489	0.0290684	0.0368191	0.0385768	0.0376817	0.0296866	0.0233355	0.0237401	0.0266399	0.0244863
a23	0.401908	0.209233	0.148013	0.0639041	0.0433619	0.0323491	0.0246069	0.0168833	0.0137728	0.0119326	0.010652	0.0112748	0.0121081
a87	0.224837	0.122028	0.0884302	0.0637987	0.0667266	0.0613839	0.0698763	0.051456	0.045808	0.043314	0.0471943	0.0582945	0.0568521
a23	0.259132	0.159297	0.129442	0.0828392	0.0678637	0.052049	0.0485734	0.0378097	0.0334318	0.0303769	0.0307434	0.0345496	0.0338923
a10	0.144609	0.0818357	0.0694213	0.066245	0.068875	0.0714035	0.0803169	0.064554	0.0628794	0.0646452	0.0700804	0.0813318	0.0738025
a54	0.158835	0.105684	0.0859843	0.069821	0.0669645	0.0755106	0.0707459	0.0482936	0.0441141	0.0502574	0.0643593	0.0849226	0.0745074
a7	0.227123	0.204276	0.139233	0.0717378	0.0573299	0.062907	0.0524885	0.0368559	0.0272008	0.0277575	0.0312791	0.033568	0.028243
a54	0.331293	0.248365	0.123163	0.0564955	0.0383237	0.0321687	0.0297142	0.0171478	0.0123183	0.0156927	0.0237538	0.0347918	0.0367725
a6	0.20123	0.170559	0.116761	0.0841073	0.0685127	0.058059	0.0572125	0.0414589	0.0288622	0.0308891	0.0399453	0.0492541	0.0531496
a85	0.166157	0.173826	0.130287	0.0967289	0.0805794	0.0677192	0.069295	0.050201	0.0294024	0.0275764	0.0317417	0.0371179	0.0393681
a92	0.112124	0.159728	0.116963	0.0904562	0.080121	0.0736803	0.0796169	0.0673682	0.0402946	0.0364428	0.0421241	0.0490093	0.052071
a37	0.113285	0.133791	0.135282	0.133353	0.116996	0.0895939	0.0988175	0.0586848	0.027559	0.0217594	0.0213462	0.0235978	0.0259336
a90	0.0957818	0.119024	0.130707	0.144962	0.133455	0.0991649	0.0989853	0.0617871	0.031075	0.0229994	0.0206892	0.0207456	0.0206238
a69	0.0511471	0.0788729	0.109925	0.148041	0.139558	0.106994	0.113285	0.0741157	0.0388775	0.0327606	0.0318811	0.034999	0.0395438
a90	0.0306529	0.0447755	0.0715496	0.115139	0.135818	0.120778	0.135596	0.0957271	0.0564363	0.049742	0.0462757	0.047456	0.0500534
a25	0.0142123	0.0239868	0.05379	0.126369	0.151738	0.126098	0.150346	0.109365	0.0605507	0.0490772	0.0427636	0.0435358	0.0481678
a44	0.00752085	0.0120068	0.0317432	0.0882882	0.134463	0.129075	0.155226	0.110757	0.0634017	0.0583775	0.056109	0.0689907	0.0840419
a34	0.00876392	0.00869873	0.0158357	0.045434	0.0952805	0.110201	0.148278	0.121824	0.0844276	0.081647	0.0790125	0.0890185	0.111579
a96	0.0110264	0.0117076	0.0183764	0.0484491	0.0913106	0.105989	0.148201	0.14193	0.117142	0.100386	0.0750504	0.0646115	0.0658204
a88	0.0103203	0.00947734	0.0143642	0.0314356	0.0691908	0.0841507	0.144274	0.145486	0.131593	0.110142	0.0822328	0.0768968	0.0904374
a62	0.0113743	0.0105224	0.0161605	0.028973	0.052592	0.0650161	0.105873	0.117643	0.135217	0.129283	0.102301	0.100039	0.125006
a75	0.00947529	0.0112135	0.0156384	0.0293119	0.0511355	0.0619622	0.0964923	0.116568	0.148355	0.151315	0.116201	0.0935413	0.0987915
a92	0.00146479	0.00173525	0.00295924	0.00932864	0.0221051	0.033174	0.0601021	0.0839054	0.136026	0.190845	0.172027	0.145621	0.140707
a79	0.000620903	0.000886202	0.0019565	0.00811043	0.0199375	0.0287379	0.0476521	0.0647627	0.113462	0.188312	0.189848	0.166509	0.169204
a44	0.000310058	0.00048934	0.00155778	0.00906731	0.02512	0.0357091	0.0578988	0.0591904	0.0959839	0.167229	0.190541	0.181359	0.175545
a75	0.00102135	0.00103831	0.00249098	0.00869554	0.0256566	0.0376911	0.0642313	0.0609587	0.0905587	0.145549	0.168246	0.175077	0.218785
a85	0.000785733	0.00113005	0.0026719	0.00924592	0.0217619	0.0301955	0.0446292	0.0466618	0.0748227	0.14282	0.192779	0.200744	0.231752
a92	0.000306085	0.000432929	0.00129569	0.00514357	0.0114743	0.0163772	0.0238638	0.0268191	0.047669	0.108065	0.181974	0.239045	0.337534
a75	0.000281724	0.000345854	0.00103677	0.00393452	0.01063	0.0164152	0.0295068	0.0319737	0.054027	0.114888	0.18567	0.233353	0.317938
a5	0.000195948	0.00023258	0.000730401	0.00266724	0.0064257	0.00976116	0.0166838	0.0188562	0.0328449	0.0765748	0.153255	0.24929	0.432483
a37	0.00068433	0.000667701	0.001436	0.00376264	0.00800703	0.0128054	0.0246793	0.0301749	0.0509867	0.107069	0.184077	0.242472	0.333179
a36	0.00211999	0.00176437	0.00315262	0.00702247	0.0120061	0.0171284	0.0271106	0.0297878	0.0459552	0.0940445	0.161412	0.240623	0.357874
a27	0.0103437	0.00615387	0.00659175	0.00887453	0.013311	0.0205566	0.0295478	0.0295936	0.0447367	0.0851499	0.151994	0.25631	0.336837
a30	0.107872	0.0726805	0.0662616	0.062268	0.0724561	0.0860136	0.0928735	0.0686358	0.0609961	0.0597109	0.0641443	0.0739653	0.112123
