 	tu	ne	dois	pas	voler	autrui	</S>
a23	0.360283	0.152144	0.101057	0.114037	0.120751	0.0771914	0.0745371
a87	0.338665	0.175598	0.117523	0.114107	0.113249	0.0755486	0.0653087
a23	0.223052	0.198914	0.152919	0.123779	0.107175	0.102898	0.091263
a40	0.331538	0.195691	0.104608	0.0967958	0.0899109	0.0884641	0.0929929
a73	0.581014	0.179622	0.0660926	0.0533079	0.0414694	0.0368582	0.0416353
a44	0.498242	0.280497	0.104746	0.0616126	0.027164	0.0157288	0.0120086
a20	0.394802	0.291943	0.134571	0.0838446	0.042937	0.0284299	0.0234725
a90	0.349656	0.277995	0.153918	0.100364	0.0531716	0.0343159	0.0305799
a57	0.32312	0.281766	0.155506	0.104827	0.0591325	0.0404665	0.0351825
a38	0.2884	0.275586	0.158655	0.112827	0.0680397	0.0471156	0.0493772
a11	0.196361	0.247627	0.169181	0.135088	0.0918443	0.0747544	0.0851442
a94	0.19909	0.225156	0.158963	0.133606	0.10336	0.0855284	0.0942961
a38	0.145426	0.184673	0.159473	0.146644	0.125887	0.110843	0.127054
a75	0.107885	0.135504	0.136728	0.14396	0.148313	0.151315	0.176296
a73	0.062389	0.0802966	0.10732	0.133793	0.169995	0.215462	0.230744
a26	0.0632946	0.0912463	0.12823	0.156879	0.174031	0.188181	0.198139
a54	0.0360661	0.0545065	0.0896441	0.153679	0.208493	0.226419	0.231192
a73	0.0254048	0.0308558	0.0459281	0.0870321	0.168324	0.300883	0.341572
a69	0.0159844	0.0259202	0.0507616	0.108861	0.205897	0.29732	0.295255
a90	0.0206889	0.02667	0.0397793	0.0823188	0.182938	0.30862	0.338985
a70	0.0185452	0.0255717	0.0420616	0.0865369	0.187789	0.29164	0.347856
a24	0.0131867	0.0164533	0.0260033	0.0570714	0.176021	0.32724	0.384025
a43	0.0125246	0.0137049	0.0200545	0.0433538	0.136386	0.335139	0.438837
a56	0.0121869	0.0132195	0.0170667	0.0330989	0.0999421	0.304803	0.519683
a44	0.0194482	0.0179088	0.0205969	0.0357401	0.0981127	0.302765	0.505429
a15	0.0114633	0.0110124	0.0138987	0.0268349	0.0871173	0.304443	0.545231
a73	0.010062	0.00920029	0.0116974	0.0226065	0.0796178	0.295942	0.570874
a84	0.00562531	0.00735166	0.012386	0.0252319	0.08249	0.27922	0.587696
a40	0.00340907	0.00377249	0.00636708	0.0121784	0.044762	0.22843	0.701081
a54	0.0127421	0.00960744	0.011518	0.0214739	0.0738938	0.256088	0.614677
a73	0.00383518	0.00366847	0.00590294	0.012224	0.0587535	0.261815	0.653801
a84	0.00268749	0.00315171	0.00523263	0.0107948	0.0424517	0.22686	0.708822
a57	0.00283858	0.00229437	0.0033544	0.00705367	0.0383741	0.249756	0.696328
a87	0.00863787	0.00507884	0.0065224	0.0128081	0.0725292	0.294758	0.599665
</S>	0.0164495	0.00878607	0.0106963	0.0229283	0.103602	0.348636	0.488902
