 	nous	avons	beaucoup	dansé	lorsque	nous	étions	partis	à	la	fête	</S>
a87	0.133834	0.104718	0.0813774	0.109996	0.120397	0.137808	0.131609	0.092173	0.0397582	0.0213909	0.014707	0.012233
a23	0.19541	0.0607046	0.025203	0.0194444	0.0187015	0.0246382	0.0373029	0.0448089	0.050821	0.0847486	0.233408	0.204808
a10	0.126465	0.111403	0.117174	0.112487	0.0759366	0.0766682	0.107395	0.041223	0.0309084	0.0352136	0.0619333	0.103193
a9	0.15679	0.153251	0.125585	0.149108	0.0847585	0.072348	0.0818466	0.0372431	0.0260769	0.032335	0.0329793	0.0476783
a10	0.171307	0.19686	0.161849	0.150046	0.0769865	0.0562088	0.0431545	0.0215328	0.02238	0.0299791	0.0271408	0.0425565
a87	0.241727	0.254322	0.173748	0.134885	0.0503541	0.0344296	0.0267899	0.0130038	0.0146335	0.0174459	0.0148376	0.0238237
a10	0.203729	0.211625	0.151665	0.131121	0.0506842	0.0449173	0.0460454	0.0270645	0.031355	0.0338778	0.0246358	0.0432804
a87	0.318363	0.266686	0.150386	0.105256	0.0340206	0.0292869	0.0264619	0.00906778	0.0130135	0.0164009	0.0129015	0.0181557
a23	0.251878	0.237132	0.157879	0.129895	0.0409692	0.0347414	0.034237	0.0148643	0.0221067	0.0276591	0.0166402	0.0319979
a99	0.21976	0.230037	0.159465	0.106455	0.061241	0.0382119	0.0255456	0.0139554	0.0283516	0.047847	0.0286474	0.0404831
a11	0.125643	0.172575	0.178398	0.153106	0.119371	0.0747697	0.0364918	0.0182266	0.0246381	0.0364176	0.0233281	0.0370345
a31	0.174325	0.188297	0.144952	0.131797	0.0976723	0.100734	0.077449	0.0189659	0.0174155	0.0195211	0.0134206	0.01545
a0	0.17843	0.183253	0.13947	0.125655	0.0971095	0.108599	0.0890627	0.0224084	0.0164939	0.0170614	0.0102136	0.0122442
a24	0.0886692	0.117612	0.123304	0.136595	0.15183	0.143638	0.0929164	0.0453643	0.030261	0.0271374	0.0192912	0.0233816
a21	0.0540272	0.0811398	0.107942	0.133944	0.168607	0.154357	0.103636	0.0728018	0.0391692	0.0296334	0.0239755	0.0307665
a96	0.0551361	0.0962638	0.119427	0.142018	0.181792	0.159842	0.113273	0.0576473	0.0238825	0.017131	0.0136436	0.0199433
