 	elle	aime	les	chenilles	bouillies	</S>
a23	0.488977	0.227567	0.136036	0.0714066	0.037701	0.0383124
a54	0.544814	0.225824	0.0976484	0.0517682	0.0355734	0.0443723
a37	0.408685	0.228861	0.112942	0.0877882	0.102127	0.0595974
a85	0.521419	0.300378	0.107508	0.0344935	0.0233423	0.0128588
a36	0.438279	0.312615	0.140785	0.047712	0.0426274	0.0179805
a2	0.34222	0.340513	0.18369	0.0523151	0.0547983	0.0264632
a44	0.263693	0.336898	0.227825	0.0647616	0.0709967	0.0358256
a11	0.246548	0.291365	0.211504	0.0729411	0.0899347	0.0877079
a75	0.264546	0.306234	0.228174	0.0636186	0.0709674	0.0664602
a79	0.116387	0.15858	0.214476	0.1358	0.19254	0.182218
a7	0.140201	0.185032	0.237757	0.128753	0.161108	0.14715
a53	0.208343	0.245591	0.283227	0.10795	0.082035	0.0728535
a56	0.136373	0.180024	0.259375	0.148863	0.137702	0.137662
a37	0.0836733	0.11487	0.206165	0.156311	0.202029	0.236952
a90	0.0726606	0.0906423	0.17496	0.17578	0.223184	0.262773
a75	0.0426066	0.0581922	0.138685	0.163244	0.264586	0.332687
a37	0.021479	0.0283387	0.0705969	0.118387	0.287253	0.473945
a27	0.0313471	0.0372504	0.077361	0.161273	0.290357	0.402412
a75	0.016656	0.017189	0.0299255	0.087128	0.203846	0.645256
a25	0.0157482	0.0261857	0.0688147	0.151991	0.330848	0.406412
a44	0.00426158	0.00802883	0.0282666	0.101248	0.369488	0.488707
a20	0.00297173	0.00510719	0.0161	0.0516689	0.217256	0.706896
a75	0.00140662	0.00278813	0.00976411	0.0292121	0.148832	0.807997
a56	0.0037495	0.0069453	0.0192379	0.0548229	0.244301	0.670943
a43	0.0018416	0.00285052	0.0080733	0.0278617	0.142908	0.816465
a75	0.00041185	0.000613981	0.00205807	0.00915634	0.0527628	0.934997
a44	0.00093692	0.00186626	0.0065029	0.0211802	0.114792	0.854722
a26	0.000236684	0.000456788	0.0020149	0.0081267	0.0545188	0.934646
a75	0.00147913	0.00153002	0.00384618	0.0130227	0.0856464	0.894476
a25	0.0016064	0.00209235	0.00674673	0.0222144	0.126043	0.841297
a90	0.00061617	0.00118112	0.00547266	0.0245469	0.13165	0.836533
a58	0.000213636	0.00044874	0.00210756	0.0106296	0.0671466	0.919454
a44	0.000449789	0.000777743	0.00311288	0.0130543	0.0686372	0.913968
a11	0.00130877	0.00208683	0.00692252	0.0218914	0.0892989	0.878492
a44	0.00145556	0.00189744	0.00621503	0.0230031	0.127464	0.839965
a82	0.00165302	0.00263143	0.0101865	0.0264514	0.109809	0.849269
a87	0.00476312	0.00389451	0.0108016	0.0357129	0.199115	0.745713
a23	0.242474	0.102225	0.102989	0.112529	0.184816	0.254968
a87	0.0686791	0.0440489	0.0873374	0.13876	0.238679	0.422496
</S>	0.0223458	0.0156832	0.0483118	0.0964291	0.264596	0.552634
