 	son	père	et	sa	mère	sont	morts	pendant	la	guerre	</S>
a84	0.089069	0.092567	0.128439	0.167311	0.171416	0.168651	0.134927	0.0239298	0.00991798	0.00765629	0.00611606
a82	0.191353	0.092542	0.0811855	0.0992092	0.100009	0.0885571	0.0897279	0.0691315	0.0596079	0.0663417	0.0623349
a10	0.325591	0.133347	0.102773	0.101353	0.0853758	0.0738235	0.0546809	0.0237107	0.0241185	0.0313285	0.0438982
a87	0.307087	0.142944	0.121699	0.107467	0.0813358	0.0658682	0.0535503	0.0297267	0.0301388	0.0283787	0.0318039
a23	0.268236	0.131461	0.111356	0.10342	0.086137	0.0785173	0.0671934	0.0423649	0.0403469	0.0341099	0.0368574
a53	0.196123	0.120954	0.146003	0.138339	0.1166	0.0933123	0.0754346	0.0383354	0.0313797	0.0208559	0.022662
a20	0.21085	0.190463	0.154002	0.107571	0.0730597	0.0492616	0.0496758	0.0291942	0.0465308	0.0490871	0.0403048
a47	0.192393	0.141474	0.128617	0.101238	0.0783206	0.061349	0.0606935	0.0363452	0.0652011	0.070244	0.0641246
a36	0.143968	0.120954	0.138076	0.112608	0.0922424	0.0745863	0.0794248	0.0499901	0.0635139	0.0603063	0.0643307
a85	0.110832	0.093296	0.12652	0.115677	0.107404	0.0916278	0.102054	0.0671183	0.0762241	0.0564991	0.0527486
a47	0.114242	0.111417	0.138928	0.119664	0.107138	0.0953862	0.0951801	0.0544954	0.0400203	0.0516192	0.07191
a79	0.087301	0.0876904	0.125439	0.117856	0.116096	0.100051	0.0938704	0.0608037	0.052403	0.0665923	0.0918973
a7	0.100745	0.106914	0.140281	0.126486	0.122527	0.109383	0.103024	0.0604994	0.0350939	0.0396273	0.0554198
a90	0.077401	0.0969018	0.141892	0.14229	0.142617	0.116701	0.0932692	0.0501053	0.0331379	0.0424126	0.0632712
a15	0.0529234	0.0759621	0.113047	0.123116	0.135653	0.132408	0.110977	0.0705339	0.0431942	0.0570289	0.085157
a98	0.024547	0.0460587	0.079916	0.0894376	0.106352	0.126051	0.117541	0.107629	0.0687742	0.0913043	0.142389
a47	0.0313308	0.0554651	0.091034	0.0972109	0.115621	0.136642	0.113614	0.104056	0.0593299	0.0744454	0.121251
a36	0.0345841	0.0572937	0.0915512	0.101666	0.120332	0.140174	0.107208	0.102487	0.0489741	0.0660536	0.129676
a26	0.0262746	0.0361843	0.0598369	0.0823292	0.113955	0.146676	0.111907	0.106199	0.0525278	0.0842135	0.179897
a37	0.0264666	0.0264015	0.0398478	0.0606738	0.113778	0.177834	0.153784	0.152586	0.0537392	0.0703101	0.124578
a61	0.0159766	0.0180165	0.0241813	0.0336146	0.060176	0.115132	0.106562	0.137743	0.0889903	0.131909	0.267699
a18	0.0110253	0.0150544	0.0216121	0.028946	0.0502693	0.110347	0.118547	0.155317	0.105357	0.136472	0.247054
a96	0.0154464	0.0159004	0.0243444	0.0329765	0.058781	0.114539	0.127998	0.164595	0.104199	0.137738	0.203482
a98	0.00977356	0.0111628	0.0158213	0.0198016	0.0345748	0.079336	0.0890557	0.17465	0.140018	0.16842	0.257386
a85	0.00404162	0.00522615	0.00693998	0.00788913	0.0118252	0.0274089	0.0310378	0.0876576	0.125144	0.230844	0.461986
a6	0.00457653	0.00601213	0.00790651	0.00849975	0.0139783	0.0250328	0.0274592	0.0678709	0.110384	0.240366	0.487913
a85	0.0022876	0.00319109	0.00422726	0.00493619	0.00846909	0.0180357	0.0214973	0.0548261	0.107993	0.258656	0.515881
a79	0.00144824	0.00182124	0.00230767	0.00248606	0.00403897	0.00736829	0.00866383	0.0272288	0.0687971	0.240715	0.635125
a37	0.00105568	0.00145514	0.00197971	0.00242363	0.00457378	0.00978614	0.0114106	0.0313627	0.0795545	0.24317	0.613228
a21	0.001632	0.00175287	0.00180882	0.00200445	0.00337124	0.0078712	0.00805045	0.0270464	0.0687154	0.239719	0.638028
a85	0.00409713	0.00424719	0.00455625	0.00452584	0.00644723	0.0131271	0.0162922	0.0421811	0.101616	0.259327	0.543583
a47	0.00119934	0.00119629	0.00126273	0.00137569	0.00199545	0.00360062	0.00422428	0.0172582	0.0580646	0.24135	0.668473
a36	0.00088813	0.00092723	0.00102386	0.00128774	0.00217949	0.00499831	0.00708608	0.0293392	0.0776029	0.24059	0.634077
a2	0.00626528	0.00516075	0.0041227	0.00358075	0.00449317	0.00691272	0.0103344	0.0388386	0.0872323	0.256224	0.576835
a84	0.0436826	0.040852	0.0398146	0.0343957	0.0375858	0.0409385	0.038579	0.0772326	0.093474	0.198016	0.355429
a10	0.0803432	0.0581451	0.0459502	0.0377789	0.0391571	0.0470851	0.0504989	0.0816054	0.102689	0.168395	0.288352
a97	0.109641	0.0504793	0.0447041	0.0531913	0.0626578	0.0892815	0.0890215	0.121767	0.129652	0.11606	0.133545
a10	0.0951307	0.042863	0.0413644	0.0586369	0.0837446	0.120549	0.106233	0.123759	0.119557	0.100114	0.108048
a99	0.0656531	0.0330779	0.0337446	0.0480949	0.0709404	0.0978897	0.0865298	0.0931722	0.115006	0.141977	0.213914
a38	0.0463503	0.0229223	0.0207634	0.0277924	0.0399187	0.0564314	0.0507875	0.0731868	0.121581	0.198293	0.341974
a9	0.0297356	0.0129867	0.0125055	0.0185351	0.0277639	0.0389026	0.0368858	0.0594551	0.126479	0.229107	0.407644
a97	0.0332007	0.0207903	0.0272718	0.0425213	0.0566166	0.0695336	0.0573754	0.0714766	0.107775	0.177723	0.335715
</S>	0.0391856	0.0236722	0.0325782	0.051785	0.0699121	0.0834177	0.0680285	0.0755602	0.109757	0.159635	0.286468
