 	nous	étions	en	train	de	t'	attendre	</S>
a23	0.338653	0.168599	0.0615314	0.0696697	0.0959821	0.116174	0.0841359	0.0652551
a99	0.632727	0.148294	0.0641998	0.0498309	0.0443364	0.0250208	0.0150436	0.0205474
a24	0.388917	0.219482	0.159047	0.114629	0.042543	0.0216329	0.0230891	0.0306598
a0	0.27043	0.140008	0.139017	0.129406	0.125969	0.0832908	0.0661183	0.0457607
a12	0.0990291	0.0699646	0.141753	0.233576	0.227756	0.109827	0.0748881	0.0432065
a0	0.140956	0.0811605	0.222548	0.263774	0.155085	0.065353	0.0429473	0.0281754
a75	0.0468691	0.0283	0.0902708	0.204517	0.251741	0.178604	0.118135	0.0815615
a61	0.0483745	0.017428	0.0479995	0.131426	0.228333	0.195338	0.206974	0.124128
a21	0.0221551	0.0105787	0.0314197	0.110755	0.236644	0.260937	0.188502	0.139007
a66	0.0187263	0.00668826	0.0122522	0.0438665	0.142918	0.265091	0.291651	0.218806
a90	0.00339014	0.00129725	0.00397083	0.017399	0.0755857	0.233534	0.341042	0.323781
a56	0.00123378	0.000427549	0.00176672	0.0109057	0.058034	0.196759	0.380387	0.350486
a75	0.00138692	0.000523165	0.00136281	0.00559223	0.0265608	0.112837	0.364166	0.487571
a73	0.000319976	0.000102688	0.000698492	0.00483085	0.0260197	0.106267	0.335727	0.526034
a37	0.000101759	3.02767e-05	0.00027068	0.00312187	0.02378	0.0977107	0.280466	0.594519
a26	0.000112704	2.45874e-05	0.000176434	0.00142176	0.0127447	0.0797484	0.281576	0.624196
a82	0.00112143	0.000155846	0.00056799	0.00226249	0.0156775	0.0977862	0.241785	0.640643
a87	0.0506761	0.0184176	0.0260332	0.026891	0.0488039	0.0915963	0.198321	0.539261
a23	0.213678	0.0580171	0.0971335	0.0860042	0.108189	0.107066	0.128149	0.201763
a87	0.0143411	0.00972223	0.0172796	0.0235657	0.0829257	0.226861	0.273008	0.352297
</S>	0.00120284	0.000890301	0.00383344	0.00935363	0.0355752	0.140252	0.279671	0.529221
