 	les	cris	stridents	des	cigales	nous	ont	empêché	de	dormir	</S>
a66	0.21389	0.145083	0.185749	0.159419	0.111561	0.0789564	0.0514919	0.0232413	0.0107262	0.00904465	0.0108369
a87	0.312656	0.166425	0.129738	0.120341	0.111563	0.061334	0.0270063	0.02017	0.0128376	0.0142898	0.0236391
a23	0.29958	0.242377	0.203989	0.0878504	0.0506945	0.0266339	0.0230789	0.0194325	0.0131415	0.012804	0.0204183
a83	0.231296	0.266312	0.260293	0.103043	0.0528051	0.0204377	0.0118762	0.00899353	0.00969856	0.0127494	0.0224949
a93	0.26412	0.223362	0.208291	0.137064	0.0681214	0.0256264	0.0169682	0.010377	0.0111792	0.0146063	0.0202842
a70	0.26922	0.21837	0.186795	0.164164	0.0902832	0.0313642	0.015448	0.00958369	0.00503543	0.00448092	0.0052564
a93	0.198128	0.158655	0.133502	0.166702	0.140034	0.0749723	0.0518528	0.0357346	0.0162324	0.0115271	0.0126598
a90	0.13505	0.111843	0.104906	0.151075	0.163777	0.106378	0.0696288	0.0667099	0.034225	0.026094	0.0303144
a56	0.0960633	0.0723891	0.0681333	0.102607	0.155801	0.136756	0.110252	0.128906	0.056998	0.0359528	0.0361407
a12	0.0871007	0.0687814	0.0694352	0.0965704	0.142674	0.13007	0.105627	0.155652	0.0608278	0.0404956	0.0427657
a47	0.0704539	0.0846195	0.0949084	0.115587	0.132607	0.11931	0.0862794	0.134304	0.0620213	0.048497	0.0514123
a31	0.0649986	0.106805	0.116162	0.135317	0.13935	0.114744	0.0781002	0.0881304	0.053246	0.0495752	0.0535711
a24	0.0396838	0.0742943	0.0860067	0.11341	0.122262	0.128848	0.0998714	0.12677	0.0670936	0.0660055	0.0757551
a21	0.0186582	0.0426356	0.0508942	0.0787836	0.100375	0.137685	0.134487	0.161004	0.0990377	0.0834508	0.092989
a12	0.0147932	0.0312176	0.041248	0.0545009	0.0564577	0.0906075	0.106899	0.13849	0.136682	0.156991	0.172112
a88	0.0119518	0.0266758	0.0331206	0.0488137	0.0564762	0.104514	0.130581	0.144352	0.136547	0.137788	0.16918
a75	0.00892679	0.0199424	0.0219415	0.0328113	0.0419825	0.0869156	0.123034	0.142496	0.179439	0.15546	0.18705
a85	0.00474116	0.00944207	0.0098588	0.0127541	0.0167217	0.0403037	0.081137	0.103198	0.182418	0.240282	0.299143
a6	0.00292177	0.00461867	0.00372643	0.00544675	0.00994914	0.0263131	0.0524927	0.0814722	0.170701	0.27007	0.372288
a5	0.00386602	0.00832963	0.00791308	0.0116528	0.0155613	0.0236942	0.0461123	0.0616196	0.178782	0.265027	0.377443
a43	0.00942827	0.0149203	0.0105525	0.0116147	0.0144484	0.0270616	0.0553714	0.078894	0.20195	0.237471	0.338288
a88	0.00428802	0.00682317	0.00540145	0.00613099	0.0100262	0.0168121	0.0290779	0.0483993	0.138851	0.281435	0.452755
a0	0.00110093	0.00156171	0.00130016	0.0014128	0.00249165	0.0043837	0.0085794	0.0216387	0.0856303	0.252634	0.619267
a11	0.00201164	0.0029568	0.00363848	0.00405194	0.00601367	0.00652037	0.0129889	0.0337163	0.10715	0.29677	0.524181
a31	0.00340395	0.00435222	0.00439187	0.00478906	0.00719643	0.00907233	0.0177913	0.0397853	0.100189	0.277553	0.531475
a43	0.000721286	0.00130688	0.00118705	0.00149848	0.00275995	0.00398036	0.00700577	0.0171243	0.0673903	0.246817	0.650209
a11	0.00112516	0.00156927	0.00167864	0.00194906	0.0031692	0.00443434	0.00963969	0.0285748	0.0881135	0.271558	0.588188
a70	0.00772895	0.0080475	0.00629195	0.00656622	0.0108559	0.0176146	0.0328977	0.0674253	0.123636	0.260907	0.458028
a83	0.00114125	0.00163934	0.0013741	0.00191339	0.00429251	0.00725381	0.015772	0.0268125	0.0747513	0.247493	0.617556
a71	0.000626186	0.00108551	0.001065	0.00149126	0.00298098	0.00489678	0.0127771	0.026352	0.0819745	0.282433	0.584318
a9	0.00242929	0.00286994	0.00221977	0.00276117	0.00553987	0.00992288	0.0213432	0.0396932	0.0890823	0.258197	0.565941
a99	0.0165263	0.0128276	0.00905596	0.0118507	0.0260182	0.0361486	0.0518161	0.0743459	0.121765	0.241059	0.398587
a87	0.0474065	0.0292708	0.0225179	0.0281904	0.0408897	0.0443108	0.054894	0.0797744	0.133149	0.229663	0.289933
a23	0.170521	0.118286	0.109976	0.0998507	0.0873159	0.0580784	0.0562443	0.0579176	0.0649644	0.0779016	0.0989441
a99	0.0525204	0.0296614	0.0197508	0.0257204	0.0346192	0.026904	0.0414953	0.0594273	0.112918	0.243723	0.35326
a97	0.030755	0.0181936	0.014243	0.0131322	0.0153366	0.0149643	0.0310845	0.0493984	0.131601	0.290476	0.390815
a87	0.00989168	0.00754431	0.00666123	0.00670908	0.00918705	0.0115359	0.0227282	0.0532874	0.121099	0.270214	0.481143
</S>	0.0135707	0.0101016	0.00880908	0.00982733	0.0121465	0.0104781	0.0168856	0.0418149	0.104788	0.257207	0.514371
