 	elle	broie	le	maïs	dans	le	mortier	</S>
a23	0.198248	0.187391	0.143038	0.0721607	0.0586516	0.0709885	0.113191	0.156331
a87	0.395872	0.138585	0.0813284	0.0725568	0.0611009	0.0630805	0.0781887	0.109288
a23	0.480501	0.173354	0.0861702	0.0599819	0.0413064	0.0367651	0.0509301	0.0709907
a13	0.185283	0.105574	0.0987786	0.0902861	0.0708282	0.0896623	0.143631	0.215957
a20	0.1632	0.158052	0.22376	0.176199	0.0946779	0.0563955	0.0587913	0.0689254
a73	0.353441	0.263195	0.179032	0.109575	0.042644	0.0193949	0.0165891	0.0161287
a94	0.342731	0.276531	0.190189	0.111145	0.0439097	0.0157956	0.0107044	0.00899373
a30	0.318738	0.23623	0.195861	0.12227	0.0642889	0.0263935	0.019496	0.0167227
a14	0.194062	0.163274	0.22004	0.185237	0.118556	0.0533519	0.0351164	0.0303628
a30	0.141909	0.103784	0.178588	0.190075	0.168829	0.0938313	0.0681685	0.0548165
a94	0.11508	0.0854405	0.158197	0.177067	0.174714	0.114047	0.0929358	0.0825184
a25	0.130948	0.0930996	0.131183	0.139677	0.171646	0.130938	0.105241	0.0972671
a38	0.0839096	0.063862	0.138779	0.1774	0.208369	0.133872	0.100501	0.0933076
a14	0.0514216	0.0336096	0.067298	0.0947766	0.166258	0.186374	0.198721	0.201542
a0	0.0325764	0.0220238	0.0454894	0.0704746	0.153708	0.207258	0.236042	0.232428
a11	0.0158884	0.0125304	0.0206003	0.0337014	0.07206	0.158324	0.27337	0.413526
a54	0.0114199	0.00961249	0.0190812	0.0400815	0.0865989	0.167752	0.264672	0.400781
a14	0.00398267	0.0037074	0.0101966	0.0259461	0.0705335	0.164606	0.297044	0.423984
a35	0.00164026	0.00145005	0.00549847	0.0214372	0.0750521	0.16128	0.309344	0.424298
a24	0.00189481	0.00159398	0.00566653	0.0212421	0.0680739	0.13676	0.28786	0.476909
a9	0.00184334	0.0015665	0.00551719	0.0212757	0.0667562	0.129633	0.272982	0.500426
a87	0.00157601	0.00175784	0.00512606	0.0163928	0.0484768	0.106729	0.254322	0.56562
</S>	0.00256332	0.00281501	0.00613761	0.0172651	0.0389075	0.088601	0.248912	0.594799
