 	la	voiture	s'	est	embourbée	dans	la	mare	</S>
a10	0.213584	0.131042	0.170276	0.142798	0.169284	0.0916601	0.0432113	0.0217532	0.0163916
a53	0.161915	0.0979672	0.111674	0.124947	0.166009	0.119489	0.0770263	0.065607	0.0753655
a90	0.250557	0.18015	0.130544	0.0970042	0.0763225	0.0447965	0.0394163	0.061305	0.119904
a57	0.349563	0.278276	0.159817	0.101654	0.0562879	0.0197094	0.0126497	0.00980952	0.0122331
a38	0.247899	0.271783	0.179356	0.152936	0.0828445	0.0309554	0.0128301	0.00957082	0.0118256
a90	0.226695	0.291645	0.185402	0.158276	0.0781949	0.0214653	0.01092	0.0109522	0.0164481
a93	0.187643	0.233314	0.181351	0.168622	0.110202	0.0425767	0.024385	0.0237172	0.0281895
a70	0.155011	0.208994	0.186175	0.178065	0.127448	0.0553154	0.0307558	0.0271858	0.0310502
a34	0.121714	0.155523	0.165994	0.189368	0.168701	0.0922275	0.0434939	0.0305303	0.0324469
a75	0.130215	0.158428	0.154603	0.182883	0.155687	0.101355	0.0523187	0.0313109	0.0332002
a56	0.0856903	0.104458	0.112542	0.146172	0.142195	0.12096	0.105524	0.0888872	0.0935718
a34	0.0477636	0.0585823	0.0676145	0.117602	0.141212	0.195151	0.164559	0.10312	0.104397
a93	0.0409223	0.0496138	0.0528171	0.0932308	0.111907	0.182301	0.204574	0.134682	0.129952
a98	0.0226003	0.0281639	0.0267591	0.0514332	0.0700014	0.148904	0.22831	0.202246	0.221582
a92	0.0243475	0.026022	0.0200902	0.035122	0.0433159	0.0983644	0.185886	0.249206	0.317646
a85	0.0273945	0.0290446	0.0207538	0.0319012	0.0356931	0.0758255	0.163005	0.275494	0.340888
a5	0.0201606	0.0197593	0.013882	0.0169224	0.0169631	0.038379	0.113655	0.331002	0.429276
a43	0.0304128	0.0244879	0.0174648	0.0196021	0.0200394	0.0332432	0.095747	0.314	0.445003
a24	0.00571411	0.0045729	0.00325916	0.00503134	0.00737139	0.0244519	0.0976158	0.332595	0.519388
a0	0.00131762	0.000978351	0.000849343	0.00176774	0.00366436	0.0166055	0.0813693	0.278474	0.614974
a47	0.00517518	0.00430273	0.00354947	0.00600556	0.00887535	0.0250496	0.0938525	0.254825	0.598365
a83	0.0021731	0.00172405	0.00178275	0.00351628	0.00655936	0.0205933	0.0740126	0.236028	0.653611
a9	0.00225453	0.00193797	0.00171366	0.00345499	0.00617768	0.0243786	0.0955526	0.254165	0.610365
a10	0.0177332	0.0120254	0.00889202	0.0114225	0.0151192	0.0303981	0.0949977	0.239756	0.569656
a87	0.030626	0.0210583	0.0170683	0.0208013	0.0273852	0.0552123	0.137868	0.267368	0.422613
a23	0.0671214	0.0490575	0.0392197	0.0446507	0.0632366	0.107173	0.170616	0.210301	0.248623
a87	0.00959302	0.00667591	0.00479056	0.00713907	0.0133074	0.0480543	0.121088	0.30224	0.487112
</S>	0.00528507	0.00396664	0.0043716	0.00751059	0.0172881	0.0411167	0.0962272	0.264833	0.559401
