 	il	a	fait	cela	pour	m'	être	agréable	</S>
a23	0.153938	0.0816951	0.0383677	0.0262198	0.0474449	0.0612063	0.129511	0.222906	0.238712
a10	0.225185	0.132876	0.0940097	0.0823688	0.0849491	0.0784127	0.0900926	0.117043	0.0950624
a87	0.15457	0.122516	0.0954871	0.0910136	0.087006	0.0794327	0.0995756	0.140807	0.129592
a23	0.164601	0.126767	0.112351	0.105277	0.107477	0.102023	0.10849	0.0960114	0.077002
a79	0.126477	0.0956413	0.0791701	0.0747964	0.10765	0.0996763	0.12583	0.152439	0.138319
a20	0.408042	0.225217	0.0996292	0.0592514	0.0410001	0.0342101	0.0304017	0.0465408	0.0557082
a30	0.407598	0.286421	0.162198	0.0775867	0.0233736	0.013707	0.0111134	0.0106631	0.00733965
a2	0.340146	0.289158	0.192149	0.100861	0.0322758	0.0158834	0.0129896	0.0104466	0.00609125
a10	0.296156	0.253171	0.194417	0.12185	0.0480274	0.0280067	0.0237444	0.0206296	0.0139978
a24	0.18298	0.188023	0.177765	0.153071	0.0970757	0.0675062	0.0570885	0.0457239	0.0307672
a41	0.217732	0.219472	0.180653	0.132659	0.0730363	0.0556977	0.0497558	0.0431838	0.0278102
a66	0.113754	0.157457	0.179175	0.159509	0.107345	0.0790178	0.0701541	0.076873	0.0567146
a9	0.0952011	0.115592	0.132072	0.131193	0.10492	0.0866262	0.0972983	0.133814	0.103284
a38	0.0606412	0.0732102	0.0969817	0.123391	0.135901	0.128754	0.129422	0.122955	0.128744
a35	0.0657401	0.0800448	0.104439	0.118349	0.124882	0.11873	0.132941	0.143918	0.110956
a94	0.0876696	0.106807	0.108413	0.104024	0.109209	0.117672	0.115851	0.143597	0.106757
a13	0.0434405	0.0507302	0.0532449	0.0594726	0.0939885	0.132953	0.144997	0.223202	0.197971
a9	0.0283453	0.0312287	0.0322616	0.0373128	0.068555	0.115002	0.156285	0.260601	0.270409
a87	0.0205196	0.0221059	0.02864	0.042234	0.0849837	0.127926	0.151374	0.228018	0.294199
a23	0.0229774	0.026982	0.0410214	0.0601433	0.0955278	0.125755	0.130326	0.20786	0.289408
a83	0.0187058	0.0225153	0.038628	0.0605027	0.105388	0.135274	0.125121	0.226513	0.267352
a24	0.0614756	0.0643225	0.0655854	0.0598722	0.0562475	0.0635055	0.0807663	0.209384	0.338841
a25	0.0149635	0.0172651	0.0202307	0.0242644	0.0421729	0.0683091	0.0947106	0.256621	0.461462
a38	0.00521296	0.00593844	0.00687149	0.00890216	0.0255766	0.0602952	0.101094	0.270395	0.515715
a75	0.00278142	0.00326804	0.00381033	0.00534121	0.0182338	0.0506603	0.0928616	0.266934	0.556109
a41	0.00357177	0.00419365	0.00460074	0.00689983	0.021375	0.0520351	0.0810999	0.240369	0.585855
a14	0.00110552	0.00127873	0.0015803	0.00274316	0.0126202	0.043036	0.0820073	0.26172	0.593908
a35	0.00156991	0.00156581	0.0016641	0.00257592	0.0103875	0.0355767	0.0774072	0.255029	0.614223
a76	0.00119281	0.0011204	0.00123632	0.0020699	0.0092575	0.0311207	0.0686977	0.237693	0.647611
a90	0.00207357	0.00210075	0.00263843	0.00467366	0.0183253	0.0441767	0.0726624	0.249943	0.603407
a82	0.00383593	0.003962	0.00480251	0.00720797	0.0196773	0.0429977	0.0706387	0.240923	0.605954
a38	0.00109984	0.00098627	0.00143456	0.00298383	0.0197521	0.0667976	0.107177	0.24095	0.558819
a21	0.00225676	0.00165768	0.00201091	0.0036448	0.0234392	0.0805376	0.112112	0.241191	0.53315
a12	0.00285948	0.00236778	0.0029832	0.004689	0.0175104	0.0454654	0.0734799	0.217606	0.633039
a32	0.00268775	0.0021972	0.00259228	0.00423396	0.0208438	0.059311	0.0823081	0.234455	0.591371
a25	0.00393938	0.00336015	0.00426716	0.00745947	0.0362669	0.0942795	0.131131	0.266935	0.452361
a87	0.00546018	0.00439143	0.00575447	0.00995784	0.0468332	0.104732	0.143876	0.270374	0.408621
</S>	0.01938	0.0156564	0.0166341	0.0183373	0.0465386	0.0947853	0.144046	0.262024	0.382598
