 	ce	poignard-ci	appartient	au	forgeron	</S>
a66	0.590643	0.177791	0.0980985	0.0698543	0.0397291	0.0238841
a87	0.26736	0.177673	0.198693	0.157261	0.10058	0.0984334
a23	0.395143	0.402144	0.117126	0.0465412	0.0221357	0.0169101
a62	0.580588	0.292578	0.0739729	0.0278205	0.0135355	0.0115056
a47	0.54686	0.316519	0.0673609	0.0289078	0.0196559	0.0206969
a31	0.315532	0.358503	0.150566	0.075271	0.0477573	0.052371
a75	0.315003	0.417637	0.137534	0.0622669	0.0336923	0.0338666
a56	0.190487	0.48592	0.175497	0.0837878	0.0374838	0.0268248
a90	0.130509	0.391568	0.212383	0.125743	0.0758941	0.0639033
a56	0.132602	0.28893	0.220282	0.13917	0.113625	0.105391
a21	0.099921	0.204344	0.204825	0.170463	0.167107	0.15334
a47	0.0807592	0.113054	0.167836	0.212925	0.222611	0.202816
a24	0.0258708	0.0372551	0.097989	0.161469	0.302286	0.37513
a75	0.00719041	0.0097914	0.0365586	0.10795	0.314142	0.524367
a56	0.00931107	0.0111677	0.0361247	0.13107	0.31671	0.495616
a90	0.00181644	0.00236628	0.00891529	0.0475681	0.250622	0.688712
a4	0.00106285	0.00134987	0.00567046	0.0364052	0.217772	0.737739
a20	0.000410099	0.000594823	0.00251102	0.0208758	0.184317	0.791292
a7	0.000120319	0.000387501	0.00260696	0.0176445	0.14772	0.831521
a84	0.00074588	0.00263763	0.0127061	0.0632643	0.232751	0.687895
a82	0.0654372	0.118409	0.0885143	0.121608	0.201655	0.404377
a87	0.110559	0.191641	0.16034	0.150586	0.16489	0.221983
a97	0.0645301	0.184538	0.139578	0.16319	0.210809	0.237355
a87	0.0631848	0.14733	0.115863	0.187102	0.218935	0.267585
a97	0.05519	0.107284	0.0984332	0.167256	0.237482	0.334356
a99	0.0609062	0.120756	0.106527	0.158001	0.225127	0.328682
a97	0.012548	0.0394	0.064124	0.139535	0.263078	0.481314
a3	0.0289678	0.0647137	0.0950636	0.148419	0.239773	0.423064
</S>	0.0231669	0.0526583	0.0884463	0.146558	0.251254	0.437917
