 	la	viande	que	j'	ai	achetée	est	déjà	pourrie	</S>
a87	0.135289	0.116821	0.1057	0.12902	0.194556	0.201514	0.0738496	0.0221893	0.0113687	0.00969202
a23	0.382836	0.175708	0.0726516	0.0336299	0.0394089	0.042317	0.0537925	0.0516502	0.0605401	0.087466
a87	0.17578	0.0983337	0.0646437	0.0803951	0.130288	0.135907	0.0663328	0.0610512	0.0667236	0.120544
a23	0.143579	0.0965924	0.0801023	0.117512	0.190677	0.186747	0.0574788	0.0378373	0.0363546	0.0531188
a83	0.131806	0.118353	0.10349	0.118286	0.141941	0.0955971	0.0587591	0.0635082	0.0622303	0.10603
a75	0.265156	0.239078	0.158502	0.0999589	0.0931837	0.0515377	0.0307553	0.026708	0.0179079	0.0172127
a6	0.219108	0.208899	0.160547	0.117349	0.116514	0.0714668	0.0456008	0.0276164	0.0164067	0.0164928
a37	0.0949827	0.118512	0.158847	0.174586	0.180697	0.116761	0.0800506	0.0364777	0.0196018	0.0194847
a75	0.097569	0.112323	0.139263	0.165853	0.207715	0.157334	0.0638158	0.026421	0.0146093	0.0150977
a21	0.0924734	0.103503	0.143691	0.175792	0.198974	0.132174	0.0694432	0.0359866	0.0248442	0.0231187
a47	0.0848684	0.0854973	0.117589	0.171192	0.234103	0.167282	0.0625713	0.0335914	0.0236369	0.0196682
a0	0.0560047	0.0575632	0.0804203	0.13109	0.181818	0.229666	0.107839	0.0731704	0.0485857	0.0338431
a75	0.0493385	0.0496183	0.0615121	0.0945651	0.140079	0.251033	0.116677	0.0906359	0.0825736	0.0639675
a96	0.0841679	0.0849541	0.0814289	0.0759592	0.0923665	0.131012	0.0715188	0.111523	0.156478	0.110591
a75	0.0495928	0.0486236	0.0520248	0.0530192	0.0515962	0.131008	0.122709	0.177602	0.193883	0.119941
a61	0.0432065	0.0440731	0.0407633	0.0323764	0.0292282	0.065704	0.0688271	0.146624	0.290771	0.238426
a75	0.0204935	0.0196152	0.0217734	0.022513	0.020593	0.0564887	0.116936	0.23678	0.299908	0.184899
a85	0.0290363	0.0285089	0.025108	0.0187316	0.0145394	0.0337894	0.0829343	0.185544	0.318617	0.263191
a37	0.0208017	0.0207151	0.0202355	0.0157721	0.0105002	0.0215721	0.0647088	0.208956	0.347258	0.26948
a70	0.00832747	0.00791837	0.00797143	0.00732899	0.00593299	0.0163515	0.0561727	0.254415	0.388639	0.246942
a0	0.00576499	0.0056244	0.00604787	0.00611039	0.00532911	0.0137929	0.0514752	0.228529	0.408595	0.268731
a75	0.00282039	0.0026252	0.00317462	0.0041423	0.0042515	0.0115266	0.0427939	0.1974	0.381461	0.349805
a25	0.00439481	0.00379774	0.0040312	0.0037057	0.00338975	0.010229	0.0378843	0.204584	0.384695	0.343288
a44	0.00200603	0.0017087	0.00172017	0.00168557	0.0016381	0.00469737	0.0219224	0.187489	0.4451	0.332033
a53	0.00240105	0.00175662	0.00178253	0.00183613	0.00182551	0.00543272	0.0229483	0.153985	0.393255	0.414777
a4	0.000853091	0.000673894	0.000708334	0.000916454	0.00124449	0.00442666	0.0189246	0.141385	0.368312	0.462556
a58	0.000521047	0.000392314	0.000388219	0.000429065	0.000671113	0.00258851	0.0123416	0.0922389	0.321495	0.568935
a87	0.000289996	0.000182998	0.000128762	9.50828e-05	0.000151823	0.00117662	0.00784712	0.067462	0.297631	0.625035
a23	0.0144713	0.00801215	0.00380922	0.00178453	0.00257248	0.00930204	0.0245576	0.115703	0.301583	0.518205
a87	0.010085	0.00750862	0.00465745	0.00226538	0.00268909	0.00636354	0.028094	0.116508	0.358417	0.463412
a97	0.0161219	0.0147177	0.0116751	0.00744551	0.00959753	0.0198971	0.0610997	0.145818	0.293349	0.420278
a87	0.074687	0.0654028	0.0353779	0.0176543	0.019046	0.0368469	0.0626627	0.104697	0.214457	0.369169
a23	0.0674686	0.0631466	0.0404197	0.0220465	0.0205003	0.0272476	0.044813	0.0849226	0.203609	0.425826
a87	0.0138521	0.0110045	0.0059387	0.00438725	0.00657676	0.0152924	0.0448786	0.11847	0.28635	0.49325
a9	0.00665301	0.00619516	0.00413859	0.00291788	0.00421858	0.0109067	0.0353988	0.0971705	0.303436	0.528965
a87	0.0294981	0.0278998	0.0172965	0.0110427	0.0143935	0.0285746	0.0580197	0.109315	0.260527	0.443434
</S>	0.0242582	0.022323	0.014156	0.00930004	0.0123269	0.0256592	0.053857	0.113793	0.270966	0.45336
