 	elle	remplit	son	verre	jusqu'	au	bord	</S>
a23	0.193424	0.111848	0.0633576	0.0609447	0.0790904	0.101255	0.151693	0.238386
a87	0.268607	0.259172	0.141739	0.0478523	0.0421386	0.0457602	0.0687161	0.126015
a23	0.247293	0.267538	0.17205	0.0617907	0.0472367	0.0452609	0.0638355	0.0949956
a20	0.228338	0.189496	0.103285	0.0402956	0.0450417	0.0639963	0.119241	0.210306
a54	0.221374	0.123852	0.0810812	0.0782229	0.103967	0.116518	0.127738	0.147248
a6	0.230498	0.191983	0.180095	0.107959	0.104555	0.0739397	0.0594688	0.0515013
a85	0.126709	0.158488	0.18273	0.111625	0.134303	0.109664	0.0939822	0.0824993
a47	0.153214	0.182537	0.172208	0.130492	0.129822	0.0977438	0.0745279	0.0594554
a6	0.117982	0.147182	0.167048	0.113252	0.113308	0.0990132	0.115471	0.126744
a37	0.123067	0.130652	0.143137	0.119085	0.14273	0.11144	0.11344	0.116449
a61	0.156685	0.212577	0.213443	0.123415	0.106562	0.0639296	0.060828	0.0625605
a21	0.143598	0.230746	0.261497	0.141339	0.0931845	0.0487846	0.0406094	0.0402403
a85	0.106912	0.127205	0.155365	0.139271	0.157386	0.11685	0.10183	0.0951797
a0	0.0460015	0.0637504	0.0917804	0.125558	0.178913	0.18178	0.165741	0.146475
a75	0.118817	0.149883	0.195869	0.165671	0.123444	0.0812018	0.0787369	0.0863765
a92	0.0310883	0.0431977	0.0766142	0.107445	0.169847	0.196639	0.192944	0.182225
a37	0.0181064	0.0305836	0.0637466	0.100511	0.167535	0.210388	0.21366	0.195469
a90	0.0275676	0.0456863	0.0921865	0.154828	0.190272	0.163095	0.153374	0.17299
a98	0.0177807	0.0390764	0.0879982	0.156288	0.206977	0.187288	0.155175	0.149417
a85	0.0148548	0.0269531	0.0676603	0.136064	0.192604	0.190275	0.190595	0.180993
a79	0.0126137	0.0188225	0.0451694	0.130452	0.21115	0.221119	0.190135	0.170538
a25	0.00935794	0.0183656	0.0493359	0.12576	0.215866	0.238363	0.190645	0.152306
a15	0.00532813	0.012189	0.0342064	0.0974828	0.179973	0.246933	0.228169	0.195718
a25	0.00365479	0.00881969	0.0245167	0.0667184	0.133914	0.222705	0.260064	0.279608
a7	0.00378579	0.00922451	0.0228437	0.0602036	0.116238	0.212494	0.273954	0.301256
a11	0.00350831	0.00943983	0.0190644	0.0390774	0.0789221	0.149425	0.25382	0.446743
a75	0.0013886	0.00358322	0.00807669	0.0150368	0.0399279	0.106034	0.252263	0.573689
a25	0.00105768	0.00330001	0.00914455	0.0224145	0.0524955	0.143257	0.295417	0.472914
a44	0.000608017	0.00224353	0.00624653	0.0157351	0.0489474	0.143964	0.301417	0.480838
a98	0.00190725	0.00637245	0.0156854	0.0272905	0.0656067	0.136224	0.267447	0.479467
a36	0.000791852	0.00329196	0.00978817	0.0253605	0.0576207	0.154565	0.30289	0.445692
a2	0.00193011	0.00525549	0.0123737	0.0282198	0.0571851	0.118945	0.245884	0.530206
a57	0.00752586	0.00916433	0.017971	0.037054	0.0683807	0.137498	0.253751	0.468655
a87	0.033301	0.0256003	0.0425928	0.0974358	0.126432	0.157043	0.196323	0.321273
a23	0.0602157	0.0409392	0.0597807	0.129402	0.144838	0.164292	0.171912	0.228621
a87	0.00795824	0.00875821	0.022184	0.0706501	0.144025	0.215101	0.25923	0.272094
</S>	0.00130413	0.00279798	0.0108055	0.0484849	0.125767	0.202943	0.278395	0.329503
