 	cet	habit	noir	est	à	l'	envers	</S>
a66	0.383828	0.249233	0.144153	0.103068	0.0553221	0.0296244	0.0193353	0.0154362
a87	0.30827	0.150451	0.145362	0.12439	0.0858194	0.0663624	0.0587636	0.060582
a23	0.304939	0.18482	0.121457	0.0942674	0.0889794	0.0776373	0.0653661	0.0625338
a79	0.198313	0.166953	0.153763	0.120219	0.11011	0.101718	0.0805338	0.0683914
a69	0.380447	0.225103	0.101891	0.0623676	0.0540663	0.0556687	0.0644008	0.0560555
a58	0.435952	0.270903	0.112796	0.0646923	0.0480015	0.030092	0.0218671	0.0156962
a54	0.277564	0.231317	0.152994	0.104358	0.0857693	0.0655602	0.0462527	0.0361841
a47	0.20497	0.207037	0.153825	0.122742	0.112156	0.0793256	0.0632761	0.0566689
a6	0.165912	0.205792	0.170176	0.12149	0.0985837	0.0751501	0.0761336	0.0867624
a36	0.213553	0.211512	0.165199	0.111106	0.0765641	0.0667896	0.0729311	0.0823447
a85	0.19345	0.208057	0.17736	0.115477	0.0710174	0.0625009	0.0763957	0.0957415
a47	0.143434	0.173816	0.176257	0.133216	0.0872765	0.0807989	0.0941437	0.111057
a36	0.0973587	0.153235	0.177627	0.137106	0.0927958	0.0853872	0.102814	0.153676
a37	0.0524047	0.0947773	0.146467	0.145113	0.122702	0.120125	0.131449	0.186962
a96	0.0352516	0.0605784	0.114155	0.14347	0.151122	0.156099	0.152367	0.186957
a90	0.0173751	0.0331659	0.0717817	0.111692	0.152375	0.191372	0.197925	0.224314
a94	0.00648299	0.0141405	0.0293853	0.0547218	0.101244	0.186223	0.273397	0.334406
a93	0.00318979	0.00534194	0.0107379	0.0205055	0.0465521	0.117152	0.282432	0.514088
a56	0.00401732	0.00744883	0.0153745	0.0291633	0.0605077	0.1354	0.296145	0.451943
a96	0.00119994	0.00231493	0.00499982	0.0104184	0.024944	0.0778986	0.280332	0.597892
a75	0.000424281	0.000796713	0.00184048	0.00485877	0.0148499	0.0567128	0.261565	0.658952
a6	0.000340494	0.000885823	0.00230063	0.00548598	0.0146676	0.0531776	0.242484	0.680658
a0	0.000452308	0.000946635	0.0022371	0.00570313	0.0154397	0.0548143	0.237393	0.683014
a94	0.000960337	0.00149228	0.00412061	0.0108531	0.0264478	0.0814781	0.251896	0.622752
a26	0.00298851	0.00353097	0.00748753	0.0179714	0.046829	0.118461	0.265924	0.536808
a57	0.0434512	0.0316219	0.049321	0.0709294	0.121304	0.179394	0.228846	0.275132
a87	0.138073	0.0770835	0.101951	0.114269	0.14123	0.149319	0.140438	0.137636
a23	0.0887256	0.0547263	0.0682371	0.0840815	0.113093	0.151556	0.20885	0.23073
a99	0.0111908	0.00695117	0.0115371	0.0194177	0.0411567	0.105655	0.303887	0.500205
a97	0.00795228	0.00711994	0.0144281	0.0270423	0.0545418	0.122026	0.284891	0.481999
</S>	0.0069321	0.00986038	0.0199939	0.0334446	0.0591153	0.119324	0.262453	0.488877
