 	la	femme	balaye	autour	de	la	case	</S>
a23	0.285386	0.1239	0.0838734	0.100256	0.123386	0.112359	0.0948663	0.075973
a10	0.365634	0.133851	0.114168	0.11743	0.0942441	0.0612095	0.060186	0.0532776
a87	0.289578	0.203795	0.144825	0.103232	0.0706536	0.0508093	0.0628773	0.0742294
a79	0.16543	0.118244	0.119874	0.152323	0.131844	0.103861	0.104946	0.103478
a53	0.495422	0.252838	0.100017	0.0492994	0.0264216	0.0183563	0.0241289	0.0335175
a4	0.427806	0.27656	0.1324	0.0572309	0.0340667	0.023353	0.0227743	0.0258094
a24	0.32714	0.286043	0.175178	0.077951	0.046608	0.0291578	0.0276531	0.0302697
a90	0.312312	0.299795	0.176746	0.0794879	0.0491895	0.0298631	0.0264408	0.0261658
a93	0.220727	0.243277	0.209651	0.126015	0.0806435	0.0472752	0.0367017	0.0357096
a98	0.192264	0.224307	0.207414	0.125006	0.0874246	0.0590412	0.0494776	0.0550661
a73	0.152842	0.184406	0.206709	0.153879	0.111261	0.0754276	0.0565375	0.0589368
a44	0.137587	0.17083	0.188668	0.149245	0.114959	0.0844257	0.0715907	0.0826938
a26	0.099014	0.118791	0.16125	0.167634	0.146073	0.111513	0.0920674	0.103657
a38	0.0870968	0.109724	0.151881	0.157398	0.147922	0.117134	0.104621	0.124223
a75	0.0717307	0.0873512	0.118453	0.146841	0.159388	0.136442	0.125803	0.153991
a41	0.0746299	0.0917243	0.102916	0.119369	0.137887	0.146899	0.150023	0.176552
a94	0.0652862	0.0767008	0.0961248	0.1243	0.158368	0.158672	0.150721	0.169827
a56	0.0601901	0.0694377	0.0836568	0.102246	0.140238	0.164862	0.172327	0.207042
a32	0.0586724	0.0644407	0.0791845	0.0997426	0.136826	0.16571	0.178892	0.216532
a75	0.0343441	0.0356099	0.0467684	0.0641234	0.0969073	0.156144	0.236769	0.329334
a41	0.0597491	0.0663099	0.0707351	0.0787456	0.106866	0.15164	0.195035	0.27092
a94	0.0403578	0.0509341	0.0573516	0.0700201	0.105175	0.160489	0.209167	0.306506
a11	0.03	0.0329944	0.0391192	0.0520957	0.0689491	0.122791	0.235069	0.418981
a56	0.0295859	0.030392	0.0314196	0.0394842	0.0532416	0.100613	0.227159	0.488105
a70	0.0438426	0.0433544	0.0377319	0.0427222	0.0536335	0.0927943	0.206813	0.479108
a90	0.0158823	0.0152351	0.0180671	0.0263336	0.0355248	0.0688443	0.20439	0.615723
a62	0.0160774	0.0133347	0.0169902	0.0248183	0.032348	0.0634998	0.203828	0.629104
a93	0.0123233	0.0108465	0.0123575	0.0181688	0.024948	0.0541841	0.188454	0.678718
a90	0.0123186	0.0122357	0.0140288	0.0209151	0.030383	0.066059	0.213255	0.630805
a76	0.00791105	0.00657953	0.00905059	0.0172061	0.0272757	0.0617817	0.228345	0.641851
a94	0.0137897	0.0103745	0.0137948	0.0223916	0.0330426	0.0698467	0.241842	0.594918
a13	0.00819767	0.00664811	0.00841683	0.0147148	0.0226004	0.0550131	0.201148	0.683261
a53	0.0130364	0.0104224	0.0131595	0.0230616	0.032189	0.0684942	0.203667	0.63597
a4	0.00874571	0.00600258	0.00803168	0.015517	0.0285435	0.0681414	0.249121	0.615897
a82	0.010692	0.00636161	0.00738679	0.0143826	0.0272356	0.0652186	0.226223	0.6425
a87	0.0118841	0.00687015	0.0108749	0.0270342	0.0417616	0.0823981	0.23364	0.585537
</S>	0.0121186	0.00575539	0.00997971	0.0249583	0.0411524	0.0964558	0.266061	0.543519
