 	il	demande	l'	heure	</S>
a87	0.465005	0.360496	0.0893491	0.0613509	0.0237988
a23	0.351352	0.305814	0.15547	0.131987	0.0553768
a87	0.250582	0.279016	0.151798	0.166231	0.152373
a23	0.309871	0.306896	0.131882	0.139072	0.11228
a79	0.372326	0.200706	0.114885	0.172665	0.139419
a15	0.543623	0.178105	0.101301	0.0962582	0.0807129
a98	0.41904	0.217146	0.136294	0.123177	0.104342
a85	0.430036	0.228696	0.111624	0.11166	0.117985
a37	0.360186	0.213175	0.12673	0.133681	0.166228
a66	0.476596	0.257731	0.0718408	0.0768541	0.116978
a34	0.423469	0.314888	0.08023	0.0770641	0.104349
a61	0.392105	0.314036	0.0779229	0.0793235	0.136613
a47	0.298227	0.354642	0.114333	0.0973547	0.135443
a24	0.232829	0.386486	0.144434	0.114111	0.12214
a25	0.125385	0.22756	0.18086	0.222403	0.243791
a38	0.0817802	0.135194	0.148801	0.257001	0.377224
a75	0.035361	0.0564118	0.108021	0.282076	0.51813
a85	0.0406236	0.038536	0.0916404	0.218488	0.610712
a56	0.0269019	0.0278003	0.0845455	0.228506	0.632246
a98	0.00895269	0.0146716	0.0530704	0.190254	0.733051
a94	0.00882349	0.0110916	0.0665065	0.204335	0.709243
a26	0.00409164	0.00700807	0.0464673	0.195433	0.747
a57	0.0181056	0.0268601	0.0897876	0.273081	0.592166
a87	0.0959653	0.0793477	0.10698	0.227755	0.489952
a23	0.207618	0.186643	0.17476	0.220651	0.210329
a87	0.0692935	0.0607843	0.203846	0.306933	0.359143
</S>	0.0177132	0.0308202	0.1464	0.283603	0.521463
