 	s'	il	te	plait	essaie	ce	vêtement	pour	voir	s'	il	te	convient	</S>
a15	0.173855	0.118834	0.0724806	0.057322	0.100789	0.0883007	0.0836871	0.0901329	0.0818942	0.0590114	0.0359926	0.0136459	0.0114569	0.0125981
a66	0.50611	0.230204	0.0585823	0.0310931	0.0306777	0.0280352	0.0230903	0.0158006	0.0155926	0.0149313	0.0109853	0.0104221	0.010206	0.0142702
a87	0.336722	0.150676	0.106464	0.0789921	0.0618431	0.0635064	0.0465544	0.0342067	0.028887	0.0201172	0.0142473	0.0131984	0.0159195	0.0286661
a23	0.405677	0.200503	0.119967	0.0861062	0.0667858	0.0464453	0.0275803	0.0173231	0.00964531	0.00576522	0.00369802	0.00302401	0.00352708	0.00395271
a83	0.30108	0.168464	0.1068	0.0797502	0.0771065	0.086063	0.0534806	0.0322311	0.0217445	0.0148463	0.0108835	0.0122076	0.0141416	0.0212011
a94	0.136589	0.0933093	0.089191	0.0858567	0.131056	0.113175	0.0750798	0.0465538	0.0312662	0.0268808	0.0212368	0.033096	0.0428204	0.0738888
a35	0.162785	0.199967	0.220256	0.158702	0.0629319	0.0368185	0.0236954	0.0136991	0.0116657	0.0121762	0.010624	0.0183284	0.024551	0.0437995
a75	0.100356	0.16893	0.22148	0.154556	0.0703634	0.0350155	0.0233259	0.0131039	0.0111432	0.0147193	0.0146925	0.0364803	0.0559829	0.0798506
a25	0.0656633	0.111721	0.169849	0.141569	0.0788757	0.0532278	0.0377924	0.0187586	0.0140764	0.0225799	0.0227014	0.0665861	0.0966605	0.0999385
a20	0.0377263	0.0640766	0.124395	0.12818	0.0753906	0.0857211	0.0640819	0.0336697	0.0268809	0.0381002	0.0344117	0.0770106	0.103045	0.10731
a85	0.0239506	0.0265955	0.0562482	0.0861681	0.0680623	0.0736129	0.0526202	0.0292425	0.0267473	0.034151	0.0379451	0.0952352	0.165795	0.223626
a6	0.0219105	0.0238719	0.0461234	0.0717626	0.0493667	0.0679789	0.0479613	0.0279508	0.0362044	0.0445694	0.0464149	0.0876749	0.147476	0.280734
a85	0.0126091	0.012167	0.025625	0.0410034	0.0567929	0.0974542	0.0796339	0.0491627	0.0606329	0.0664126	0.0660647	0.0903096	0.133108	0.209025
