 	je	fais	rebondir	le	ballon	</S>
a87	0.320742	0.140342	0.117531	0.208687	0.131198	0.0815001
a23	0.45148	0.25696	0.135193	0.0728988	0.0428695	0.0405983
a70	0.490478	0.231806	0.128874	0.0557473	0.0434526	0.049642
a75	0.357318	0.207741	0.140383	0.0916709	0.0972511	0.105636
a85	0.442773	0.298885	0.15668	0.0497505	0.0293072	0.0226042
a5	0.283603	0.345194	0.272926	0.0588552	0.0238429	0.0155789
a12	0.268964	0.332225	0.270489	0.064409	0.034482	0.0294311
a31	0.227384	0.329687	0.292698	0.0764495	0.0410552	0.0327262
a88	0.155639	0.259467	0.312612	0.130493	0.078569	0.0632211
a62	0.0590191	0.0847849	0.225326	0.286065	0.195124	0.149681
a47	0.0282971	0.0327083	0.11737	0.329076	0.284936	0.207613
a88	0.0522645	0.0609623	0.197304	0.32057	0.207982	0.160917
a61	0.0150574	0.014465	0.046171	0.276249	0.361544	0.286514
a47	0.0108361	0.0113714	0.0369956	0.245786	0.370377	0.324634
a0	0.0074248	0.00619545	0.0244948	0.195908	0.381877	0.3841
a75	0.00454472	0.00342604	0.0144663	0.133136	0.374693	0.469734
a5	0.00046704	0.000557253	0.00597814	0.0818144	0.331213	0.57997
a18	0.000846821	0.000952393	0.00651192	0.0582492	0.262425	0.671015
a62	0.00142751	0.00148591	0.00606866	0.0641077	0.245379	0.681531
a83	0.0013378	0.00157687	0.00806221	0.0590427	0.227706	0.702274
a54	0.00075733	0.000980728	0.00603754	0.0720951	0.260211	0.659918
a36	0.000786712	0.00109412	0.00435235	0.0460964	0.196807	0.750863
a57	0.0113677	0.0108871	0.0277581	0.119133	0.250823	0.580031
a87	0.125195	0.0506578	0.0675832	0.146343	0.210828	0.399393
a23	0.322825	0.243992	0.140129	0.0809987	0.0804138	0.131641
a87	0.178163	0.125992	0.0670803	0.104396	0.184438	0.339931
a23	0.0258693	0.0222822	0.0208122	0.0953697	0.284962	0.550704
a99	0.0366729	0.0361831	0.0312578	0.128941	0.290927	0.476019
a87	0.0337113	0.0306734	0.0394051	0.174028	0.289018	0.433164
a23	0.022514	0.0257125	0.0427165	0.191355	0.303377	0.414325
a87	0.0569827	0.0601926	0.0629199	0.184146	0.267729	0.368029
</S>	0.032868	0.0342061	0.0601269	0.209695	0.296147	0.366957
