 	le	ciel	est	devenu	noir	à	cause	de	la	pluie	</S>
a82	0.24182	0.116121	0.0893795	0.116289	0.122366	0.11001	0.0810603	0.0467682	0.0309308	0.023123	0.0221323
a38	0.170869	0.14708	0.118905	0.0918998	0.0747679	0.0623179	0.066442	0.0647713	0.0632368	0.0649607	0.0747493
a35	0.3187	0.26697	0.1276	0.067067	0.0517013	0.0369547	0.0277881	0.0221544	0.0228711	0.0258119	0.032381
a75	0.244112	0.217867	0.12541	0.0855774	0.0626351	0.0517555	0.040303	0.0343343	0.0371534	0.0435537	0.0572985
a76	0.345109	0.241284	0.124776	0.0840837	0.0563381	0.0424988	0.0265221	0.019173	0.0179909	0.0205394	0.0216856
a73	0.355471	0.253875	0.127532	0.0827183	0.0490167	0.0316802	0.0203597	0.0166181	0.0176998	0.0198691	0.025161
a37	0.233371	0.219699	0.144521	0.100973	0.0652399	0.0454166	0.0332777	0.0291328	0.033016	0.0398364	0.0555161
a75	0.174768	0.175294	0.142344	0.12002	0.0825275	0.0552479	0.0396474	0.0356404	0.0433973	0.0543178	0.0767955
a5	0.193353	0.160043	0.136257	0.136277	0.100372	0.0663176	0.0460387	0.033189	0.0347413	0.0412544	0.0521571
a24	0.16623	0.143622	0.133724	0.144006	0.107355	0.067022	0.045236	0.0333715	0.0388569	0.0509613	0.0696155
a61	0.0813868	0.0738232	0.0879255	0.126229	0.13249	0.100996	0.0793165	0.0621343	0.0674239	0.0812659	0.10701
a31	0.0601146	0.0420629	0.0468292	0.094397	0.124436	0.125778	0.115746	0.0885991	0.0872437	0.0965042	0.118289
a43	0.0321998	0.026135	0.02949	0.0544416	0.0874918	0.113421	0.144119	0.134151	0.132964	0.120155	0.125432
a0	0.0159716	0.0101116	0.0108577	0.0239226	0.0455607	0.0721624	0.120882	0.152049	0.177653	0.175103	0.195726
a31	0.00858358	0.00481834	0.00493292	0.0102714	0.023822	0.0551992	0.111936	0.150033	0.189393	0.20572	0.235291
a88	0.0105856	0.00642809	0.00719216	0.0155127	0.0296085	0.0572609	0.123949	0.168314	0.193526	0.185193	0.20243
a38	0.00325035	0.00191111	0.00216798	0.00470931	0.0108255	0.0285726	0.0772998	0.132313	0.183351	0.233313	0.322286
a93	0.00130047	0.000802827	0.000929115	0.00184469	0.00405768	0.0119886	0.0359549	0.0846777	0.160056	0.277138	0.42125
a4	0.000875379	0.000509304	0.000642273	0.00154033	0.00350598	0.00935986	0.0307732	0.0811283	0.159995	0.271773	0.439897
a13	0.000598758	0.000325335	0.000442981	0.00124757	0.00289134	0.00790876	0.0254717	0.0724161	0.152472	0.271382	0.464844
a9	0.00216189	0.00122857	0.00142528	0.00405815	0.00819223	0.0206537	0.0483091	0.0936395	0.171958	0.265092	0.383281
a38	0.0729369	0.0402174	0.0298366	0.0378976	0.0382492	0.0455983	0.062597	0.080576	0.122655	0.194588	0.274848
a82	0.0432015	0.0355648	0.0262119	0.0254128	0.0259553	0.0320797	0.0556254	0.0943005	0.150766	0.21928	0.291602
</S>	0.0711701	0.0555518	0.0350888	0.0325235	0.0307784	0.0373665	0.0706554	0.108872	0.14426	0.185183	0.22855
