 	je	n'	ai	plus	envie	d'	aller	au	travail	car	je	ne	suis	pas	bien	rémunéré	</S>
a66	0.103654	0.102664	0.114712	0.131611	0.0967109	0.0966226	0.08808	0.0738068	0.0546299	0.0517524	0.0277	0.0223363	0.0122953	0.00662369	0.00572825	0.00576047	0.00531187
a87	0.246923	0.199735	0.131925	0.0593166	0.0152	0.0179827	0.0196153	0.0255751	0.0409806	0.0483333	0.0407504	0.0461739	0.0325739	0.0195138	0.0182138	0.016102	0.0210853
a23	0.231652	0.1679	0.136191	0.0804821	0.0441587	0.0415922	0.0447001	0.031286	0.0253909	0.0234501	0.0241338	0.0242879	0.0264329	0.0194939	0.0254934	0.0265074	0.0268479
a97	0.22076	0.141677	0.0874675	0.0544219	0.0430254	0.0489242	0.0496473	0.0387316	0.0412604	0.041861	0.0347363	0.0309179	0.0246769	0.0187053	0.0252309	0.0421807	0.0557761
a83	0.215747	0.159083	0.104374	0.0711455	0.0611145	0.0542584	0.0493621	0.0371323	0.0356983	0.0396899	0.0350634	0.0346883	0.0254635	0.0168676	0.0167457	0.0201255	0.0234405
a50	0.174212	0.12482	0.0871483	0.0632201	0.0364605	0.0361853	0.039916	0.0370819	0.0389647	0.0393092	0.0387368	0.0584164	0.0527345	0.0403942	0.0410555	0.0426851	0.0486589
a88	0.242228	0.169931	0.134896	0.121134	0.0506976	0.0419007	0.0320971	0.0266098	0.025832	0.0169145	0.0144751	0.025382	0.0235964	0.0166437	0.0173876	0.0192405	0.0210332
a93	0.176334	0.129817	0.124095	0.136891	0.0796396	0.0617209	0.0431777	0.0302886	0.0265192	0.0186143	0.0154471	0.0231206	0.0275662	0.0232078	0.0261349	0.0288084	0.0286171
a44	0.122541	0.108209	0.114527	0.13746	0.108539	0.0872221	0.0602114	0.0357001	0.0277622	0.0207583	0.0162675	0.019073	0.0255467	0.0252756	0.0281509	0.0309714	0.0317846
a93	0.0814335	0.0787894	0.0908567	0.119741	0.114338	0.105839	0.0731611	0.0449714	0.0364672	0.0276154	0.0198828	0.020929	0.0284486	0.0314938	0.038312	0.0425131	0.0452087
a4	0.103063	0.0987591	0.109009	0.121832	0.103915	0.0956376	0.0694373	0.047246	0.0372274	0.0296907	0.0196844	0.0184499	0.0226113	0.025689	0.0312038	0.0327981	0.0337465
a53	0.0723922	0.0804868	0.0970872	0.121392	0.118843	0.116062	0.0821138	0.0542627	0.04302	0.0334744	0.0214209	0.0188165	0.0229348	0.0254141	0.0295232	0.0307164	0.03204
a4	0.0585383	0.0734623	0.0974865	0.126664	0.111619	0.110012	0.0828513	0.0600029	0.051381	0.0412464	0.0271023	0.0237091	0.0273954	0.0273311	0.0265975	0.0259494	0.0286523
a70	0.0384561	0.05043	0.0754538	0.114917	0.12093	0.122265	0.0948431	0.0725029	0.0627566	0.0528896	0.0350199	0.0276761	0.0269928	0.026457	0.0258084	0.0246264	0.0279742
a88	0.0179292	0.0239539	0.0377718	0.0804866	0.134522	0.166755	0.133339	0.0928129	0.0707521	0.0546181	0.0335468	0.0236367	0.0230208	0.0234494	0.0256824	0.0269836	0.0307392
a90	0.00842466	0.0110599	0.0155867	0.0366928	0.107635	0.187963	0.16639	0.114153	0.0861253	0.058036	0.0332953	0.0214579	0.0217966	0.0224552	0.029256	0.0353709	0.0443014
a5	0.00898359	0.0116765	0.017182	0.0427682	0.113726	0.161613	0.132158	0.101291	0.0855498	0.0689522	0.0462732	0.0337411	0.0320532	0.0322749	0.0331732	0.0343076	0.0442769
a12	0.00709465	0.00942511	0.0132967	0.0307157	0.0930557	0.135089	0.117609	0.0938328	0.0738755	0.0632362	0.0491484	0.0368709	0.0393213	0.0437978	0.0514612	0.0609666	0.0812036
a31	0.00493425	0.00741457	0.0115095	0.0269668	0.104227	0.183193	0.159948	0.115185	0.0833788	0.0675812	0.0454967	0.0320363	0.0289123	0.0265003	0.0276912	0.0337744	0.0412507
a0	0.0049758	0.00745256	0.0116923	0.0277047	0.107925	0.201142	0.175303	0.124706	0.0872315	0.0688362	0.0412497	0.0288116	0.0234522	0.0199503	0.0193239	0.0225765	0.0276658
a11	0.00623461	0.00871224	0.0131122	0.0233247	0.0718898	0.17859	0.163626	0.128776	0.109639	0.0866747	0.0505026	0.0337057	0.0255849	0.0204235	0.0208654	0.0260109	0.0323274
a75	0.00504288	0.00723363	0.0116135	0.0217841	0.0670501	0.167442	0.160489	0.126507	0.109431	0.0905469	0.0539091	0.0354764	0.0274474	0.0231795	0.0236467	0.0314497	0.0377519
a6	0.000986545	0.00161038	0.00289391	0.00979665	0.0587582	0.111829	0.104582	0.087443	0.0858023	0.0838868	0.0779167	0.055006	0.0508713	0.0524546	0.0531741	0.0757609	0.0872281
a36	0.000866704	0.00144233	0.00259605	0.00870075	0.0486794	0.10699	0.12074	0.107818	0.0963051	0.0914471	0.0787963	0.0534997	0.0448565	0.0430551	0.0459874	0.0709091	0.0773099
a2	0.00566314	0.00714103	0.00995945	0.0161344	0.0457171	0.102484	0.120699	0.108291	0.0960385	0.10601	0.0690291	0.0447625	0.0328349	0.0308603	0.0388959	0.0800791	0.0853997
a40	0.0179102	0.0220405	0.030829	0.0402491	0.0569348	0.096284	0.103124	0.0977783	0.11322	0.139537	0.0828821	0.0474275	0.0321719	0.0217394	0.0214388	0.0354104	0.0410231
a47	0.00424425	0.00440897	0.00591891	0.0109133	0.0344759	0.0629373	0.0697578	0.0618478	0.0517861	0.0570581	0.0526487	0.0451991	0.0525127	0.0730589	0.0884302	0.126217	0.198585
a36	0.00108066	0.00154378	0.00247635	0.00677766	0.0356436	0.0841618	0.108851	0.104011	0.0941112	0.10765	0.0897915	0.065572	0.0547255	0.0501481	0.0447954	0.0676381	0.0810224
a2	0.00333667	0.00378116	0.00524572	0.00821801	0.0229974	0.0627271	0.0775142	0.0760885	0.0880658	0.109164	0.0856321	0.0657714	0.0558882	0.0492022	0.0537535	0.10722	0.125395
a57	0.0105996	0.0124112	0.0180519	0.025882	0.0425469	0.0758902	0.0837274	0.0866738	0.125526	0.160255	0.107214	0.058992	0.040736	0.0287971	0.027504	0.0433955	0.0517971
a87	0.0184044	0.0156321	0.01942	0.0247086	0.0391278	0.065737	0.073082	0.0761018	0.109471	0.143113	0.1063	0.0632326	0.050699	0.0398112	0.0375554	0.0511415	0.0664622
a23	0.0520248	0.0324229	0.0274864	0.0248677	0.0248103	0.0432949	0.048458	0.0522588	0.0693712	0.074748	0.0690536	0.0732095	0.0892162	0.0706972	0.0614883	0.081129	0.105463
a83	0.0127548	0.00946006	0.0078988	0.0078514	0.00878335	0.0212853	0.024056	0.0325546	0.0535012	0.0522355	0.0743005	0.0970512	0.111296	0.0818865	0.0880187	0.132803	0.184263
a36	0.000999187	0.000866966	0.000967944	0.00159414	0.00329257	0.00958037	0.0148251	0.0221391	0.0309777	0.0304222	0.0468788	0.070875	0.123986	0.139269	0.139875	0.180739	0.182712
a54	0.000360154	0.000381548	0.000578415	0.00135996	0.0051033	0.0152401	0.0200687	0.02686	0.0381729	0.0372908	0.0446137	0.0502053	0.0899878	0.123845	0.151466	0.170314	0.224152
a47	0.000533823	0.000691901	0.000993497	0.00250045	0.0117657	0.0312449	0.0415695	0.0513211	0.0700025	0.0635699	0.064683	0.0590061	0.0677414	0.071528	0.105526	0.162998	0.194324
a6	0.000183164	0.000273394	0.000499666	0.00180326	0.0126116	0.0338596	0.03858	0.0405454	0.0497379	0.0431504	0.0501162	0.048447	0.0730097	0.0899644	0.124296	0.17483	0.218093
a36	0.000242288	0.000326959	0.000546065	0.00163185	0.00974799	0.0226685	0.0315147	0.0341297	0.0352989	0.0351487	0.0417126	0.0378371	0.058985	0.0889568	0.138098	0.210226	0.252929
a37	0.000380535	0.000516522	0.000822139	0.00177303	0.00703859	0.015622	0.0220837	0.0257941	0.0314404	0.0364925	0.0425008	0.0388908	0.0532108	0.0800174	0.131363	0.226058	0.285996
a53	0.000427919	0.000525428	0.000831258	0.00167947	0.00619115	0.014826	0.0202026	0.0222357	0.0290914	0.0353075	0.0414732	0.0362458	0.0531415	0.0798943	0.140088	0.244933	0.272906
a69	0.000596216	0.000731067	0.00112325	0.00187658	0.00503998	0.011523	0.0166845	0.0187873	0.0255983	0.0364733	0.0464826	0.0382035	0.0563384	0.0825089	0.143452	0.251198	0.263383
a53	0.000365083	0.000459967	0.000745922	0.0015011	0.00479097	0.011834	0.0184963	0.0222591	0.0313517	0.0435848	0.0529561	0.0406747	0.0533642	0.0794488	0.133254	0.244464	0.26045
a93	0.000458121	0.000610834	0.00107767	0.00227434	0.00668229	0.0148983	0.0219074	0.0254752	0.0372768	0.0544419	0.0676358	0.0501455	0.0653781	0.0876733	0.134852	0.209453	0.219759
a94	0.000346712	0.00044904	0.000767021	0.00163017	0.00506695	0.0103214	0.01467	0.017232	0.0264656	0.0382057	0.0511471	0.0416359	0.0602389	0.0856206	0.149549	0.250908	0.245745
a43	0.000690565	0.00077792	0.00118734	0.00207477	0.00523704	0.00941467	0.0118735	0.0123962	0.0170173	0.025125	0.0306099	0.0304066	0.0443263	0.0704447	0.14084	0.288507	0.309072
a11	0.000985103	0.0010823	0.00163005	0.00275174	0.00601553	0.0104559	0.0116913	0.0120573	0.0169984	0.0217507	0.0248884	0.0249508	0.036743	0.0600942	0.132973	0.304891	0.330042
a44	0.00336973	0.00337756	0.00397909	0.00470801	0.00770437	0.0151604	0.0169054	0.0175527	0.0223943	0.028784	0.0265058	0.0216499	0.0282235	0.0470807	0.118484	0.33174	0.30238
a54	0.000593573	0.000652241	0.000962417	0.00181569	0.00495667	0.00924988	0.0114183	0.0121747	0.0167069	0.0222402	0.02414	0.0248813	0.035126	0.0570097	0.133914	0.304091	0.340068
a7	0.000311328	0.000354912	0.000470296	0.000915664	0.00363248	0.00829478	0.0101475	0.0106649	0.0170234	0.0214091	0.0257094	0.0238352	0.0337167	0.0551237	0.141478	0.315898	0.331015
a2	0.00134235	0.00137611	0.00172318	0.00204233	0.00351809	0.00751885	0.00814786	0.00775135	0.0114521	0.0153521	0.0173131	0.0195679	0.031024	0.0509217	0.134682	0.323065	0.363202
